Tag,Distance_Center,Nationality_Italy,Education_University,Nationality_Spain,Nationality_UK,POI_Restaurants_Hotels,Intercept
01_001,,,,,,0.2985426279257179,
01_002,,,,,,0.27891977484963976,
01_003,,,,,,0.25005777833792353,
01_004,,,,,,0.23269050300570196,
01_005,,,,,,0.2705974088469839,
01_006,,,,,,0.268200103534204,
01_007,,,,,,0.24802743246841324,
01_008,,,,,,0.23222461838943434,
01_009,,,,,,0.2255673571599809,
01_010,,,,,,0.232143064994741,
01_011,,,,,,0.2263002846672585,
01_012,,,,,,0.22607361891107486,
01_013,,,,,,0.2317244503172838,
01_014,,,,,,0.23776869905080422,
01_015,,,,,,0.230984565733704,
01_016,,,,,,0.23963078094634116,
01_017,,,,,,0.239129554193133,
01_018,,,,,,0.25193189061509597,
01_019,,,,,,0.2648112493044423,
01_020,,,,,,0.2749125960305804,
01_021,,,,,,0.2758384963721843,
01_022,,,,,,0.31524549292504456,
01_023,,,,,,0.33888846009913187,
01_025,,,,,,0.34463103828459674,
01_026,,,,,,0.3686735506496297,
01_027,,,,,,0.3493894602751865,
01_028,,,,,,0.30831854518021606,
01_029,,,,,,0.31764729478428,
01_030,,,,,,0.3529475144677701,
01_031,,,,,,0.35746398868160967,
01_032,,,,,,0.396250555241352,
01_033,,,,,,0.42773633046077797,0.495143435112571
01_034,,,,,,0.4460744614885555,0.5046052630308536
01_035,,,,,,0.444826337673868,0.5002920362377031
01_036,,,,,,0.41696121538310166,0.46477009703559313
01_037,,,,,,0.4388525673313769,0.4952120068386492
01_038,,,,,,0.44296240814414783,0.500179475011187
01_039,,,,,,0.4345666171568213,0.49687396131034367
01_040,,,,,,0.42875498216902996,0.48950405997630564
01_041,,,,,,0.4323581553271251,0.49353626293004077
01_042,,,,,,0.4325857860416485,0.49338539998669356
01_043,,,,,,0.4085095356252976,0.4851041739078759
01_044,,,,,,0.39918046553053965,0.48399716766815154
01_045,,,,,,0.39326243946878586,
01_046,,,,,,0.3830472622962908,
01_047,,,,-0.30431079111587084,,0.3678108097550297,
01_048,,,,-0.30755490624148596,,0.3766965224878778,
01_049,,,,,,0.3599219809721621,
01_050,,,,,,0.3532806067192626,
01_051,,,,-0.3250460875398767,,0.3599446885065534,
01_052,,,,,,0.3544233670396446,
01_053,,,,-0.3198521587846088,,0.36867720131563514,0.507971433929964
01_054,,,,-0.3100605621496186,,0.3783724274407323,0.4959172090455308
01_055,,,,,,0.3687501076864293,0.5326262493706567
02_001,,,,,,0.32109579589463894,0.5003900113944634
02_002,,,,,,0.32795884003305975,0.5442988808926087
02_003,,,,,,0.302321005996725,0.4506293865622072
02_004,,,,,,0.31082712264172324,0.4725812239591839
02_005,,,,,,0.33155651712714235,0.5413676271128648
02_006,,,,,,0.3503367473103692,0.5876452956427995
02_007,,,,,,0.35136468731392384,0.5581964306864525
02_008,,,,,,0.32177107167668517,0.49115955976514886
02_009,,,,,,0.3015978225032839,0.42876444906635275
02_010,,,,,,0.2961806820969913,0.37227875282926604
02_011,,,,,,0.2933079445860052,0.36415651542357164
02_012,,,,,,0.29091526768411885,0.3591570678703884
02_013,,,,,,0.2964279576625763,0.26555494696091775
02_014,,,,,,0.2998068131098762,0.24579658798340207
02_015,,,,,,0.29589151191654045,0.3356730737760345
02_016,,,,,,0.30585318925295096,0.4367034946883336
02_017,,,,,,0.33824570434254614,0.5073590892931886
02_018,,,,,,0.3469185654182413,0.4566704789643083
02_019,,,,,,0.3276373153319616,0.4542735981088599
02_020,,,,,,0.3071334406416495,0.41300917094440787
02_021,,,,,,0.299419434580644,0.2850900034684408
02_022,-0.43874712355332907,,,,,0.30847689247050286,
02_023,,,,,,0.30342954019780666,
02_024,,,,,,0.3062865639546587,0.34975905956397696
02_025,,,,,,0.30472556055248246,0.249627049905993
02_026,,,,,,0.3132430409786448,0.286279855660363
02_027,-0.4996741558932851,,,,,0.3189739263696412,
02_028,-0.4921838397519091,,,,,0.3091759947860042,
02_029,-0.45336394225631055,,,,,0.3047881906619366,
02_030,-0.5318710298791195,,,,,0.3090511632403372,
02_031,-0.587246544416275,,,,,0.3093259143572982,
02_032,-0.6092138157676679,,,,,0.3101204470194601,
02_033,-0.6316088950863051,,,,,0.311685628667285,
02_034,-0.5761466958721535,,,,,0.318284259833118,
02_035,-0.5366260462803215,,,,,0.3261698349216645,
02_036,-0.6036782325950155,,,,,0.31983063513960047,
02_037,-0.6612585744269606,,,,,0.3081857095863289,
02_038,-0.7207167814949097,,,,,0.3027035332470324,
02_039,-0.6366569909404527,,,,,0.2969807557936777,
02_040,-0.6453973190774933,,,,,0.2701151278702531,
