Tag,N_district,N_neighbourhood,N_section,Distance_Center,POI_Daily_Food,POI_Daily_Others,POI_House_Equipment,POI_Clothing,POI_Culture,POI_Vehicles,POI_State_Agents,POI_Education,POI_Finances,POI_Restaurants_Hotels,POI_Health,POI_Souvenirs_Thrift_Store,POI_Car_Parks,POI_Esthetics,POI_Sports,POI_Religion,POI_Administration,Airbnb_Number,Airbnb_Price,Airbnb_Price_Person,Airbnb_Location_Score,Percentage_Gender_Female,Percentage_Age_0_14,Percentage_Age_15_24,Percentage_Age_25_39,Percentage_Age_40_64,Percentage_Age_65_Plus,Household,Education_Primary_School,Education_Middle_School,Education_High_School,Education_University,Nationality_Spain,Nationality_Italy,Nationality_France,Nationality_UK,Nationality_Romania,Nationality_Germany,Nationality_Russia,Nationality_Ucrany,Nationality_Portugal,Nationality_Netherlands,Nationality_Poland,Nationality_Bulgaria,Nationality_Sweden,Nationality_Belgium,Nationality_Ireland,Nationality_Greece,Nationality_Morocco,Nationality_Argelia,Nationality_Senegal,Nationality_Bolivia,Nationality_Colombia,Nationality_Peru,Nationality_Ecuador,Nationality_Honduras,Nationality_Brazil,Nationality_Venezuela,Nationality_Argentina,Nationality_Dominican_Republic,Nationality_USA,Nationality_Mexico,Nationality_Paraguay,Nationality_Chile,Nationality_Cuba,Nationality_Uruguay,Nationality_Salvador,Nationality_China,Nationality_Pakistan,Nationality_Philippines,Nationality_India,Nationality_Bangladesh,Nationality_Georgia,Nationality_Armenia,Nationality_Japan,Nationality_Nepal,Nationality_Oceania,Rent_Number_Flats,Rent_Price_Meter_Flats,Rent_Price_Total_Flats,Rent_Area_Flats
01_001,01,01,001,1.532922421817333,6,1,0,0,2,0,0,4,0,33,2,8,1,1,1,1,4,67,88.40298507462687,28.883670931058994,9.426229508196721,0.4512471655328798,0.10355253212396069,0.08843537414965986,0.29024943310657597,0.29024943310657597,0.1708238851095994,2.45,0.29120409906063194,0.2075149444918873,0.18616567036720752,0.2783945345858241,0.5593348450491308,0.030234315948601664,0.018140589569160998,0.010582010582010581,0.0007558578987150416,0.01436130007558579,0.008314436885865457,0.0030234315948601664,0.012849584278155708,0.0015117157974300832,0.003779289493575208,0.0015117157974300832,0.005291005291005291,0.0030234315948601664,0.0015117157974300832,0.0022675736961451248,0.015117157974300832,0.009070294784580499,0.0,0.006046863189720333,0.008314436885865457,0.003779289493575208,0.0045351473922902496,0.0,0.009826152683295541,0.0007558578987150416,0.0030234315948601664,0.005291005291005291,0.006802721088435374,0.0015117157974300832,0.0015117157974300832,0.0,0.0022675736961451248,0.0,0.0007558578987150416,0.017384731670445956,0.05291005291005291,0.024943310657596373,0.045351473922902494,0.07331821617535904,0.0,0.0,0.0045351473922902496,0.0007558578987150416,0.0007558578987150416,103.0,12.339528659093917,702.0,56.0
01_002,01,01,002,1.06077152220636,3,2,1,2,1,0,0,2,0,19,0,3,0,5,0,0,0,57,74.08771929824562,26.72690058479532,9.630434782608695,0.4358816276202219,0.10542540073982737,0.13008631319358815,0.26078914919852036,0.26078914919852036,0.13933415536374846,2.84,0.30522648083623694,0.23693379790940766,0.18257839721254354,0.2264808362369338,0.43711467324291,0.04192355117139334,0.02219482120838471,0.009864364981504316,0.008631319358816275,0.009864364981504316,0.006165228113440197,0.009864364981504316,0.006165228113440197,0.002466091245376079,0.002466091245376079,0.0012330456226880395,0.005548705302096177,0.002466091245376079,0.0,0.0,0.017879161528976572,0.0006165228113440197,0.0018495684340320592,0.005548705302096177,0.006781750924784217,0.0030826140567200987,0.004932182490752158,0.004315659679408138,0.002466091245376079,0.004315659679408138,0.010480887792848335,0.0030826140567200987,0.008631319358816275,0.002466091245376079,0.0036991368680641184,0.006165228113440197,0.0018495684340320592,0.0018495684340320592,0.002466091245376079,0.014180024660912454,0.09741060419235512,0.02651048088779285,0.05055487053020962,0.09741060419235512,0.0006165228113440197,0.006781750924784217,0.0,0.0006165228113440197,0.0006165228113440197,64.0,12.941176470588251,899.0,64.0
01_003,01,01,003,1.2622310685130482,9,3,1,2,3,0,0,5,2,20,3,1,2,3,1,0,1,41,72.09756097560975,27.134146341463413,9.242424242424242,0.451650260567458,0.21221771858714533,0.10277938621887667,0.29009843659525186,0.29009843659525186,0.1184134337000579,3.23,0.36722532588454376,0.21936685288640595,0.17243947858473,0.1888268156424581,0.5469021424435437,0.01563404748118124,0.01129125651418645,0.006658946149392009,0.010712217718587146,0.0023161551823972205,0.0028951939779965257,0.0017371163867979154,0.0026056745801968733,0.0011580775911986102,0.0017371163867979154,0.0017371163867979154,0.004632310364794441,0.0014475969889982628,0.0005790387955993051,0.00028951939779965256,0.03821656050955414,0.005790387955993051,0.0037637521713954833,0.004342790966994789,0.006948465547191662,0.0037637521713954833,0.0037637521713954833,0.003474232773595831,0.004053271569195136,0.0023161551823972205,0.0052113491603937466,0.0037637521713954833,0.0014475969889982628,0.004053271569195136,0.0008685581933989577,0.005790387955993051,0.004342790966994789,0.0008685581933989577,0.00028951939779965256,0.019976838448176028,0.095830920671685,0.033294730746960044,0.055587724377533294,0.03618992472495657,0.00028951939779965256,0.0008685581933989577,0.0008685581933989577,0.006369426751592357,0.0,160.0,13.018108108108082,606.0,50.0
01_004,01,01,004,1.1805171442360007,13,4,8,2,5,0,2,3,3,36,1,3,1,9,1,2,3,112,77.66071428571429,28.761904761904763,9.326530612244898,0.45388850653819685,0.13764624913971094,0.10770818995182381,0.31383344803854096,0.31383344803854096,0.10151410874053682,2.67,0.26910699919549474,0.22244569589702334,0.1914722445695897,0.2815768302493966,0.553337921541638,0.033379215416379907,0.015829318651066758,0.0072264280798348245,0.004817618719889883,0.008602890571231933,0.0030970406056434964,0.0030970406056434964,0.007914659325533379,0.0041293874741913286,0.0041293874741913286,0.0017205781142463868,0.005849965588437715,0.0034411562284927736,0.0010323468685478321,0.0024088093599449415,0.034411562284927734,0.00653819683413627,0.0,0.003785271851342051,0.008947006194081212,0.0027529249827942187,0.0072264280798348245,0.0010323468685478321,0.00653819683413627,0.00516173434273916,0.0055058499655884375,0.0010323468685478321,0.007570543702684102,0.004473503097040606,0.0013764624913971094,0.003785271851342051,0.0030970406056434964,0.0,0.00034411562284927734,0.009979353062629044,0.09669649002064694,0.030282174810736407,0.019270474879559532,0.05196145905024088,0.0010323468685478321,0.00034411562284927734,0.0017205781142463868,0.0024088093599449415,0.0006882312456985547,157.0,12.517754629629666,688.0,55.0
01_005,01,01,005,0.9374936109171081,20,4,2,2,38,0,0,0,1,42,1,15,1,11,0,0,2,98,90.37755102040816,29.298230482669258,9.545454545454545,0.44453312051077415,0.11452513966480447,0.09976057462090981,0.32202713487629686,0.32202713487629686,0.1412609736632083,2.65,0.32546527462551067,0.22877893781207445,0.1584203359055833,0.2451202905129369,0.5135674381484437,0.044293695131683956,0.019553072625698324,0.011971268954509178,0.006783719074221868,0.007581803671189146,0.004788507581803671,0.005985634477254589,0.0023942537909018356,0.006783719074221868,0.0051875498802873106,0.003591380686352753,0.003591380686352753,0.0011971268954509178,0.0031923383878691143,0.003591380686352753,0.0355147645650439,0.0007980845969672786,0.0003990422984836393,0.007581803671189146,0.004389465283320032,0.0023942537909018356,0.005985634477254589,0.004389465283320032,0.008379888268156424,0.0019952114924181963,0.006384676775738229,0.0011971268954509178,0.0051875498802873106,0.0031923383878691143,0.0023942537909018356,0.003591380686352753,0.0003990422984836393,0.0015961691939345571,0.0,0.0003990422984836393,0.12968874700718275,0.01636073423782921,0.039505187549880284,0.03830806065442937,0.0039904229848363925,0.0007980845969672786,0.0,0.0003990422984836393,0.0003990422984836393,113.0,11.503987061906335,696.0,62.0
01_006,01,01,006,0.7876355702249526,13,4,3,12,12,0,0,1,1,29,1,9,1,5,0,2,0,71,100.16901408450704,28.77012072434607,9.546875,0.4382901866345575,0.09632751354605659,0.10957254665863937,0.3263094521372667,0.3263094521372667,0.12402167369054787,2.75,0.27388963660834453,0.21467025572005383,0.1971736204576043,0.2833109017496635,0.4449127031908489,0.051173991571342566,0.023479831426851294,0.015653220951234198,0.017459361830222758,0.011438892233594221,0.0030102347983142685,0.001806140878988561,0.004214328717639976,0.004214328717639976,0.0012040939193257074,0.0030102347983142685,0.00481637567730283,0.001806140878988561,0.002408187838651415,0.001806140878988561,0.036122817579771226,0.006622516556291391,0.002408187838651415,0.00481637567730283,0.013245033112582781,0.0030102347983142685,0.006622516556291391,0.001806140878988561,0.008428657435279952,0.006622516556291391,0.010836845273931367,0.0030102347983142685,0.012040939193257074,0.008428657435279952,0.0030102347983142685,0.007224563515954244,0.002408187838651415,0.0,0.0006020469596628537,0.006020469596628537,0.10174593618302227,0.051173991571342566,0.028296207104154123,0.03431667670078266,0.0,0.0,0.001806140878988561,0.0,0.0012040939193257074,121.0,9.963636363636333,609.0,68.0
01_007,01,01,007,0.8758078615878302,8,7,3,7,7,0,1,1,0,32,1,0,1,2,0,2,2,71,83.59154929577464,27.708920187793428,9.153846153846153,0.3943729136862184,0.1301859799713877,0.09823557463042441,0.35813066285169287,0.35813066285169287,0.06723891273247497,3.08,0.3439911797133407,0.24366041896361632,0.17199558985667035,0.22105843439911796,0.4668574153552694,0.02479732951835956,0.01239866475917978,0.011921793037672867,0.009060562708631379,0.010491177873152123,0.002861230329041488,0.002861230329041488,0.008106819265617548,0.004291845493562232,0.0009537434430138292,0.006676204101096805,0.002384358607534573,0.0009537434430138292,0.0004768717215069146,0.0004768717215069146,0.030042918454935622,0.012875536480686695,0.0004768717215069146,0.005722460658082976,0.00619933237958989,0.001430615164520744,0.001430615164520744,0.0004768717215069146,0.0033381020505484026,0.002384358607534573,0.003814973772055317,0.002384358607534573,0.002384358607534573,0.002861230329041488,0.0,0.0033381020505484026,0.0004768717215069146,0.0004768717215069146,0.002861230329041488,0.003814973772055317,0.17167381974248927,0.04148783977110158,0.024320457796852647,0.0844062947067239,0.0,0.001430615164520744,0.0,0.0,0.0,97.0,10.23180458624125,664.0,60.0
01_008,01,01,008,1.0338606297523858,7,2,2,0,1,0,1,2,0,11,0,0,1,7,1,2,0,61,82.29508196721312,28.509530314858182,9.058823529411764,0.39199759326113115,0.13808664259927797,0.1125150421179302,0.3240072202166065,0.3240072202166065,0.11582430806257521,3.27,0.4404510218463707,0.24171952078928824,0.1324876673713883,0.14658210007047218,0.4326113116726835,0.019554753309265944,0.010830324909747292,0.006016847172081829,0.011432009626955475,0.009025270758122744,0.0048134777376654635,0.006016847172081829,0.0015042117930204573,0.00210589651022864,0.0024067388688327317,0.0009025270758122744,0.005716004813477738,0.0009025270758122744,0.0006016847172081829,0.0009025270758122744,0.036702767749699154,0.006016847172081829,0.0024067388688327317,0.006016847172081829,0.005114320096269555,0.0024067388688327317,0.005716004813477738,0.0036101083032490976,0.0030084235860409147,0.00210589651022864,0.0036101083032490976,0.0069193742478941035,0.0030084235860409147,0.002707581227436823,0.0006016847172081829,0.00210589651022864,0.0,0.0009025270758122744,0.0009025270758122744,0.00421179302045728,0.2078820697954272,0.04271961492178099,0.021660649819494584,0.08393501805054152,0.0048134777376654635,0.0024067388688327317,0.00030084235860409147,0.00421179302045728,0.00030084235860409147,124.0,11.728395061728415,600.0,50.0
01_009,01,01,009,1.1119153909518362,9,0,1,2,2,0,0,2,1,12,2,2,0,7,2,1,0,34,74.44117647058823,27.629411764705885,8.678571428571429,0.451270207852194,0.1353348729792148,0.10854503464203233,0.31224018475750576,0.31224018475750576,0.1279445727482679,2.68,0.3365539452495974,0.23081052066559313,0.17713365539452497,0.21578099838969403,0.5043879907621247,0.03048498845265589,0.015242494226327945,0.009237875288683603,0.004157043879907622,0.005542725173210162,0.002771362586605081,0.0,0.0013856812933025404,0.0023094688221709007,0.0023094688221709007,0.0013856812933025404,0.0013856812933025404,0.002771362586605081,0.0,0.0023094688221709007,0.020785219399538105,0.0023094688221709007,0.0009237875288683603,0.009237875288683603,0.004618937644341801,0.003233256351039261,0.002771362586605081,0.0009237875288683603,0.005080831408775982,0.003695150115473441,0.004618937644341801,0.007390300230946882,0.0009237875288683603,0.003233256351039261,0.003233256351039261,0.004157043879907622,0.0009237875288683603,0.00046189376443418013,0.0009237875288683603,0.006004618937644342,0.13163972286374134,0.05912240184757506,0.024942263279445726,0.09191685912240184,0.0,0.0,0.0,0.007852193995381063,0.00046189376443418013,143.0,12.613636363636333,658.0,54.0
01_010,01,01,010,0.9391767055845209,9,2,4,1,0,0,0,2,1,10,0,2,2,1,0,2,0,67,80.35820895522389,27.49244847192608,9.115384615384615,0.4289137380191693,0.1393769968051118,0.12380191693290735,0.3003194888178914,0.3003194888178914,0.09185303514376997,3.06,0.3812206572769953,0.2544600938967136,0.14366197183098592,0.18779342723004694,0.41214057507987223,0.022763578274760384,0.012380191693290734,0.00878594249201278,0.005191693290734824,0.005191693290734824,0.003594249201277955,0.0007987220447284345,0.00439297124600639,0.003194888178913738,0.001597444089456869,0.00039936102236421724,0.0011980830670926517,0.00039936102236421724,0.0007987220447284345,0.0011980830670926517,0.0231629392971246,0.001996805111821086,0.0011980830670926517,0.005191693290734824,0.003594249201277955,0.0011980830670926517,0.0027955271565495207,0.003594249201277955,0.0027955271565495207,0.001996805111821086,0.0059904153354632585,0.007987220447284345,0.0027955271565495207,0.0011980830670926517,0.007987220447284345,0.0027955271565495207,0.0011980830670926517,0.00039936102236421724,0.0011980830670926517,0.003594249201277955,0.16733226837060702,0.08825878594249201,0.016773162939297124,0.13059105431309903,0.0,0.0007987220447284345,0.00039936102236421724,0.0027955271565495207,0.0,160.0,12.244897959183668,592.0,49.0
