,Distance_Center,Nationality_Italy,POI_Restaurants_Hotels,Nationality_Spain,Nationality_UK,Percentage_Age_25_39,Education_University,POI_Daily_Others,POI_Clothing,Intercept
0,-0.3836806782837596,0.23691945105983486,0.1396474404078831,-0.14520080458323908,0.09291207918216346,0.07455194968752343,-0.0672044799446304,0.06623390500854617,-0.0524636576250886,-1.3320151287387052e-16
1,-0.38325997962686353,0.19823096267457613,0.1545712131702009,-0.13164316890069425,0.11908999689450858,0.08207074979925626,-0.05761782455657012,0.05412660706442657,-0.043752251469106065,-5.897531901920536e-16
2,-0.390277853164116,0.16557032975605962,0.17875205395282534,-0.13868889300549728,0.12443299179030244,0.08886515028791249,-0.03674961367193616,0.04835325448539804,-0.06805007325132433,-1.9350600838714286e-16
3,-0.340471938813473,0.20194702665184502,0.14749937112857162,-0.1538429464939064,0.12467665904141678,0.10752603400890492,-0.05262559427004962,0.06920829273841106,-0.059912612319614714,9.741511563031038e-17
4,-0.4000544957913304,0.22169835164020268,0.16410414682117339,-0.1373925978963328,0.10957706502879049,0.06688305872484678,-0.0937313911114396,0.030969607237116087,-0.035707282748776624,2.1320006013150576e-16
5,-0.41192497483270746,0.2211193608668193,0.14501037796361865,-0.11161879454803332,0.09657021273267409,0.09489249307806692,-0.07399558496119914,0.04585880609030213,-0.046255885482256995,1.8979199639376808e-16
6,-0.37076187131153654,0.20511796772068397,0.14347969891694232,-0.16653804116553023,0.14192746385022734,0.04671195030345239,-0.05873458634088652,0.05426907565339523,-0.04274278734631608,-1.6289355383854934e-16
7,-0.35455687318267215,0.1965004817699722,0.1783373251299695,-0.15358854965893567,0.09870105885619658,0.1009749058169237,-0.04158185023992167,0.04380099186530573,-0.05836525263883273,-1.6998695972722406e-16
8,-0.36994466727272635,0.1994874499871747,0.16171399365021583,-0.13006596347456978,0.11882452969242552,0.11079949452766996,-0.06636141153566864,0.06120252953989147,-0.05926994189997238,-6.371527090170767e-17
9,-0.39493605153374445,0.20627294554664433,0.15616078688189083,-0.1437546878203759,0.11306772836453796,0.06300239461026129,-0.07337374256630247,0.06405978593118855,-0.05189336620944368,-3.812814208515075e-17
10,-0.37399690609727004,0.22212789042366626,0.15181046998297015,-0.1641276547363155,0.1098270053100559,0.06414828097322992,-0.05298119246277955,0.053774656150899935,-0.06613654373884469,2.0470503884552697e-16
11,-0.37172919360687207,0.21659042261281283,0.15752952009687587,-0.11688844431179193,0.10730484451749442,0.11259688088620015,-0.06600054392625823,0.046289314916980295,-0.04537387942861329,1.5955284683471552e-16
12,-0.3781994965957178,0.19579799191234,0.1622233522241444,-0.17081979157867547,0.10028353250335284,0.06647794512301004,-0.04086131443352879,0.03839006678248649,-0.03399872461104465,-3.6730429650007136e-16
13,-0.3871806994954699,0.19097778467936738,0.15764322151128612,-0.12373867568789382,0.1211718073409327,0.1014756371347313,-0.07341234304326594,0.06558465729734625,-0.06724145607422116,9.180850553108407e-17
14,-0.3893033726133404,0.20463696463154807,0.15546236962433757,-0.13063306100635283,0.1294953723305796,0.072751874802624,-0.08025995068573612,0.06366356466755863,-0.04602780588063591,2.5639906019103337e-16
15,-0.3804199292091442,0.20930228578613552,0.16831381011192142,-0.1328403965318057,0.11040648740818525,0.08894597532935314,-0.06521204976203056,0.05528079014332596,-0.06218799764508201,2.6941971675373246e-16
16,-0.38133394465421905,0.20586113472650913,0.17522385540401814,-0.138097569625518,0.09795592840118149,0.08848043826951656,-0.053460184961026294,0.05765531377755531,-0.06602349759126987,-1.6821005063721506e-16
17,-0.3984538752585057,0.19344391930737848,0.14898519676028743,-0.1468940638538232,0.12737452965389473,0.07115098719600994,-0.07466511803007203,0.0501436776846855,-0.04255507684787255,4.031970867942317e-16
18,-0.36924428249320296,0.20099446821078235,0.15881574399945522,-0.1379766633607648,0.12593892977342006,0.08521679064329024,-0.057396462366217454,0.046699550974459825,-0.04056470142812618,-1.2872819889049758e-16
19,-0.36970006456439686,0.21446447774867733,0.13273794926205176,-0.15131162598338949,0.11018788496299652,0.0850565181285323,-0.05964786469916809,0.059191491113760486,-0.04728224188495446,2.1411081900046994e-16
20,-0.40365846744877815,0.19460111900544227,0.1486595228944873,-0.13419536100035856,0.1140147091447549,0.08791696685025405,-0.07399225602736034,0.05189181321790176,-0.04522297535342153,-3.091822630637886e-17
21,-0.32903933814119657,0.22277390032843614,0.15412351952912187,-0.15952527948214834,0.11253191339368138,0.08815683644127467,-0.03429985724859605,0.0522089051973787,-0.05747709595523974,-1.0307512884215412e-17
22,-0.4112574596417964,0.19564568881236777,0.14803006739583924,-0.1626429887460763,0.08764396350054543,0.08120941527688967,-0.06402501885683283,0.03910629851615169,-0.04502767580395164,4.890376396809707e-17
23,-0.35969900681340977,0.2027978639796918,0.15089910500851736,-0.1291309289400078,0.13551278576390574,0.08984563201077726,-0.05313544145511695,0.0627857544156234,-0.04989361129735381,-1.0222086405868844e-16
24,-0.3956441095177644,0.2130696697646716,0.18185013640076553,-0.11984133341691776,0.11633023611170337,0.07330012195047178,-0.08495279883874297,0.06072417592693488,-0.0597071342426603,2.036636834876142e-16
