Tag,Distance_Center,Nationality_Italy,Nationality_UK,POI_Restaurants_Hotels,Nationality_Spain,Percentage_Age_0_14,Percentage_Age_65_Plus,POI_Souvenirs_Thrift_Store,Intercept
01_001,,,,0.3052671702232963,,,,,0.502707699039034
01_002,,,,0.29889914974574366,,,,,
01_003,,,,0.2825049561895926,,,,,
01_004,,,,0.2661354408461683,,,,,
01_005,,,,0.2952017753754071,,,,,
01_006,,,,0.2934950274184555,,,,,
01_007,,,,0.2770321102796615,,,,,
01_008,,,,0.2612984487828729,,,,,
01_009,,,,0.24592965571677053,,,,,
01_010,,,,0.25656466754492663,,,,,
01_011,,,,0.2451341152561659,,,,,
01_012,,,,0.2376131545678778,,,,,
01_013,,,,0.2500959825826426,,,,,
01_014,,,,0.2562755421985824,,,,,
01_015,,,,0.24152564451543673,,,,,
01_016,,,,0.24691190706423372,,,,,
01_017,,,,0.2522636248740815,,,,,
01_018,,,,0.2658253210391003,,,,,
01_019,,,,0.28759149325613015,,,,,
01_020,,,,0.28876194388476173,,,,,
01_021,,,,0.2772879465800585,,,,,
01_022,,,,0.33011418461008496,,,,,
01_023,,,,0.3573633224193992,,,,,
01_025,,,,0.34993025295046865,,,,,
01_026,,,,0.3571909625961373,,,,0.128849566177217,0.4786583938276699
01_027,,,,0.3417750300103591,,,,0.119068099048474,
01_028,,,,0.3216262506808385,,,,,
01_029,,,,0.32092977040810605,,,,,
01_030,,,,0.3327677091233908,,,,0.13229053485499445,0.4892085259092971
01_031,,,,0.3423738874306013,,,,0.13012904077718446,0.4781032535803024
01_032,,,,0.3345467310035676,,,,0.16298449110477048,0.5099816730972643
01_033,,,,0.35390499231867556,,,,0.16503979362225363,0.4584745250705081
01_034,,,,0.35336925332029234,,,,0.16571191862046497,0.4252316693581561
01_035,-0.24697114280483523,,,0.3559524005093295,,,,0.16343663183656942,0.40554070563839917
01_036,-0.25730723007521544,,,0.3508230479094241,,,,0.14996385940813697,0.32680494238909563
01_037,-0.25571863827724217,,,0.36277314730287347,,,,0.1595927411121653,0.41646580517276743
01_038,,,,0.35788469085360824,,,,0.16301715741940598,0.42390204729957864
01_039,,,,0.35929927014140445,,,,0.1610674384376182,0.4387810702415696
01_040,,,,0.36062038790543627,,,,0.16318780081376194,0.4608948997724649
01_041,,,,0.3649444478864952,,,,0.1577640377071251,0.43815414226906024
01_042,-0.2621792396752644,,,0.36889701379312395,,,,0.1557881376632204,0.42657912344597826
01_043,-0.2823442197372144,,,0.3730075473603609,,,,0.13863041539037047,0.39783101529611326
01_044,,,,0.38256842706129024,,,,0.1371943477239767,0.48181520731563343
01_045,,,,0.37847953536796064,,,,0.13709010874586527,0.49735981040009314
01_046,,,,0.36958860199553906,,,,0.13488173285783922,0.4919640018088149
01_047,,,,0.3743080409829663,,,,0.1174234728712421,0.48600209294997393
01_048,,,,0.3840416503643028,,,,0.12258225490693428,0.5026869304314668
01_049,,,,0.37903254942897885,,,,,0.49031925304261254
01_050,,,,0.3782919523975695,,,,,0.48977011595807257
01_051,,,,0.38734263515284867,,,,,0.5131693900262205
01_052,,,,0.3858273595325675,,,,,0.5176887394367098
01_053,,,,0.3879001504176272,,,,,0.5119576354409049
01_054,,,,0.38696421334465014,,,,0.12275763731092385,0.5036832231689967
01_055,,,,0.37826759004340094,,,,,0.46001671968990643
02_001,-0.302523515784607,,,0.36031930128787504,,,,,0.3643964640468656
02_002,,,,0.3629364363944852,,,,,0.40461375170099556
02_003,-0.3111078146249705,,,0.35756292716456006,,,,,0.30688580121443393
02_004,-0.2956084642632907,,,0.35800333083713554,,,,,0.3317250447857701
02_005,,,,0.3632135735541442,,,,,0.41454153685139894
02_006,,,,0.3742821484994797,,,,,0.4857958194568845
02_007,,,,0.3690764923491863,,,,,0.4510381561915576
02_008,-0.2893083876250732,,,0.3590000494152621,,,,,0.3471858193462869
02_009,-0.3218890485587731,,,0.35856995039032435,,,,,0.2739979008944856
02_010,-0.35457915971534004,,,0.36012995904680806,,,,,0.21659557479047042
02_011,-0.33900699825809044,,,0.36079429068799673,,,,,0.22971156423096467
02_012,-0.3417853593778356,,,0.358090763945631,,,,,0.2324549025775894
