,price,accommodates,review_scores_location,latitude,longitude
0,$130.00,6,10.0,41.40888621158034,2.1855453256058017
1,$140.00,8,9.0,41.40419678481906,2.1730577177402504
2,$30.00,2,10.0,41.40792900826702,2.1745404013370675
3,$25.00,4,9.0,41.42949697771672,2.181557864385909
4,$42.00,2,10.0,41.40145195404779,2.156446514416526
5,$42.00,2,9.0,41.41096940955444,2.1707012064871583
6,$53.00,3,8.0,41.410900426326464,2.1708189126808017
7,$75.00,6,10.0,41.387305807180255,2.159071821611301
8,$65.00,4,9.0,41.40949767562464,2.1593760044263988
9,$87.00,5,9.0,41.409282448809,2.1611176368188154
10,$140.00,6,10.0,41.404635812260686,2.169537931472452
11,$100.00,10,9.0,41.39575758368108,2.1743191844527967
12,$337.00,10,9.0,41.3791695359138,2.1755459205559347
13,$40.00,2,9.0,41.39029237192944,2.1526776655400943
14,$30.00,1,9.0,41.39058408731682,2.151896791679498
15,$30.00,1,10.0,41.39146706179137,2.15118482746504
16,$45.00,2,10.0,41.39075231772431,2.1507170864108045
17,$38.00,1,10.0,41.37906404797985,2.191414374177489
18,$95.00,4,10.0,41.39559668113324,2.167606582682667
19,$180.00,11,9.0,41.40470596794909,2.170120076942332
20,$35.00,2,10.0,41.373151109271184,2.166400603303884
21,$140.00,6,9.0,41.40630655659375,2.1694475567849967
22,$180.00,9,9.0,41.39820673239579,2.1796556814819024
23,$95.00,6,9.0,41.410990047567786,2.1811883117959634
24,$105.00,6,10.0,41.3890083942644,2.165516263731225
25,$150.00,6,10.0,41.38322098271626,2.182339750582178
26,$85.00,7,9.0,41.39161026378198,2.150890219232701
27,$47.00,2,10.0,41.38071988862891,2.1781089116350247
28,$39.00,4,9.0,41.378284332844,2.1708049698328726
29,$110.00,2,9.0,41.39740375606598,2.176820214926076
30,$390.00,3,10.0,41.390379533157926,2.1760633161656253
31,"$1,000.00",2,9.0,41.39837413386731,2.206234352358284
32,$120.00,5,10.0,41.38422257403041,2.16700922618398
33,$95.00,2,9.0,41.37895275833272,2.174059995064068
34,$189.00,6,9.0,41.37196340924213,2.16385514859934
35,$170.00,6,9.0,41.37496458847168,2.1460610815984635
36,$300.00,12,9.0,41.40506469617693,2.1708111675811006
37,$105.00,5,10.0,41.39107682312345,2.1652094808037186
38,$65.00,5,10.0,41.371628661781926,2.165909957230637
39,$65.00,4,9.0,41.37335457871332,2.1616515002562258
40,$65.00,2,10.0,41.38255015926335,2.1683645964737943
41,$113.00,5,10.0,41.40438521139062,2.1777725489748527
42,$120.00,6,9.0,41.40825078107806,2.187291430812988
43,$107.00,5,9.0,41.37188305815928,2.166560860098896
44,$139.00,6,9.0,41.40476516721999,2.2026395972562574
45,$50.00,2,10.0,41.38227283723164,2.161409856559936
46,$300.00,9,9.0,41.37815338278758,2.16894289793616
47,$65.00,4,10.0,41.39376507480906,2.179503575748225
48,$90.00,2,10.0,41.38975651486666,2.1767289631009445
49,$44.00,2,10.0,41.38520192060267,2.1690216966184224
50,$53.00,2,10.0,41.38389725862773,2.180114760948354
51,$34.00,2,9.0,41.40905670582747,2.165385047170188
52,$235.00,4,10.0,41.38030603826841,2.1744716697638093
53,$20.00,3,9.0,41.39118864860903,2.1564145967314827
54,$209.00,8,10.0,41.42864338347722,2.091585894684503
55,$40.00,2,9.0,41.3810191220048,2.1654201344558577
56,$90.00,4,,41.40270427632093,2.1672528664114448
57,$90.00,4,9.0,41.403682466595946,2.166641367993696
58,$90.00,4,10.0,41.402506569044725,2.165076616742391
59,$90.00,4,10.0,41.38044712765654,2.1792852211714826
60,$45.00,2,9.0,41.39418058837811,2.174742925243356
61,$220.00,8,10.0,41.40745469653141,2.1740073609983974
62,$72.00,2,10.0,41.39872974515415,2.155039610797118
63,$230.00,6,10.0,41.40592802800319,2.175747250870689
64,$69.00,2,10.0,41.379692061280274,2.1653179757634784
65,$51.00,2,9.0,41.39738256021417,2.183982431695755
66,$31.00,1,10.0,41.38296965241717,2.170671888466095
67,$47.00,1,10.0,41.382350982413,2.179274810602013
68,$36.00,2,9.0,41.37242433368646,2.136366432857283
69,$49.00,2,10.0,41.40645951569088,2.212821363041517
70,$80.00,5,10.0,41.39841477453677,2.206129782666205
71,$60.00,2,9.0,41.37260390556262,2.1667021558149333
72,$35.00,2,9.0,41.38845967335021,2.123508020962989
73,$250.00,6,10.0,41.40764287929108,2.1757291518741946
74,$60.00,2,10.0,41.38709095472114,2.181119104618745
75,$50.00,2,10.0,41.37978257737136,2.1752940788766515
76,$50.00,2,9.0,41.382255182832,2.1589821922580024
77,$80.00,4,10.0,41.38487067062843,2.1799715376773485
78,$15.00,1,9.0,41.423182123991445,2.1750076843646484
79,$60.00,2,9.0,41.3969789555538,2.183801122654104
80,$50.00,2,9.0,41.37799356021512,2.1728071191749514
81,$39.00,1,10.0,41.39106009779585,2.150897996236132
82,$55.00,5,8.0,41.42137201977125,2.1548375440918623
83,$120.00,8,9.0,41.38416168897486,2.136355063060227
84,$149.00,8,10.0,41.40532139365592,2.17427032234022
85,$160.00,6,10.0,41.39105505291397,2.176622234088581
86,$60.00,3,10.0,41.383405042584464,2.1725675806282787
87,$105.00,6,9.0,41.40695772967268,2.1871118600746784
88,$115.00,6,,41.40827856720117,2.186221468007446
89,$24.00,1,10.0,41.38429914675165,2.167994309765031
90,$149.00,8,9.0,41.40616116791077,2.174231224132553
91,$22.00,1,10.0,41.43350853622074,2.1942448838231927
92,$20.00,1,9.0,41.43484008079282,2.1923428762975448
93,$27.00,2,9.0,41.37150747355048,2.1360673629073124
94,$50.00,2,10.0,41.39847183577318,2.164521356519846
95,$54.00,2,9.0,41.40846329611523,2.204201902092505
96,$55.00,2,9.0,41.38058902746083,2.168827387112863
97,$70.00,3,10.0,41.382814852261205,2.181483413064863
98,$20.00,1,9.0,41.40671270041131,2.167166934078426
99,$36.00,2,10.0,41.41076268295587,2.1907801598406857
100,$33.00,2,9.0,41.39326094307143,2.1738562825130314
101,$47.00,2,9.0,41.38179793469843,2.165271754648658
102,$316.00,5,10.0,41.3936751292841,2.1761417972119377
103,$46.00,2,10.0,41.39008751231269,2.125875092172398
104,$85.00,3,10.0,41.38471834897771,2.181491011573481
105,$20.00,1,9.0,41.43845863273225,2.155596490853948
106,$20.00,2,9.0,41.41431499414094,2.21686335273105
107,$130.00,2,,41.41025789128281,2.1562282543929734
108,$310.00,8,10.0,41.38796340501742,2.1594557449096383
109,$220.00,8,10.0,41.406254340332055,2.1751178825377435
110,$190.00,8,9.0,41.40735423271037,2.212936860449871
111,$75.00,6,9.0,41.39690080056526,2.1823009169928347
