,price,accommodates,review_scores_location,latitude,longitude
0,$16.00,1,9.0,41.37979250493647,2.1677364100158605
1,$120.00,3,,41.38158011067561,2.1697645698432617
2,$85.00,3,9.0,41.380406164613085,2.167631686750849
3,$31.00,2,,41.381772243849504,2.16363715187116
4,$40.00,2,,41.38200898110474,2.164696403472508
5,$35.00,3,10.0,41.385133375070886,2.1694548791250656
6,$50.00,2,8.0,41.375198487020704,2.172638940618917
7,$40.00,2,,41.37753864325072,2.168937631989339
8,$70.00,2,9.0,41.38371315117167,2.1649798028688
9,$184.00,10,9.0,41.380730033763726,2.1723803099287258
10,$50.00,2,10.0,41.38239975877615,2.169358159875649
11,$158.00,4,,41.37768359911982,2.171245275067604
12,$67.00,3,,41.38460150208236,2.165389710441894
13,$79.00,5,9.0,41.37973021190422,2.1642087711343048
14,$119.00,3,,41.37972906015403,2.173585881480597
15,$15.00,1,10.0,41.3797807840232,2.1637543719820576
16,$275.00,6,10.0,41.38405901992338,2.1650205658970525
17,$99.00,6,10.0,41.37791377576866,2.173946766750704
18,$30.00,2,9.0,41.37770443904433,2.1676303835408626
19,$30.00,2,10.0,41.37979090406236,2.1724805906721043
20,$33.00,2,10.0,41.37961390635861,2.17068191959729
21,$40.00,4,9.0,41.38157777133061,2.165854377113253
22,$24.00,2,9.0,41.37918041659868,2.169538303132722
23,$120.00,3,9.0,41.37701035832396,2.1657735673653
24,$40.00,2,10.0,41.37861769653366,2.1687446700054887
25,$17.00,1,,41.37829826567391,2.168743489700788
26,$69.00,6,9.0,41.38077872056798,2.166663502798577
27,$45.00,2,9.0,41.38065171804989,2.164837444737316
28,$39.00,2,10.0,41.38252164470179,2.168883771142261
29,$50.00,3,9.0,41.38286663798496,2.1659543194872843
30,$35.00,2,10.0,41.379041514792384,2.172457648868724
31,$61.00,2,10.0,41.37772709862825,2.1711766542964024
32,$49.00,2,8.0,41.38034142719696,2.1717557485080423
33,$40.00,2,10.0,41.37736698580156,2.1694179382169088
34,$100.00,4,9.0,41.37969701416491,2.165605128149544
35,$250.00,7,10.0,41.38504334202516,2.1666639921405744
36,$100.00,3,10.0,41.38201188339095,2.166177508302808
37,$120.00,4,,41.38243788118828,2.166417528726829
38,$199.00,10,9.0,41.38123776670525,2.1696074469061264
39,$30.00,1,,41.37900376873112,2.1656180719537166
40,$60.00,5,9.0,41.37613187994166,2.1712556385131
41,$41.00,1,9.0,41.3775709025448,2.164687952116556
42,$51.00,2,10.0,41.38122106459615,2.168010527819424
43,$35.00,1,10.0,41.37913219603673,2.1704486497756976
44,$9.00,2,,41.37817709931257,2.169349357207488
45,$30.00,2,10.0,41.38047220761757,2.164570255393774
46,$11.00,2,,41.37640272857544,2.1703831620358507
47,$9.00,2,,41.37820983887643,2.1710483283339483
48,$70.00,2,9.0,41.38333748410157,2.1673479514739635
49,$85.00,4,10.0,41.37516475561652,2.168042000922667
50,$32.00,2,10.0,41.38316742501411,2.1687744911604576
51,$50.00,2,9.0,41.37579490656978,2.1759519927092064
52,$79.00,2,8.0,41.382451339059664,2.1695210923770176
53,$45.00,3,10.0,41.37926116004708,2.172865675513662
54,$250.00,4,,41.3779764530771,2.16827623034726
55,$30.00,1,9.0,41.37768117447839,2.170833221594252
56,$92.00,3,9.0,41.37581514682603,2.1705630434453167
57,$25.00,1,10.0,41.37503540992251,2.1761607518195127
58,$35.00,1,9.0,41.37609088635712,2.168551683093717
59,$89.00,2,6.0,41.37796583439923,2.1654897884787725
60,$30.00,2,9.0,41.38048480236209,2.163641794330918
61,$300.00,2,9.0,41.375381259535736,2.168163846076905
62,$40.00,4,9.0,41.38237878098189,2.165409170421209
63,$140.00,5,9.0,41.37733102196558,2.166353940229836
64,$47.00,3,9.0,41.37957972737722,2.168588865129239
65,$20.00,2,9.0,41.37689655712687,2.167857171209327
66,$20.00,1,10.0,41.37938053494784,2.1698660813586867
67,$70.00,3,10.0,41.38033999600876,2.1690886387750137
68,$130.00,3,9.0,41.37833058377817,2.1650231037307246
69,$55.00,2,9.0,41.37883484589158,2.168439578000525
70,$80.00,2,,41.38051085391255,2.1733378970390502
