,price,accommodates,review_scores_location,latitude,longitude
0,$100.00,6,9.0,41.37711554569493,2.176427169917666
1,$60.00,3,10.0,41.38046744490571,2.1737848598045737
2,$45.00,2,10.0,41.379728637503646,2.1744390858168816
3,$62.00,2,10.0,41.38507728250767,2.166916161428784
4,$35.00,3,10.0,41.38422391445643,2.165125341689016
5,$85.00,4,9.0,41.38026126643865,2.1683401889897054
6,$45.00,2,9.0,41.37946546298144,2.169291609213053
7,$46.00,2,10.0,41.38319741229697,2.1639837063496894
8,$40.00,3,10.0,41.38382209735924,2.164271374744512
9,$29.00,2,9.0,41.38396631772777,2.1650145560707115
10,$123.00,4,,41.38464182930184,2.16730101426274
11,$72.00,2,10.0,41.38400509749707,2.169380490473858
12,$35.00,1,10.0,41.378097438799735,2.1738155717463536
13,$45.00,4,10.0,41.38523749073636,2.169412869597717
14,$100.00,2,,41.37749438837578,2.172310935990129
15,$160.00,4,,41.378466150445526,2.17369772787536
16,$55.00,2,,41.38064678037005,2.1722208463714288
17,$15.00,2,,41.38416676413964,2.170410225423984
18,$100.00,4,10.0,41.38532577162019,2.1676159568416224
19,$40.00,2,,41.38317646638895,2.17123611818586
20,$190.00,5,,41.37607450152195,2.17539873512638
21,$75.00,3,10.0,41.38288020485461,2.168881558061229
22,$40.00,2,,41.375176607028486,2.171207429199133
23,$28.00,2,9.0,41.3841667695004,2.166170050358448
24,$40.00,2,9.0,41.38316829187605,2.1641875259435084
25,$25.00,2,9.0,41.37580805047438,2.172422145247168
26,$37.00,2,10.0,41.384032570380384,2.165050270356073
27,$55.00,2,9.0,41.37510239664538,2.168678460707267
28,$57.00,3,9.0,41.37912015294996,2.170321095520609
29,$35.00,2,10.0,41.38286145478578,2.169239370614835
30,$192.00,3,9.0,41.3793087674168,2.169926498834364
31,$58.00,2,,41.38410731848225,2.167380145365084
32,$31.00,2,10.0,41.37699104264258,2.1733831652781146
33,$120.00,4,,41.37806796316773,2.1723601927574547
34,$45.00,2,10.0,41.382185526539,2.1695902071426465
35,$143.00,8,9.0,41.38445531174881,2.164223725266619
36,$28.00,1,10.0,41.37694184122789,2.173126245965507
37,$75.00,2,10.0,41.37683711418337,2.166780226427735
38,$25.00,2,10.0,41.37567869054152,2.169545066177458
39,$80.00,2,10.0,41.38387175879844,2.169635121303107
40,$28.00,1,9.0,41.378006095821725,2.1653845259207487
41,$145.00,4,10.0,41.38507353103429,2.1672934266685213
42,$80.00,5,10.0,41.3851528406604,2.168222838837854
43,$47.00,2,9.0,41.381538327171,2.165523202587606
44,$18.00,2,10.0,41.381196178370224,2.1663031634819188
45,$45.00,2,9.0,41.37805611764375,2.16895258079537
46,$20.00,1,9.0,41.38038771799963,2.165232558035311
47,$55.00,2,9.0,41.37859791056927,2.1743269787094137
48,$60.00,3,9.0,41.38139779132241,2.1701149505522386
49,$85.00,3,9.0,41.37957032747799,2.1687011118725734
50,$95.00,2,9.0,41.37906626407061,2.168493823455824
51,$39.00,2,10.0,41.3811263844867,2.1693773431482817
52,$36.00,2,9.0,41.37629265602872,2.168020904581317
53,$25.00,1,9.0,41.37882804981876,2.1732359796110803
54,$170.00,4,8.0,41.37575613585253,2.16988611032454
55,$130.00,3,,41.37833058377817,2.1650231037307246
56,$19.00,6,8.0,41.37916089491208,2.165417447463529
57,$50.00,2,9.0,41.37678481590776,2.17469482653782
58,$70.00,2,10.0,41.37733578675988,2.169207745097124
59,$157.00,6,9.0,41.37952883448116,2.172999575298197
60,$40.00,2,10.0,41.38131946674129,2.16618688923015
61,$53.00,2,,41.3811771927394,2.168945677005817
62,$52.00,2,10.0,41.38548537561884,2.167138583792457
63,$132.00,3,,41.37988760853474,2.1711109977608967
64,$28.00,1,10.0,41.38192462997306,2.165525889933739
65,$20.00,1,10.0,41.383557533702266,2.164809610063964
66,$85.00,4,9.0,41.37654050888364,2.175949643314122
67,$300.00,6,10.0,41.37465722623718,2.1753927049328032
68,$35.00,2,10.0,41.37564432887047,2.172002805271806
69,$30.00,3,9.0,41.38239478253972,2.165878600310931
70,$50.00,2,10.0,41.37988905920486,2.171693976092385
71,$45.00,2,9.0,41.37987132800256,2.173284272518404
72,$57.00,1,9.0,41.37922472943316,2.1666105732048795
73,$70.00,4,9.0,41.38190858721286,2.1646157293575365
74,$100.00,2,,41.37821189508691,2.166795714425104
75,$80.00,6,9.0,41.380230913452245,2.163478224991103
76,$132.00,5,9.0,41.37733102196558,2.166353940229836
77,$116.00,4,10.0,41.37995175190549,2.164625735441553
78,$50.00,2,10.0,41.38047917700999,2.16522339093768
79,$65.00,4,7.0,41.37760436606728,2.167288942143302
80,$130.00,7,9.0,41.37922169536641,2.164164166126449
81,$49.00,2,,41.37923669385748,2.16640076048658
82,$70.00,5,8.0,41.3771951534234,2.166907251455826
83,$75.00,5,9.0,41.37867696323817,2.167731049307121
84,$65.00,5,9.0,41.37936005114212,2.1685362142283147
85,$89.00,2,6.0,41.37796583439923,2.1654897884787725
86,$60.00,6,9.0,41.38045541569024,2.165323436109853
87,$80.00,10,8.0,41.37896079768375,2.1658412310995123
88,$16.00,1,10.0,41.380300587658326,2.1724588505140847
89,$80.00,4,9.0,41.37901176334723,2.1678579309835166
90,$122.00,2,9.0,41.380951086426585,2.1674237574150697
91,$65.00,4,10.0,41.37976910373929,2.1673066936913066
92,$32.00,4,8.0,41.376881865510505,2.1675520705477496
93,$69.00,6,9.0,41.38077872056798,2.166663502798577
94,$60.00,7,9.0,41.38059334251938,2.1660323077459704
95,$80.00,4,10.0,41.3804672905853,2.1659939801117742
96,$100.00,2,10.0,41.37886450115759,2.167001368768406
97,$150.00,5,,41.37852415566744,2.165923664582636
98,$25.00,2,9.0,41.37933817908757,2.169832919843253
99,$25.00,2,10.0,41.38004396842758,2.1644724176624672
100,$50.00,2,,41.37794457602416,2.173090390440801
101,$120.00,5,7.0,41.37711987678151,2.167057982596255
102,$100.00,2,,41.38102055875179,2.1666351178492103
103,$180.00,6,10.0,41.38021508309455,2.1678894507732624
104,$140.00,2,,41.38079991309149,2.165983667359289
105,$69.00,4,,41.380394818931904,2.163933268700937
106,$75.00,5,9.0,41.37571990845845,2.1673411897287806
107,$25.00,2,10.0,41.37813281136069,2.17238054913229
