,Distance_Center,Nationality_UK,POI_Restaurants_Hotels,Nationality_Italy,Nationality_Spain,Education_University,POI_Daily_Others,Intercept
0,-0.4623878528485471,0.17629931087849987,0.14754148429278643,0.12816131743545336,-0.1488945076306819,-0.09326767009886826,0.028723231607441307,1.3793730454666034e-16
1,-0.43503290568729985,0.17774369684355326,0.16407603845798677,0.19328805796172155,-0.1071033030789555,-0.11479673678486838,0.030500282485234037,-5.753112786166167e-16
2,-0.46413064942415405,0.17205256346778755,0.1609090931144449,0.12691223754283676,-0.12548777488984864,-0.08368234344034153,0.0435000845006408,-2.2714926227843075e-16
3,-0.4116279103402963,0.18100316561623664,0.15549650332630763,0.15038742392993854,-0.1587293882163332,-0.09726126281972068,0.04767535689289426,-1.302050424710358e-16
4,-0.44830155194176646,0.16381154804221856,0.15531912076568305,0.13943888076455074,-0.16104694509137568,-0.0949524890665204,0.027468732749036356,3.0302297314417134e-16
5,-0.4791214487952942,0.17476089665355532,0.14104540208303867,0.13079903627182754,-0.13497798862256116,-0.09980783679456064,0.034966769511550866,8.537271518894604e-17
6,-0.4334670284644201,0.1620879744820864,0.15682624332780898,0.13978335688678,-0.16604447576494313,-0.07356521720347099,0.029290164573905098,-5.757361998736572e-17
7,-0.4254879165533551,0.16061618766962493,0.17393336924101094,0.1599896284699,-0.13884341946353848,-0.09535594907339463,0.030491796509999308,-9.242922946023723e-17
8,-0.4322761087004596,0.1884150757443825,0.15455356464916045,0.14762373986173125,-0.14327403198422878,-0.10335833146642913,0.040005062506894035,-5.476528111022463e-16
9,-0.4539740913264423,0.18253298130916457,0.16077621740128745,0.16196246814805798,-0.11465268246598867,-0.11304409081346786,0.04009606711597155,3.496973996412448e-18
10,-0.42824752251411924,0.18624798074414647,0.13935202787690476,0.1568508000439692,-0.15652647361567557,-0.09359229703646191,0.03363913187651374,7.291351737629085e-17
11,-0.44488628349708137,0.16064424522967063,0.16963994084703765,0.17012895646739767,-0.11993523963328086,-0.1089215419926663,0.030673187007494773,9.688712568822872e-17
12,-0.44091014090075126,0.18701340276727557,0.1712176492846761,0.12057121710964751,-0.1509489744539709,-0.0855994796362833,0.029859741138535095,-1.3783291822465234e-16
13,-0.45544003263508603,0.156680784504904,0.14866739249049526,0.1445698468871961,-0.15174153342995333,-0.09969437188341301,0.04113648298009276,-2.4375732025853677e-16
14,-0.4549001792126123,0.17769327885246317,0.1564596508450192,0.14955725146714074,-0.11823493045815092,-0.0978321596304502,0.040750548921618834,1.6444982754951916e-16
15,-0.44107585950496614,0.17573213989192737,0.17306476491698733,0.13953166368364203,-0.14665361265645804,-0.09771126894179528,0.022079827411188524,1.0954542300274356e-16
16,-0.44998213064744075,0.20055438968749895,0.17371450157284155,0.135464530410077,-0.13278271600754266,-0.12020593999928138,0.03239166353363648,-2.9459277396227405e-16
17,-0.45088618466761754,0.17756407483899217,0.1449546802231003,0.14502632030297044,-0.1435561069092568,-0.10301875125966344,0.03890082819573265,-2.352974764610218e-16
18,-0.44095041941847346,0.17107144137889668,0.1492156056384366,0.14912056971035934,-0.13603855065119666,-0.0775528166803014,0.03348103449498774,8.887807066429174e-17
19,-0.44151787104476925,0.14512201869057773,0.14262277740208212,0.1710207511542801,-0.13877728460902128,-0.08568361932977628,0.05034465424002546,4.4809385370568194e-17
20,-0.46544658584438897,0.18397114830263944,0.1537076249149461,0.13018512447124636,-0.13596716965027966,-0.08692958181452248,0.022512611883964834,4.379920266859109e-16
21,-0.4059532786079476,0.18962332116688063,0.13868327135061945,0.16124243183759368,-0.14501926892397907,-0.08772711695352262,0.04517568922640702,-1.3553617641299316e-16
22,-0.47162794623276894,0.16202964788238394,0.15423198662979068,0.10773444759195153,-0.17627223466957026,-0.0931345188409392,0.02324097311888118,-2.161178434620095e-16
23,-0.43690603965789576,0.170716565930778,0.15766136746593776,0.14939175761550033,-0.1349913855448437,-0.08542151669285925,0.04240710375551915,-1.8075370545806683e-17
24,-0.44442956912584625,0.16391466132917343,0.17732997475348206,0.19230809749202973,-0.105354543500013,-0.13044799161342607,0.04334971022443951,1.4960999339837443e-17
