Tag,Distance_Center,Nationality_Italy,Nationality_Spain,Nationality_UK,POI_Restaurants_Hotels,Percentage_Age_65_Plus,Percentage_Age_0_14,POI_Education,Intercept
01_001,,,,,0.3073773867293714,,,,
01_002,,,,,0.2958282542802827,,,,
01_003,,,,,0.27477561202721235,,,,
01_004,,,,,0.2523110964299118,,,,
01_005,,,,,0.2895083020856593,,,,
01_006,,,,,0.2854029397436314,,,,
01_007,,,,,0.26502812412942267,,,,
01_008,,,,,0.24574052045558667,,,,
01_009,,,,,0.22770677878938367,,,,
01_010,,,,,0.23954354175312778,,,,
01_011,,,,,0.2264389608376775,,,,
01_012,,,,,0.21837586576628815,,,,
01_013,,,,,0.23153096384578886,,,,
01_014,,,,,0.2381643618149302,,,,
01_015,,,,,0.22217083305849283,,,,
01_016,,,,,0.22751193218159288,,,,
01_017,,,,,0.23373968100711526,,,,
01_018,,,,,0.24944472902474898,,,,
01_019,,,,,0.2763848551715026,,,,
01_020,,,,,0.2752799648983416,,,,
01_021,,,,,0.26110761503357893,,,,
01_022,,,,,0.31809859243080235,,,,
01_023,,,,,0.34404919311716914,,,,
01_025,,,,,0.3436340895761786,,,,
01_026,,,,,0.35409027426341017,,,,
01_027,,,,,0.3401621240390433,,,,
01_028,,,,,0.3148986351630623,,,,
01_029,,,,,0.31999650914007327,,,,
01_030,-0.31598182388484986,,,,0.33621165995894237,,,,
01_031,-0.3130782164658884,,,,0.3428321478174864,,,,
01_032,-0.33424677163125927,,,,0.3424034990152142,,,,
01_033,-0.35098409019921994,,,,0.35298132610048694,,,,
01_034,-0.35245141739896146,,,,0.3482328404314938,,,,
01_035,-0.3534407820042145,,,,0.34734708165706896,,,,
01_036,-0.3479376563312079,,,,0.3331288467646991,,,,
01_037,-0.35573639546846825,,,,0.3529133751703968,,,,
01_038,-0.3545662406296168,,,,0.35135463197299255,,,,
01_039,-0.3544555827933956,,,,0.355045812783158,,,,
01_040,-0.3511783461801952,,,,0.35624684620960734,,,,
01_041,-0.3547806969496614,,,,0.357736596464595,,,,
01_042,-0.35756000578351504,,,,0.35807097052481995,,,,
01_043,-0.3568606475289391,,,,0.3573098940292627,,,,
01_044,-0.33305629178237095,,,,0.371108810387895,,,,
01_045,-0.3199743047170991,,,,0.3697535893819407,,,,
01_046,-0.3144372992583542,,,,0.3634722807027042,,,,
01_047,,,,,0.3652024534412305,,,,
01_048,,,,,0.3726404601657815,,,,
01_049,,,,,0.36661422461144305,,,,
01_050,,,,,0.36431781863499035,,,,
01_051,,,,,0.37267069235969275,,,,0.40149974857981136
01_052,,,,,0.3701912107796842,,,,0.4213392391688881
01_053,,,,,0.3737805601554131,,,,0.3850369469947652
01_054,-0.30336380860430623,,,,0.37362183029382046,,,,
01_055,-0.3118110081314286,,,,0.36666387458157057,,,,0.3518501679230697
02_001,-0.31449456886289734,,,,0.3543300256437871,,,,0.3056485381746871
02_002,-0.28529359237864604,,,,0.3584226192996704,,,,0.3464438866223684
02_003,-0.3138046026266722,,,,0.3548678010835096,,,,0.2666486520618973
02_004,-0.3021021146620114,,,,0.3575930468544511,,,,0.29109287372728093
02_005,,,,,0.35882254290733484,,,,0.3550160973593132
02_006,,,,,0.36555598325646627,,,,0.41463681118911994
02_007,,,,,0.36131266763756675,,,,0.38603312239939236
02_008,-0.30125822279056336,,,,0.35803874958175447,,,,0.30304506264550196
02_009,-0.3211597558842865,,,,0.3610475773650348,,,,0.2487373417850566
02_010,-0.35084066958574056,,,,0.36287025737949485,,,,0.19731069916408106
02_011,-0.33339431097885996,,,,0.35968199970136006,,,,0.20976676393924718
02_012,-0.3338196577316699,,,,0.3474104037181028,,,,0.2080046273972632
02_013,-0.37271371352284255,,,,0.35986083708756544,,,,
02_014,-0.42882141925589345,,,,0.36744823575736324,,,,
02_015,-0.4040448630236858,,,,0.36512252253312943,,,,
02_016,-0.34935183377408574,,,,0.3615450475693438,,,,0.2287906810123265
02_017,-0.30793174877080365,,,,0.3566869041165367,,,,0.3115344348505966
02_018,-0.33642136150265467,,,,0.3507763135106613,,,,0.28402320387669777
02_019,-0.354530033238724,,,,0.35298303110742785,,,,0.25346613868438894
02_020,-0.384585102544559,,,,0.3579284782273492,,,,
02_021,-0.45345878949463236,,,,0.36341759533976076,,,,
02_022,-0.5062824910818188,,,,0.36749884681825473,,,,
02_023,-0.5134198166047533,,,,0.36327561374014783,,,,
02_024,-0.43850848029091527,,,,0.3524649488750844,,,,
02_025,-0.5108252541783684,,,,0.3476555914240623,,,,
02_026,-0.4964081363431184,,,,0.33776065838783503,,,,
02_027,-0.5603499717960343,,,,0.31956521624839934,,,,
02_028,-0.558672975987281,,,,0.3366101963686859,,,,
02_029,-0.543424567299498,,,,0.3514263975900581,,,,
02_030,-0.5847085102971374,,,,0.3555484937380448,,,,
02_031,-0.6178159390683915,,,,0.3447097324393205,,,,
02_032,-0.631480275932808,,,,0.3299600591204489,,,,
02_033,-0.6288675626893886,,,,0.3079216028929009,,,,
02_034,-0.594884550369368,,,,0.3035055930419747,,,,
02_035,-0.5621288665349959,,,,0.3025228814193409,,,,
02_036,-0.5972853686524529,,,,0.2874408657452655,,,,
02_037,-0.6440748147237081,,,,0.2888892080191836,,,,
02_038,-0.6895446548689381,,,,0.29662795411162507,,,,
