,Distance_Center,Nationality_Spain,Nationality_Italy,POI_Restaurants_Hotels,Nationality_UK,Percentage_Age_0_14,Intercept
0,-0.3655222914150961,-0.24146936290020055,0.20001567951438654,0.13492063323647707,0.06357099986348509,-0.05220105187651311,-2.0431397615309478e-16
1,-0.3572035394153017,-0.23266338385545704,0.19223482521949553,0.1546594296978433,0.08114740848499942,-0.0381754108870405,1.1815343520120142e-16
2,-0.39049955007472625,-0.22110850304359475,0.16639870929489464,0.1651844300509711,0.0843959206592715,-0.029212579620995507,1.3391311139000471e-16
3,-0.33730287224022565,-0.25884923110136243,0.18835042757714154,0.14831060685132502,0.07748655879334466,-0.05671283977994551,4.2839991801482323e-16
4,-0.3826038323156249,-0.2555857539677184,0.1664488615744622,0.14039334958998617,0.07916670417557918,-0.03518117367124697,3.0732287677880483e-16
5,-0.39753070339122987,-0.2219245508051623,0.19704499017274302,0.13096003191663497,0.06575444072840422,-0.038074983641424504,-4.1410386616552055e-16
6,-0.3693277585506327,-0.24994401972543062,0.1742358699996141,0.14743829607997433,0.09228450922756146,-0.021118240963128365,5.737540292378347e-17
7,-0.3564010280185359,-0.24855516581697285,0.18662782647286394,0.16274213333618054,0.06335420246465949,-0.03917907500647198,-1.589781240985135e-16
8,-0.34848750509642523,-0.2514801272637847,0.17787715712678726,0.1431646194503164,0.08463414868366438,-0.07055773485235088,-2.0772259883547863e-16
9,-0.3633563151312432,-0.2349491010498538,0.17918914907945502,0.15905346503724355,0.07796038131563518,-0.0423558359480984,-1.259919330383413e-16
10,-0.3571450515498045,-0.24973523953708165,0.186354865586303,0.13783814029663882,0.09229992143092311,-0.04192995301540167,-9.378885016478119e-17
11,-0.3626678403015916,-0.23011244589119745,0.20415757662262352,0.15517329075871783,0.06441965825800804,-0.038243113480893515,-1.1407434824294425e-16
12,-0.3753408916315988,-0.251380846186152,0.17846425024664142,0.15510578810304665,0.06551814313034213,-0.03381280217036517,-1.8380437463589334e-16
13,-0.3797157124583587,-0.2438172112491339,0.1786616405876561,0.1445241122771858,0.06082407179715851,-0.0386713661944216,-3.9211488218642753e-16
14,-0.36014283961599713,-0.23300963826522875,0.1690019197925857,0.15107027861680955,0.10094865485924634,-0.0575631107746159,3.4846157016254963e-16
15,-0.3635877393398166,-0.23347960342315066,0.1943207286893499,0.15266282604500653,0.06917426365268448,-0.052934664918279736,2.1849088579701816e-16
16,-0.372650867053949,-0.23586363888275286,0.1776795184112422,0.16859869199824729,0.06491265530940063,-0.049406452295748485,2.216049483893214e-17
17,-0.3856658356244017,-0.2540449784040635,0.1666855617635763,0.138359791396936,0.08204954028909074,-0.03273951710865931,1.5977982781824008e-16
18,-0.3694430827562258,-0.23476990353761001,0.17935818344830026,0.1452317507215719,0.09319769091337636,-0.028522806424983907,9.620745671070108e-17
19,-0.3415101721793353,-0.250344421507095,0.19751882389940695,0.13861153371665463,0.07726464999202284,-0.045456819860608566,1.0727904520861855e-16
20,-0.3741094028383622,-0.24704257091687062,0.16418606657533522,0.13868365677192235,0.0876849615403183,-0.05537101499075507,-2.215846769569093e-17
21,-0.3312243850481508,-0.24733769874710343,0.21581044464109853,0.15031147405999357,0.0693268494870109,-0.03194554547068407,6.288604702157818e-17
22,-0.4108474307753919,-0.2660879775237692,0.17021589459155334,0.13175790419795552,0.04112312821887554,-0.031728829305267645,-3.213357852312104e-17
23,-0.3500705881400912,-0.22275434386850174,0.1835390767467144,0.15044274639224886,0.10454185126851917,-0.0525085120361512,-1.703653440053108e-16
24,-0.36694982260139475,-0.22383559014132842,0.18534735966622867,0.17181460339837595,0.07978675073974713,-0.04123417889823011,1.2647138842275677e-16
