,Distance_Center,Nationality_Italy,POI_Restaurants_Hotels,Education_University,Nationality_UK,Nationality_Spain,Intercept
0,-0.4724193227157396,0.21154089859217884,0.14461905123259944,-0.1253767171021774,0.11930917737820983,-0.13081131417654207,-5.501277363308968e-17
1,-0.4487060169045908,0.2601260176292872,0.15621878192734456,-0.12740863959234297,0.11519491111464258,-0.09814596195837377,-7.030441355338302e-17
2,-0.466984315623688,0.1844723681828377,0.16536643220753452,-0.11600311737269935,0.14989976410210393,-0.10962387106503925,-2.1738374126363168e-16
3,-0.43315525140576633,0.200761977666998,0.16342356953169626,-0.11098483381106393,0.13180851987325337,-0.1452839792731343,2.0138307873997932e-16
4,-0.4655627317204329,0.23595849397882507,0.15142195608233935,-0.14586889483494328,0.1232084908062441,-0.11202640457383692,3.4428965522221594e-16
5,-0.4985402149613986,0.21191209281053416,0.14368616218681193,-0.13282207662800383,0.12297667722966536,-0.10195104281218241,-3.0727219074177406e-16
6,-0.44110317239891034,0.2241701737475128,0.1460551501761128,-0.11232742077489292,0.12981401057567865,-0.12948725701191127,2.2645703052627197e-16
7,-0.4347033139835491,0.21527863793528604,0.16631247333709914,-0.11163611801920155,0.11899735633079861,-0.1393596687710767,1.842874374569583e-16
8,-0.4522833906406628,0.2267275800836459,0.1569019450542255,-0.1441523133058748,0.13765464737927577,-0.11183742832970023,-3.0005432461279273e-16
9,-0.46218248591002287,0.21688535477291704,0.16688883698702445,-0.1269583604202616,0.1293213790317519,-0.11147048639315112,-7.065884454163194e-17
10,-0.43747904903014617,0.2196897855178196,0.14211875089613124,-0.11868845768836281,0.14583892506463605,-0.13837433261917792,-2.3900818945517636e-16
11,-0.46672046246938076,0.24758640372923213,0.16213938487625457,-0.14336995146818793,0.10772618595377781,-0.09378678893950428,-1.3655717305833895e-16
12,-0.4424107506898133,0.21233274456926504,0.1617973052647441,-0.10795480085204937,0.12520856758930896,-0.13905858237137947,-1.2744240163336928e-16
13,-0.47958224530110993,0.20210814537548852,0.15934459439500423,-0.13571505028645447,0.1172696312694452,-0.122071746083535,-6.127687645941304e-17
14,-0.4638580509326089,0.2138729426571365,0.1551268268185339,-0.1207884893354685,0.14021437859237812,-0.10148384486385431,-3.1219952991529844e-16
15,-0.45133657283314577,0.2193961194986149,0.16286648677582544,-0.12998026191852013,0.12628218947717343,-0.12559203192853358,5.952119077610262e-17
16,-0.43978137350383817,0.23951412068788977,0.17800144072566543,-0.1385671898751582,0.1305162831946813,-0.10897730336773316,-3.5811705251031527e-16
17,-0.47536905584718614,0.21676804111076284,0.13760746732616308,-0.13472484385736821,0.12148286684156911,-0.13489002477669781,-2.7939495360824523e-16
18,-0.4509100740619563,0.20934353234744865,0.15148185442319087,-0.11058924766887623,0.14849468059869592,-0.10389029652300967,3.7804639222025016e-16
19,-0.47178559739727516,0.21127174637638352,0.14990733102068973,-0.11140713158296206,0.11006679899980888,-0.120390785025385,3.08828366811742e-16
20,-0.4754469524896009,0.20530320315063225,0.140698673916003,-0.12804173776015768,0.14568794808498425,-0.11755159450160205,3.581582979982134e-16
21,-0.41491779016105945,0.2414507617685059,0.15254181242683829,-0.11889330565638474,0.13673918491579465,-0.12131883626828345,-5.2448222402463186e-17
22,-0.48666811765787393,0.19923274206555905,0.1387767834386509,-0.13314565992335212,0.1121591128852246,-0.1469817266646231,2.464351741127947e-16
23,-0.4472619255927562,0.2258555139914073,0.1612121280111682,-0.10890151908724037,0.12181541739004323,-0.11209955361993157,-6.562071567632626e-17
24,-0.46402553447376665,0.22723227258589906,0.185495828244727,-0.13889130140533848,0.12123244969837069,-0.09504204967619402,8.440068615610697e-17
