,Distance_Center,Nationality_Italy,POI_Restaurants_Hotels,Nationality_Spain,Percentage_Age_25_39,Nationality_UK,Intercept
0,-0.361652659864271,0.20198910586967955,0.138972669955224,-0.14576135886952535,0.1069742489123667,0.08278092589578741,-3.110104238792336e-16
1,-0.36090669876845777,0.17495233066278457,0.15752397915461386,-0.1347704919032858,0.102265167463709,0.11241891474700418,-1.3051097868011828e-16
2,-0.381596428268689,0.14317019851211116,0.16472978199596683,-0.1262900272525865,0.11055071628841467,0.12304003104584021,3.5841906415784366e-17
3,-0.3257277205392324,0.17416013864894642,0.14824833861555725,-0.1707600748596153,0.11832642964369541,0.11385653079513544,-1.2418320069096499e-16
4,-0.35334764142108926,0.20211053020441777,0.1509245071551502,-0.15594752173593393,0.09036875492137356,0.08918921226157513,-8.264762195453195e-17
5,-0.389495426795674,0.19933857636181307,0.12874757009499604,-0.12077071285642049,0.11258279243161519,0.08609560001635519,4.4313557905636995e-16
6,-0.33911371731107715,0.17634586419506212,0.1515930956065782,-0.18684470012491242,0.06318632029931848,0.13620175497744164,-3.7389418083716994e-17
7,-0.34383396690632534,0.18695825632103164,0.16188853315163532,-0.1423071078057485,0.11233575780222473,0.09942188497137329,-2.1063876899005169e-16
8,-0.34058474741044215,0.1764796457523335,0.16070819318338148,-0.13802541245244676,0.13674202085529652,0.09395700560974295,-5.923476253226881e-16
9,-0.3724613666401304,0.1593548965008554,0.15723077625837334,-0.145975378835895,0.10196806183888811,0.10191274964016436,-4.785360808706632e-16
10,-0.356265644702168,0.19180662305336602,0.14792734237506022,-0.1670166635269577,0.07901471050430167,0.10676125843013458,4.060445658317968e-16
11,-0.3530249050887496,0.18387306834857292,0.14850432433136168,-0.13045081774564313,0.13164892383243015,0.09438870261408948,-1.3297747159756749e-16
12,-0.3591335943525673,0.18353502537980887,0.15950316091439154,-0.16867549880081,0.08007570409229267,0.09856306625843203,3.0407664568278304e-17
13,-0.36352111232905593,0.1567463638964244,0.148127348259323,-0.1391185124285759,0.12358182458966993,0.10873039884559405,-5.322690503333282e-19
14,-0.3531117209790177,0.18266320360875257,0.15376926478622693,-0.12719347454713087,0.11552167446711228,0.11048534922061536,2.5799200047952935e-17
15,-0.3589983853160637,0.1835441540775108,0.15198068026906253,-0.14137280983803485,0.11373702132502422,0.09467429887398562,2.0680000525830272e-16
16,-0.362444913470964,0.18197047163661575,0.17137017704065133,-0.13830166404280753,0.10279989961518282,0.09441848000643804,3.8119492271928804e-16
17,-0.366100248265857,0.1599167492526629,0.14242002478611843,-0.17223169287564344,0.09628638867353365,0.11252190568487402,-2.6223804501545147e-16
18,-0.3454095423013186,0.19456608977444936,0.1494430108932716,-0.13920984810977552,0.1041485977280209,0.10731941593684946,-1.2366515321239438e-16
19,-0.3497199928072128,0.1814732414460639,0.14497385487554915,-0.14244289688740874,0.1085309719484077,0.11041689737641155,1.255414233739086e-16
20,-0.38153313246999976,0.16742634525062186,0.14392589453356874,-0.14605930495599256,0.10176997981074049,0.10202092542870676,-1.7675095694761799e-16
21,-0.324727186666486,0.21771603986615737,0.14287716687394358,-0.14979534061791772,0.09759978985434985,0.10386171365615318,4.8212137109555e-16
22,-0.38638381187201415,0.1636154171743713,0.139288535090754,-0.1516042106077678,0.12123178924021749,0.08132554696021431,2.764815114725448e-16
23,-0.33534749940584013,0.18332855008185828,0.1513704471823134,-0.1432403876042328,0.11178571201873246,0.1154006862965429,-3.069355150835698e-16
24,-0.3552029159696376,0.16869108803378152,0.18108062854227147,-0.1403870205038313,0.09797569025630995,0.11511434754207714,5.514876882952621e-16
