,Distance_Center,Nationality_Spain,Nationality_Italy,POI_Restaurants_Hotels,Nationality_UK,Percentage_Age_65_Plus,Intercept
0,-0.41387773964966496,-0.22693118321034583,0.2044993098314215,0.13104390942075944,0.035253315024324564,-0.021683459222509766,1.1484034833303716e-16
1,-0.39485655046359547,-0.21625106555373214,0.19474240632657044,0.14559168550110418,0.0629943325456488,-0.0249826699278236,-1.5604796817735104e-16
2,-0.435849246149031,-0.1886963119586626,0.15857188678283157,0.15647539127286297,0.06258598100091106,-0.053235357019041474,-3.2991860181884903e-16
3,-0.39344986370913543,-0.23379962102380858,0.18880062542649562,0.14547507270169024,0.045481274205849215,-0.03971885165673276,1.9105722655944568e-16
4,-0.4210716947725534,-0.24393951118158144,0.1618319827580885,0.13230001171340172,0.05947292642114063,-0.02703416514044551,2.6069992592675723e-17
5,-0.4372947620342189,-0.20335049804689526,0.19785101020304832,0.1259100486128129,0.0442973833392423,-0.030677152225630902,1.4398758608171042e-16
6,-0.3982223047156821,-0.23183853070056665,0.1747248196283441,0.13961618737365122,0.07783759835934607,-0.024928549450527547,-3.0675857116968606e-16
7,-0.4082595141406696,-0.22325950581340462,0.18294779149543205,0.15510662123387148,0.032068247176937514,-0.046079126689334206,-2.7361880748970406e-17
8,-0.40334315454604475,-0.2397587599374283,0.1763253524004676,0.1399825395052829,0.057149524919405476,-0.024913841869053786,-1.6015985561462391e-16
9,-0.41020497047072213,-0.20943325994889705,0.18020929376322276,0.15084411257830527,0.052987164598264413,-0.03948551051399753,-3.765757287696079e-16
10,-0.4027765366579924,-0.23545420950038337,0.17787739211284564,0.13206689016053558,0.0713079442711384,-0.029036090311674836,5.919800670178903e-17
11,-0.4091062967935378,-0.19832640181063596,0.2044676312013624,0.149865223444533,0.037464767005073424,-0.04229575022770752,1.6579436579012183e-17
12,-0.4147007761770871,-0.23564521870620575,0.1762526868752067,0.14983012419190528,0.04327498016350277,-0.030403250403558735,-1.7540223947416028e-16
13,-0.4260266131391079,-0.2179406107002049,0.17510000752696342,0.13852038792503635,0.03801878429062924,-0.044374510782699134,-2.5390366737441795e-16
14,-0.40534473578541724,-0.2201328539888,0.1785397096856277,0.14111917616832892,0.07474913239363827,-0.020928991440658552,1.8773914971048837e-16
15,-0.41590811725039023,-0.2168048067205512,0.18536649038089317,0.14685987966520797,0.04854138020304999,-0.029123992525297217,1.7530800125111693e-16
16,-0.41897654393911976,-0.21802111723142564,0.17955924992784314,0.16304780594095625,0.039006620774004824,-0.03217031019650797,-2.6458164047201226e-16
17,-0.4263174588334275,-0.23380525367995666,0.16693145556143232,0.13176304209407763,0.059491516525021326,-0.02959761445368237,-6.425304851621297e-17
18,-0.40742349953126356,-0.21249435656899646,0.18057540300522176,0.13630736529358972,0.06642422682342206,-0.04316175705957521,1.0585734902821073e-17
19,-0.3879875049629748,-0.22577495973417538,0.20001537430768,0.13274939705202637,0.05292995470285196,-0.03349079182241818,5.510701715946019e-16
20,-0.4270732323513617,-0.23424558983849542,0.16263891238866773,0.13096379534708757,0.05996803883287738,-0.02659127643236503,2.1223802082960457e-17
21,-0.37711446382630975,-0.2195214031702858,0.20676166489795123,0.14318528644748757,0.05099835801088551,-0.0413936942432934,8.888545451014186e-17
22,-0.45091212852953017,-0.2359447483263561,0.17086404453748102,0.12317638677413667,0.02380410186395976,-0.04378353971619061,3.941349138979404e-17
23,-0.3972382846717999,-0.21215200770544473,0.18624092854590457,0.14676549402372535,0.07357453494586311,-0.02346529945987777,-1.332502805794308e-16
24,-0.4050651923897745,-0.2059041878324679,0.18828895233714227,0.16665178735106106,0.056077154406184285,-0.028090690719970057,-1.9413888044464814e-16
