,Distance_Center,Nationality_Italy,Nationality_Spain,POI_Restaurants_Hotels,Percentage_Age_25_39,Nationality_UK,Intercept
0,-0.3696882491475915,0.1883335301405003,-0.16187890904787744,0.13114244607245468,0.11192416156846821,0.08093484911347668,-4.580167564010513e-16
1,-0.3665056522556847,0.16154016080462202,-0.14935543180324898,0.15363151002748776,0.10579639078857073,0.10871198089153769,-9.831913599089753e-17
2,-0.3906549624944028,0.13013279544552359,-0.14371679863677228,0.15502403329480346,0.11310422725777175,0.12032586809432239,3.667662843937569e-16
3,-0.332228745458749,0.16529168961098706,-0.17133902133715645,0.1385342265945677,0.1302560385424649,0.11692034431709392,-3.6894286582853307e-17
4,-0.375526181744879,0.17320048394367737,-0.16821572768549667,0.14099080067505226,0.10033260020277615,0.0905084465286291,-4.009840403581332e-17
5,-0.399224731445127,0.18027269127268947,-0.13693286657352483,0.12261292001123436,0.11702969234668817,0.08497772222569994,1.7460220589147846e-16
6,-0.3549338837695829,0.16640691219744744,-0.1837315971659309,0.1397046275457971,0.07616018293225527,0.13078329310896775,-6.4327661160567016e-18
7,-0.3496088074244957,0.1663142588578802,-0.15992221465885853,0.15701926307841724,0.12448363858253536,0.09395826913908692,-7.49985593690119e-17
8,-0.3524546467999735,0.15322463834539346,-0.1486937740405495,0.15226289486340938,0.14607135165434793,0.10437567079178894,-3.9425738823619857e-16
9,-0.37943434787341945,0.15597446185655273,-0.16604485280421022,0.14783129006005502,0.09545448204349,0.09886841268915006,-1.2052175026972137e-17
10,-0.36473474069743844,0.18422438703279892,-0.1803815549485642,0.1296285817402218,0.08871966761678765,0.10210654347717152,5.187295827631894e-16
11,-0.3585310415953738,0.17239855243283447,-0.14450270641526114,0.14467438828945223,0.1332138594847598,0.09629771167003223,1.6335407774343566e-16
12,-0.3757884483830831,0.16054977770128023,-0.17521382727782653,0.15486501686567594,0.09153417629844988,0.09698658048841868,-2.8520789498941086e-16
13,-0.3750032494267473,0.14519805548003337,-0.14394698553642807,0.1370764707598241,0.1337905273360114,0.10713798953440307,3.012582106700551e-16
14,-0.36160257205757435,0.159941829578112,-0.15116469193958362,0.1509952625026375,0.11321384489749559,0.11160586263032754,-4.3537786663163624e-17
15,-0.3703752938401133,0.16649581354443196,-0.1501821147700267,0.14929551182226736,0.11926493842872282,0.09464709417151579,4.071150916288824e-16
16,-0.37185643362070603,0.16912602076336822,-0.14981455920498138,0.1516513644035017,0.12116092266458976,0.08952870016261223,-1.4826587946287614e-18
17,-0.3764428595582528,0.14163168721550468,-0.17014683489664817,0.13997733825637992,0.1075647014438559,0.11730937888746848,-2.9358780192165013e-16
18,-0.36048386355052603,0.16734905331796,-0.1580291199729604,0.14993378785996558,0.10362341135887812,0.11016498953757448,-9.286775550066771e-17
19,-0.3542677576322115,0.17655449107646393,-0.16905732126145104,0.12755846160983514,0.10693578960041261,0.1047474069940826,1.048127918414371e-16
20,-0.3942585782947469,0.1488633865202849,-0.16200346073405958,0.133147862738543,0.10972504588036974,0.09923182953984362,1.86236255273883e-16
21,-0.3239315017339143,0.1997160502028671,-0.16765777098606766,0.13917870858570214,0.10704559310468634,0.10608601171398459,-2.8845446336736535e-16
22,-0.40163703812763113,0.1546005135397438,-0.17251093465885348,0.1277795386495839,0.11578660169950797,0.07599882508949894,1.4131838043605144e-16
23,-0.35660145058578796,0.16146053103706362,-0.1478570520270107,0.1524783912099688,0.11145533037403477,0.11836302266379325,-2.444004642740166e-16
24,-0.35781934295048246,0.16026047112960717,-0.1437590592650213,0.16502966558596094,0.11701586590913231,0.11274440858721181,4.1388820079190264e-16
