,Distance_Center,Nationality_Spain,Nationality_Italy,POI_Restaurants_Hotels,Nationality_UK,POI_Education,Intercept
0,-0.42875574174660736,-0.19740531027213792,0.15289224894886522,0.1108686402016459,0.10930453735629983,0.08462261590073872,-2.433176581668889e-16
1,-0.4027846133034982,-0.18301981542744034,0.1664810361525984,0.11351122534393818,0.12562376159717564,0.0889503005396226,-4.359409872183508e-16
2,-0.4451747694173387,-0.18133006780510347,0.10644627715367871,0.14901874763279024,0.12902282382829267,0.06822261967543408,-3.906833327698733e-17
3,-0.41519242788059296,-0.19624330942234292,0.15123660164233851,0.13529340697307315,0.10980305446374497,0.06774405962663255,-3.3049501394463556e-16
4,-0.42056707610307326,-0.18853296402229475,0.16897343760097977,0.12895851379947482,0.09087993082616264,0.0670678582683914,5.090508459529871e-16
5,-0.4399685615696173,-0.18482729346476476,0.13514271388392027,0.12985459912845837,0.11077001358047123,0.08385047637210508,-1.932774563047941e-16
6,-0.4262720753014944,-0.20468316797834915,0.14085632723732114,0.12448515784949105,0.10801521167958936,0.07526687968710938,3.730189102037864e-16
7,-0.38664532571772436,-0.19516232874971462,0.16784021834393892,0.14109956270682206,0.11072587936123852,0.06735981450035305,-1.349036544021443e-16
8,-0.4341849323513017,-0.19329906579556036,0.1298861831805074,0.11493658715686744,0.12674651711757967,0.0864580672990205,-6.496316197001447e-16
9,-0.4260361931024807,-0.16760081232841428,0.1726546227777586,0.12714387125872684,0.10800014628360341,0.0628781205923371,-4.19937983294619e-16
10,-0.4108746654635522,-0.19490475699422738,0.13754734085053433,0.12400857977426721,0.14022710070263533,0.06389784492781553,1.4595720255221364e-16
11,-0.43794310905960027,-0.17962378280663194,0.15178326981737386,0.13134059190477199,0.09379790313962513,0.08901514208078137,3.5362545266980026e-16
12,-0.4213752220329924,-0.1956960883197776,0.13798307495291917,0.1374760304712802,0.11172181873404241,0.08255461504186057,-4.5154043219165356e-17
13,-0.4157592858359797,-0.20531664001060923,0.1634864392855736,0.11478052521168801,0.09770872120929157,0.07321606436641259,-1.5552958174653776e-16
14,-0.4276785298123837,-0.17035300153309543,0.15741669017981003,0.12989909387771925,0.11787005406898321,0.06920228221805308,2.1312639806244797e-16
15,-0.4059165503121667,-0.19348250124661853,0.14876196314033463,0.13482323508171262,0.11838257435103558,0.07576913287467091,-2.5966921887645665e-16
16,-0.4195030211543802,-0.18865490021840498,0.13242189585612574,0.13467916115395984,0.12887458600325216,0.07355556458271184,2.320891022938217e-16
17,-0.4248225219566474,-0.20631069731882679,0.14598504368956836,0.12267552898695308,0.10952552611595034,0.07267153179403746,-4.109772475185492e-17
18,-0.4353839915947083,-0.17101185091214682,0.1463676609799937,0.13699420771301715,0.10647586705938175,0.07315353293393123,-1.8799897584837206e-17
19,-0.428624825364357,-0.1855864056148192,0.17292221944832933,0.10799189998678235,0.10099853496353811,0.08117075842834653,-1.55107634665338e-16
20,-0.4564499737067152,-0.18694265409628627,0.11925195840081937,0.12207245877120097,0.1204900130812743,0.07796397310295894,1.824660789495689e-18
21,-0.3902573203570674,-0.2019197091768696,0.15918043822998254,0.12144868232132387,0.1154884803191433,0.08266454231946474,-1.6509113087087348e-16
22,-0.44239431026952375,-0.21051825133984656,0.1389411368832442,0.10354743779200688,0.09958568069877999,0.07682936876764168,-2.454259862471334e-16
23,-0.41196638414051706,-0.17190655512752234,0.1571744879850719,0.1406339126669241,0.1246563225462247,0.06252842400585357,-5.276269291285136e-16
24,-0.4121643201188054,-0.17530757801237717,0.17239213738532094,0.14752776455515518,0.10350362050160619,0.0762993389282724,2.1349321647453743e-16
