,Distance_Center,Nationality_Spain,POI_Restaurants_Hotels,Nationality_UK,Nationality_Italy,Percentage_Age_65_Plus,POI_Education,Percentage_Age_0_14,Intercept
0,-0.40862515312601716,-0.1393996355473756,0.11244979442870187,0.12731828369687892,0.11876666943280802,-0.10683620793405404,0.08792981774437525,-0.09828466654286111,-3.150922125214381e-16
1,-0.4147339764283892,-0.1237569113127212,0.11402708682859769,0.12025865964729587,0.1369246315332735,-0.1113288031373467,0.09041097272129694,-0.0715998826701222,-2.211610487583388e-16
2,-0.4641508050360324,-0.11993532085825681,0.141610056461405,0.12505717902828686,0.08078387219724001,-0.10265258126583926,0.07153813904011033,-0.05694607896629506,1.9554469480752337e-16
3,-0.4112169506492429,-0.13757276351879344,0.13972136440204289,0.1245916458600819,0.10216631465668816,-0.11243630608195028,0.07600503046093715,-0.07876684549986718,-1.643606611794995e-16
4,-0.4123054839412812,-0.13472884337309815,0.13222685220033742,0.11812991528301323,0.12468620962451693,-0.09571632523865176,0.06741812746777393,-0.07919000805440873,4.510519953153251e-16
5,-0.4496421716492902,-0.13063698454349534,0.12691177429211833,0.11564595835605501,0.10444865133519074,-0.09095939662964989,0.0876696346473761,-0.06445892513713172,2.4412778182048218e-17
6,-0.4324067120366556,-0.15115371912853415,0.12330556364853437,0.1249654196492412,0.10414686036867701,-0.0950192038818968,0.073679703930974,-0.06184418163074054,-2.4181936776981116e-16
7,-0.39188098858212705,-0.12345833374637644,0.14572512854056732,0.11953913575977451,0.12252887767066041,-0.12479881648721977,0.070937504105059,-0.08573871136259917,4.0309949312243564e-16
8,-0.4178165995025631,-0.1303179187402652,0.11640732027749448,0.13547743379274885,0.10002542145360852,-0.11859062570441742,0.09176769032899751,-0.098685969016782,3.089958417839087e-16
9,-0.4194763491677749,-0.1176123394409932,0.12764172154554576,0.12092438723689829,0.13259536814991185,-0.09968911389229473,0.06862877702370035,-0.07661965870630404,-1.0992484495378078e-16
10,-0.4114795436764229,-0.13672094776887833,0.1215635787978557,0.1476560902489167,0.10428243478929342,-0.10841895416146832,0.06934120085462553,-0.08381533441925779,3.500192327859616e-16
11,-0.4294049842310476,-0.12536140387892097,0.1329974858068595,0.10051469887050894,0.1192499717676127,-0.10631784336177874,0.09379486555528943,-0.07813687281750276,5.850882847353771e-17
12,-0.4256641820518777,-0.1336433302130015,0.14123837026609165,0.12561923877326608,0.09947100090950142,-0.1040853602968985,0.08030663940395127,-0.06997899698806184,4.6029955506962904e-17
13,-0.42264626816433026,-0.14418114321297382,0.1208475693626365,0.1058504423692115,0.1240031639441112,-0.09703574816714042,0.07907783898082471,-0.06915062900643654,1.601505055121757e-16
14,-0.4226376484528064,-0.11568381105457344,0.12350545876719553,0.13290439773892998,0.12007442928313466,-0.11168984298558439,0.07152114239249224,-0.08396010403645147,1.8912965978231432e-16
15,-0.38375300642812815,-0.12883005726319577,0.14266736025547483,0.13069700859963296,0.12114812743390335,-0.11601402408064346,0.07595964677780925,-0.09725370428055753,2.4022828789547705e-16
16,-0.4234654258126085,-0.12903486465397018,0.1350523057441645,0.1373869481557377,0.09157254810961468,-0.1068115064586753,0.0752393579109088,-0.08721020273504776,-3.097840104489406e-16
17,-0.432073039060629,-0.13779528357407225,0.11237356842176249,0.1248864945501765,0.10973165515102073,-0.11532274640811367,0.0805793163221139,-0.07904580250658394,-5.875489790394202e-17
18,-0.44321666789929126,-0.11818666758449278,0.13209928791869036,0.1173240596063229,0.1055716043411822,-0.1023348818854183,0.0814880671778781,-0.0611134284520502,2.7209686804674845e-16
19,-0.43165615009054675,-0.14023545431077303,0.11747242108757991,0.10483128907618429,0.1334959429450038,-0.09083520406401119,0.08042086259122516,-0.06291454021611345,4.019122901672935e-17
20,-0.46134536800860926,-0.12844532902497252,0.11858597812972885,0.12249202773607847,0.08637526568665757,-0.11372371078186236,0.08748547148115732,-0.08630235890103512,4.468419366317055e-17
21,-0.39077971186270716,-0.13437843102512603,0.11992430811227747,0.12958252606327542,0.12328579024436381,-0.11572333164196419,0.07933618828697153,-0.0723960254044841,3.0360229565188943e-16
22,-0.4271348496041711,-0.16204456825169256,0.11157827772402588,0.11853172166567064,0.10769353161694173,-0.08799098383896015,0.07927153062612652,-0.07084258773997432,-7.409539021266773e-18
23,-0.4136271112076688,-0.11929857760496324,0.14092037973847968,0.13212436529583133,0.11917862459319448,-0.09735995650856204,0.06561387401232394,-0.07484308698035123,-5.900526840480206e-16
24,-0.4168532427540937,-0.11371938991892248,0.14677805708075586,0.11363299411810358,0.12921322671541716,-0.11096583761163828,0.08058916108036068,-0.08059049665776805,1.0104768339864643e-16
