,Distance_Center,Nationality_UK,Nationality_Italy,POI_Restaurants_Hotels,Nationality_Spain,Percentage_Age_65_Plus,POI_Education,Percentage_Age_0_14,Education_University,Intercept
0,-0.42147007559715477,0.1441913116711539,0.12665783991817622,0.10652100945902598,-0.14002777014485276,-0.09605407242644817,0.09213786395530998,-0.07802519487200693,-0.026653963190217622,-2.824788398783849e-16
1,-0.4403143206217234,0.14905507943535357,0.15994979540308443,0.11876051851355152,-0.10222426627642503,-0.09201065345483316,0.08148905798183795,-0.048703898702785534,-0.06277454363226774,1.0550505704267856e-16
2,-0.4738835636569293,0.14772955240685198,0.09356279355257072,0.13784385549638983,-0.11588788293843595,-0.09264994493810616,0.06835041034491487,-0.040443062747100564,-0.03468405832959437,3.2524072160924667e-16
3,-0.4378981076536806,0.1536733895720967,0.12443922874891383,0.1435246417988433,-0.11051830340900917,-0.09977971341456868,0.07261457157954368,-0.05402807953347653,-0.06247142601837288,2.2972658499679236e-17
4,-0.4338590435783205,0.14408410366383378,0.13915902436631003,0.11875909597969747,-0.12884893175365447,-0.08606951195874815,0.06602607819455394,-0.057709552677694495,-0.04474538400936877,1.1001325366005878e-16
5,-0.4726322563548502,0.14976939694326666,0.12258715332898819,0.12560507070664034,-0.1114727389379781,-0.07568825442899801,0.07952828835380954,-0.04475430946004434,-0.05521571883770719,-6.778988675460156e-17
6,-0.45317979056120605,0.15054404198262836,0.11804835524777721,0.12054049380432091,-0.14086926240742972,-0.08024723100903108,0.07112083695948443,-0.038602033579857184,-0.04466584650105465,1.9763022928249088e-16
7,-0.40623360627634914,0.1341607665074167,0.13242157822676986,0.13825301804333168,-0.1168546941522983,-0.11545134166106191,0.07069527747225496,-0.07371880017389265,-0.024695216819221807,8.491919406302099e-17
8,-0.43144345443218773,0.15789617699571326,0.12419383930238048,0.11185411944357723,-0.12243255618693133,-0.10668450526157455,0.09371865515892269,-0.07004888021944136,-0.04981063809474191,-1.9024025153908887e-16
9,-0.44449299335307224,0.1482834791310158,0.1467255602511252,0.12896805206532533,-0.10445430510676061,-0.08857790063367789,0.06439905665135778,-0.0534869216692469,-0.057689809630900105,8.075608223354608e-17
10,-0.42083767828157476,0.16676696952183168,0.1118939706818324,0.11633536896363401,-0.13965054304635377,-0.09760456427980016,0.06615359281684913,-0.06339770808873013,-0.025028740731653773,8.649896270811916e-18
11,-0.45454703779538874,0.13252240740279758,0.14443653307586587,0.12969804924730483,-0.10948704990702479,-0.08539392878951156,0.09490900297104105,-0.0523516669680545,-0.06723135658354965,2.7671859438386585e-16
12,-0.4427495941574442,0.15078492409787556,0.11358835914001653,0.13847549467382397,-0.11866619775300188,-0.09759678161791027,0.07344821506189142,-0.053916352272773735,-0.040267174734513536,-1.172187940708033e-16
13,-0.45569795762585913,0.13570224742143017,0.14324996622039096,0.1180922152730064,-0.12055231201396314,-0.0869136789996682,0.07550585982722907,-0.04415868992316674,-0.06697169477422177,1.62823209159969e-17
14,-0.436618779265025,0.15129024304886188,0.13522360712288178,0.122525503343976,-0.10846673095713204,-0.0963760756777895,0.07088592539586652,-0.06391946909350504,-0.03570117232882199,2.8737280375586593e-16
15,-0.40668441623279394,0.15414851681403718,0.13924661567596347,0.1382439104304583,-0.11593659707212414,-0.10140916354234138,0.07191425925698164,-0.07424860397545106,-0.048459654715369185,2.548063464442499e-16
16,-0.4447058049940189,0.16613535167772325,0.11089130065642022,0.13281749225399322,-0.11928268576688451,-0.092359169636925,0.07275260896837077,-0.06213082044618573,-0.05830341852761865,-1.770249249647477e-16
17,-0.4555737116152445,0.1547336483104225,0.1299398996366862,0.10993609629803236,-0.12170577431545085,-0.0998902240392189,0.07792682489193067,-0.053714473683317665,-0.06242697957167395,1.3513307612828907e-16
18,-0.4575268851948068,0.13718473198226294,0.11399176509827624,0.1274266263958306,-0.1184865174180976,-0.08943677075987469,0.07971510163630569,-0.04075438246251632,-0.027074882550992496,-1.969463408328011e-17
19,-0.4468008107758109,0.1260701078600592,0.14941393305760914,0.11710953416581131,-0.12012496354214969,-0.08562158366564752,0.07800236657871404,-0.04907784236529479,-0.03677446285315436,-2.574263788343523e-16
20,-0.4716171774667108,0.1477341518740554,0.10323115179939543,0.11205811283520986,-0.12393860802628519,-0.09917518719240997,0.08400095706094227,-0.06619545485753224,-0.03933101522277353,3.094877068266978e-16
21,-0.4094790969122263,0.15560652941474237,0.1421807931585598,0.1181740975426865,-0.12323906083810965,-0.10019435113038581,0.0789022878950443,-0.04968493321012381,-0.04810458458939269,3.5003441345458356e-18
22,-0.4496001101007086,0.1443036011094986,0.11000005270684199,0.10951495568418926,-0.15401626223343623,-0.07625685285629089,0.071064661955136,-0.051363566607957906,-0.03729913954851864,1.6378210031131766e-16
23,-0.4344323945350214,0.14883752473216538,0.14524251981124173,0.1372662620555197,-0.10144952574466409,-0.08891577988539338,0.06307769014612813,-0.0529229037288914,-0.04865325873692056,-3.76900402178805e-16
24,-0.44222136100165255,0.14355939074335033,0.14463854868664072,0.14617215109347598,-0.09738612940727095,-0.09870368113215697,0.08211932456667131,-0.05844572272868993,-0.05847194762186238,-2.7731495188687587e-16
