,Distance_Center,Nationality_UK,POI_Restaurants_Hotels,Nationality_Italy,Nationality_Spain,Education_University,Rent_Number_Flats,Intercept
0,-0.4604082386125436,0.17872993241066762,0.15878417640838652,0.13227562623653358,-0.11775557806157869,-0.10426644395645589,0.05154784118564901,-1.796371661387476e-16
1,-0.43909612823398986,0.17223622332331212,0.1808261239855387,0.1930209824602519,-0.08402228223942486,-0.12421796545012354,0.038822456941690495,-8.923235734966736e-17
2,-0.469647859302606,0.1638198424263271,0.1817592676049412,0.1328160363812535,-0.09917847002770569,-0.09651731138619278,0.04238321947735445,3.334826743796456e-16
3,-0.41720007471487297,0.18597580566297786,0.17183085477741325,0.14259973507152168,-0.12915624329821546,-0.1068928151229888,0.05493951362446457,6.709139627915579e-17
4,-0.45097981133833,0.17177119665338597,0.16981089782284434,0.14283500775505792,-0.12190237276641373,-0.11462903621853518,0.04632203489697914,7.053514119456097e-16
5,-0.4814256923857096,0.17555500259410778,0.15167728750608017,0.13356180078569285,-0.1000455860122976,-0.11191290055891945,0.05780026505179059,1.0006405615303753e-16
6,-0.4431194417316473,0.16380929986695333,0.17233001792669989,0.1450569802798669,-0.1365490665343268,-0.086210118348149,0.023641118605196937,3.3047822579947066e-16
7,-0.42674886591863803,0.1661776746231644,0.19073073001293414,0.15475642416375024,-0.10622796510153433,-0.10889630886175473,0.05352097787046671,2.7098938382664413e-17
8,-0.4371496399467314,0.18839323944006903,0.16816697094588895,0.14508820400643205,-0.12046582326581483,-0.11391484527494919,0.043375335245228824,-3.844222090679511e-16
9,-0.4505214844479545,0.17809727713933043,0.18038570754214572,0.16603553606968977,-0.08533139278116945,-0.12869933093700295,0.059849496212242684,7.930467427615716e-17
10,-0.42909975197222683,0.1860342914980084,0.15495662472197438,0.15648577098181193,-0.1256245061740259,-0.10352656831759377,0.052169829490205016,-2.399054345147567e-16
11,-0.45205395132631854,0.15714313648092107,0.1797097720442347,0.17205325708321018,-0.08986393821430669,-0.12478474017977026,0.05382314958518852,1.5817435878172517e-17
12,-0.4451472333582879,0.1898618841917062,0.18251954073794707,0.12381025605861135,-0.1136792078570783,-0.10459120866014676,0.05462700867603637,-3.5402788610258915e-16
13,-0.458912132035233,0.1591061893273594,0.1704696040296832,0.13931518296420226,-0.1302217788241008,-0.10755482085123388,0.032036877456915275,-2.5942437097746215e-16
14,-0.4533245475765266,0.18000681472789842,0.17580556419044016,0.15371809015605123,-0.0901798729105321,-0.10851126771014415,0.04324801118728011,1.2700819301908403e-16
15,-0.44287411597854026,0.17320203387688743,0.18396520000540498,0.15002897330908527,-0.11532530034655264,-0.114974182796675,0.041098800309482264,-1.71421902889894e-17
16,-0.4587720026226456,0.20531046155895716,0.18465849969736528,0.12625279909920267,-0.1027113577129734,-0.13532297445782338,0.0533536483660596,-2.4836489876149736e-16
17,-0.4478776067636507,0.18359967414969433,0.15755929012143258,0.14202925588172594,-0.11804075838774489,-0.11188474340929414,0.05311694475781932,-1.158443748012351e-16
18,-0.4466803405763146,0.16798363147116838,0.1650107206070592,0.1580157696406485,-0.09794501083766344,-0.08988373105751504,0.04682576161832873,4.2379622035433324e-16
19,-0.4437572527689454,0.1434343976906363,0.1716171057795821,0.16681382193905359,-0.11457498816756659,-0.09575557423457808,0.04210040325901897,-4.587090376573387e-17
20,-0.46962700364583143,0.18726335514437203,0.1643777145512459,0.13183754743296094,-0.10139185588318199,-0.10344955766200532,0.04827108980922015,2.0463156017063626e-16
21,-0.4088247426457238,0.18740156828363236,0.1557410409241619,0.16211189845274743,-0.12250117480541191,-0.09725003538467392,0.04698947460286916,-4.644685256420536e-17
22,-0.48216749058309794,0.16532263955622906,0.16309118472091172,0.1094782024630422,-0.1348458144412432,-0.1116968034972549,0.04657275912007061,-5.907670381433798e-17
23,-0.43718619501133155,0.17418224893124867,0.18036563524013846,0.14156520486938035,-0.11491202508431399,-0.09568452545884226,0.0444787088605071,-6.287785179208519e-17
24,-0.44112405255313447,0.16083512169876138,0.19601052642390812,0.19796374232890493,-0.0748993548897335,-0.14141138605880435,0.05385410325946771,1.141737957972251e-16
