,Distance_Center,Nationality_Italy,POI_Restaurants_Hotels,Nationality_Spain,Nationality_UK,Education_University,Intercept
0,-0.4452713115602629,0.23106833756280568,0.14877682726226546,-0.14565768338173674,0.11373554314409103,-0.12554564217920733,-4.526487269825906e-16
1,-0.418298034966173,0.2407776300290945,0.16296541277623483,-0.1374756484857766,0.12043761021212535,-0.10243942230936245,-5.535109343560718e-16
2,-0.4351937219217513,0.1952171262760369,0.16681483859530663,-0.13862643487295215,0.14163458187064262,-0.09524643437083571,-9.481775625051819e-17
3,-0.40600766116448905,0.19868183459529412,0.16326933895202322,-0.1883445352941676,0.11874157053502529,-0.09195499151434927,1.6343199333671672e-16
4,-0.4480347202562087,0.22061940717203468,0.15649873325185007,-0.15283595237372233,0.11255371878836043,-0.1288858554411456,3.9414586483423716e-17
5,-0.47157758985141224,0.21597843285930296,0.1456256561094157,-0.13771228578680558,0.11104949588003293,-0.11532957901510549,7.104348527475127e-17
6,-0.41669176267874203,0.20847463681472897,0.1475733924797087,-0.17494619994695898,0.12482220525703623,-0.09170804408504019,-4.4275918472503136e-17
7,-0.40389115354286803,0.23477092547536857,0.17784334363687054,-0.15646922399429747,0.10823524172529828,-0.10643832675360718,-3.1543009990331796e-16
8,-0.4342218302921349,0.21342317751232517,0.1662935913792351,-0.14698373783023708,0.12908082056740106,-0.1300225632047825,-1.2060548993288512e-16
9,-0.4290805891976056,0.2158175862568073,0.16147493790012013,-0.1443541196352023,0.13203941566817362,-0.10298867111225748,-1.4713921012411258e-16
10,-0.4240192333591943,0.20946247824551198,0.1472576619556334,-0.17858029659534658,0.12626401267441342,-0.10153935252400137,3.0112821231188034e-16
11,-0.4334377748333782,0.24785405847089792,0.17231640378914245,-0.12099103947206523,0.10821151196411391,-0.12680542377608797,1.2443683883572032e-16
12,-0.4172671493552836,0.20494901646786157,0.1655947341208575,-0.16936873393730478,0.12570463078586358,-0.09394786223754667,-2.9292865113622906e-16
13,-0.44609410875685035,0.20993922326708564,0.15855900170311432,-0.14734856300306937,0.11947755065182711,-0.12434562560802613,-7.378998504040036e-16
14,-0.43336426414161333,0.22005479102961922,0.1542091056194092,-0.14379418604951735,0.12493695385319459,-0.09958994462330932,2.636289869178131e-16
15,-0.420890721866884,0.23081884082876944,0.16663987567665972,-0.14619639222442876,0.12303892058558971,-0.11831510267272727,-1.0338217959700686e-16
16,-0.4239800456585093,0.22692886214157224,0.1771757693213642,-0.1400041095080573,0.12698971598528097,-0.11928508534804119,-8.087331930302686e-18
17,-0.4503751138945628,0.2127050719942791,0.14830547123986543,-0.16326206592612105,0.11847952914090738,-0.12059119230646416,-5.156178197375813e-17
18,-0.4258541479838676,0.2004201877424741,0.15140059988030174,-0.14938724580419632,0.13777993273034234,-0.09103201894690932,-3.381068025205355e-16
19,-0.4342379015263659,0.21934015493123993,0.15376542828812734,-0.16154607250854158,0.0982493544738807,-0.0957413309682436,-3.6971491811835483e-16
20,-0.44073269950711297,0.19403861318990873,0.1402598097369054,-0.15875715548401484,0.14998159339209768,-0.10530396815222227,-3.527526688512723e-17
21,-0.3929048970866393,0.23984036105474044,0.1596998822986836,-0.14662425661711032,0.13297623430976346,-0.10978771073907978,-3.094069080330804e-16
22,-0.45500186044639646,0.21037119053771314,0.1448531505993664,-0.17586236872726985,0.09760642511056802,-0.11644541408090445,1.810820296936869e-16
23,-0.4215061359668878,0.2262139326380852,0.16456203831356914,-0.14905050498195715,0.10996411820685387,-0.09595308772165545,-4.778286908171707e-16
24,-0.44513890254717375,0.22461834341328923,0.18616175501489235,-0.12822540735149374,0.11391369914564847,-0.12034266282708067,-1.5810544394230738e-16
