,Distance_Center,POI_Restaurants_Hotels,Nationality_UK,Nationality_Italy,Nationality_Spain,Education_University,Intercept
0,-0.4707675402952063,0.16062448488072414,0.1696458917426371,0.14486660630040413,-0.1406333437725385,-0.10617203435790067,-2.8072967698780626e-16
1,-0.431870611867423,0.17419334784246354,0.17310092431528326,0.20155796486561564,-0.11621327237066385,-0.11777209047950529,-7.704161436366577e-17
2,-0.46804827786232206,0.1799917060001911,0.17105958268635835,0.12993098089999433,-0.12958639924875126,-0.08973728310047352,-2.4676344594917688e-17
3,-0.4250907066854558,0.17935323354756122,0.17790199368083542,0.16379174730228002,-0.14231941103886492,-0.10930040565416674,2.592326322580592e-16
4,-0.46362366740803124,0.15902816783938947,0.16088169218686707,0.16734474849808184,-0.13982275854908124,-0.1202906770865092,-1.4855563800534004e-17
5,-0.4900522387120187,0.154573910376081,0.17345339231610535,0.15542771592574167,-0.11500312858583582,-0.1159596408910975,-8.793496889578177e-18
6,-0.45317584934931365,0.1607995992226836,0.16964525613480236,0.14819053522588216,-0.15065686992217453,-0.09460395471568711,-1.245209613365113e-16
7,-0.4298776317952722,0.18647543488155127,0.15584660720131685,0.16749902072058892,-0.1414252890365359,-0.10027076043148936,-3.574373892612656e-16
8,-0.43484025068904775,0.17066277895800344,0.18375723692644194,0.16252073421976931,-0.1405570860210014,-0.11590104292759565,-2.6167964692381945e-16
9,-0.45249126230142395,0.18134149528193583,0.16923276401740156,0.17586763791806345,-0.11922358658936921,-0.11865189603472645,1.2437021075623768e-16
10,-0.4346030393149497,0.15779047705154886,0.19439489188273945,0.15527919364675327,-0.15470409881704097,-0.10573384928871246,4.8963544601013784e-17
11,-0.4535954115658903,0.17977182373724265,0.15231269948911544,0.18625827778014314,-0.1147063092832174,-0.1196698079582201,2.5840341586561736e-16
12,-0.45654982736029776,0.17596620722719553,0.18353136118759059,0.13863586559395352,-0.13811656501030642,-0.10078310348979058,-2.2132976862058484e-16
13,-0.46158903118798467,0.16838736429155224,0.150955704330348,0.15718946066884706,-0.14667897220606646,-0.11384081439342526,-5.251006273460943e-17
14,-0.4552852775482465,0.1721274228382944,0.16932096411970332,0.17428973812799284,-0.1117020141056361,-0.10670659103274843,2.6563178862089223e-16
15,-0.44651055063098416,0.1810666539153979,0.16721576836193006,0.16749058048538434,-0.13154190469439464,-0.11651719680124986,-1.4653023748868595e-16
16,-0.460083380564841,0.18005991301945792,0.19556746661748195,0.14703556703142273,-0.13090104694486862,-0.1319739662639285,1.5154366827703536e-17
17,-0.45828296821992237,0.1575764276327672,0.17248289079831422,0.16144805215601427,-0.14487256598554804,-0.12192712921365527,-1.3568606165890882e-18
18,-0.44889815158352214,0.16498068855521186,0.1700929472533312,0.15596753390156481,-0.1321618591298378,-0.0850334619393665,1.806042046189927e-16
19,-0.44897469052118283,0.17031644572981347,0.1459461424530192,0.17780977345963309,-0.12591008872433918,-0.08938710202714839,-7.787929830653488e-17
20,-0.46945637663354484,0.16558273352674435,0.18062289735461573,0.14636471195589143,-0.1351633304054093,-0.10665158804136482,-8.213916963584506e-19
21,-0.4216487963154933,0.15841061609105517,0.1857964153596553,0.1767015505897905,-0.12894322882946052,-0.10178930547337255,4.204240011400474e-16
22,-0.4766260663728611,0.15742399995649353,0.15667943600237072,0.1285344495068611,-0.16788550932947033,-0.10724863183197567,-7.760620875503045e-17
23,-0.4463729354634615,0.17673026763634714,0.1665935713236582,0.1661122951853497,-0.1252134716147964,-0.09892696031709708,-4.339028487823651e-16
24,-0.4465451601679253,0.19307302507992669,0.163886410316994,0.19356924734009265,-0.1085026513584313,-0.13059377166053415,-5.222042735249843e-17
