,Distance_Center,Nationality_Spain,POI_Restaurants_Hotels,Nationality_Italy,Nationality_UK,POI_Clothing,Intercept
0,-0.40365107371245584,-0.23684342119041524,0.17469791267081466,0.1869363639652239,0.06402393859702846,-0.04928752026087985,-3.137471845631118e-16
1,-0.4045446855936918,-0.2170818580851115,0.19417274588283967,0.17616906509571745,0.08241810844812741,-0.05742004584304866,-2.824373824614176e-16
2,-0.41614319054128185,-0.20069538328461767,0.21093457359093695,0.18072756973801601,0.07243639334025045,-0.0639952605352746,-1.2648061542106983e-17
3,-0.3819859680177115,-0.25244483475993823,0.18489985962329866,0.1701912956420722,0.07791777568141252,-0.044801948348082266,-3.5120533279145126e-16
4,-0.421608279684287,-0.2394152460159376,0.17530541916016007,0.15969527911129125,0.07093536871228628,-0.042975545214530286,3.115929740693178e-16
5,-0.43689626913917934,-0.2144274034577896,0.16597344088626909,0.18375627303368358,0.06618642877752877,-0.046370285320717325,-1.929484737673377e-16
6,-0.4022019000470561,-0.24303670315839962,0.1784693284656299,0.16357395178368844,0.08298856265758205,-0.049216600231560576,-3.3435178022948516e-17
7,-0.3945916120437472,-0.2278371382479819,0.21472647748000157,0.1747448910331117,0.064090621258886,-0.06386885244779045,1.500500684436425e-17
8,-0.3951816684246544,-0.23935251402796026,0.1883618505830219,0.17352658374718674,0.07717807505770025,-0.05507393610915168,-2.286304164832892e-16
9,-0.3979547881205816,-0.22068973455702168,0.19538714132401208,0.17784962137724297,0.07706706421121945,-0.04449029336250096,9.159640454220214e-17
10,-0.40837685518380357,-0.2426755908033913,0.18917405219821554,0.16073865216752833,0.09094231410811437,-0.07179621717655862,-1.6415931823512586e-17
11,-0.40038254266215706,-0.21013479617972525,0.20512063501491373,0.19479523821490335,0.06021377225460519,-0.0604154318420935,1.878217215455185e-16
12,-0.4125132638243415,-0.23784257805497422,0.18355793076514235,0.17103541570289954,0.062013633124387735,-0.03665761912911983,-3.380652523354857e-16
13,-0.4078231587919204,-0.23699592941337239,0.18542382646298028,0.17197150463306232,0.06439676562751852,-0.05193088583451366,-2.83480182093347e-17
14,-0.4000060070842665,-0.21829885948627792,0.1795368084166528,0.17555136027294888,0.0896432227118627,-0.0392660219272421,3.223001446047575e-16
15,-0.4032324439289689,-0.22286380458149704,0.20068909918973238,0.1897801192225451,0.06290241385357437,-0.061778279493212296,1.0310914624639894e-16
16,-0.41490076894984007,-0.23125785970167878,0.20666087434219232,0.16040701419581466,0.07031474761433398,-0.05707662874722655,8.136891283761484e-17
17,-0.4179035350261913,-0.24440619819871734,0.1717152767170349,0.15940391319170952,0.07540106680936119,-0.043893505454248416,4.2986265968108953e-17
18,-0.398975118232948,-0.22044544335022964,0.1875252690163996,0.17299442367702667,0.08549605661721743,-0.047477762840869825,-1.7187265444419135e-16
19,-0.3921363593177367,-0.22614928224040715,0.175764978008281,0.19034795386804448,0.07613980925821373,-0.04852664800617912,-2.9477998918739096e-16
20,-0.41587773007858236,-0.23662157248266102,0.16844836801724394,0.16581083955962686,0.08100942603337047,-0.04265374551918766,-5.858832105192345e-17
21,-0.3739896505226579,-0.2248532617138793,0.19754583026013628,0.19834012086780264,0.0687486399564754,-0.05499801028305218,6.046109424405766e-18
22,-0.44262893677297377,-0.250631896752051,0.1758967166048102,0.1606146603968976,0.04526452027693953,-0.05417271807239635,4.943892618660211e-17
23,-0.3957963881046051,-0.21789673668686066,0.1889634631097914,0.17648792604800065,0.08895570233179603,-0.04769359336441081,-1.0943129596803398e-16
24,-0.3992023770092506,-0.21423332475388412,0.2105096926398241,0.1744252499757795,0.08281263186483498,-0.057961972001180195,-2.326874112745028e-16
