,Distance_Center,POI_Restaurants_Hotels,Nationality_Spain,Nationality_Italy,Nationality_UK,POI_Esthetics,Intercept
0,-0.43295569506248177,0.16839056421010634,-0.18946424072385232,0.15408632271807904,0.10900293234707141,-0.05727658588228941,3.540017908575408e-17
1,-0.39477687234069414,0.18211708766274476,-0.14527120626531642,0.18277584995142285,0.14825841042228574,-0.048975219049682814,-2.6646739777733637e-16
2,-0.43295970577961385,0.1971349308771313,-0.15357986135192025,0.15228461133529728,0.11963245314827772,-0.05579727984295692,2.38465656146284e-16
3,-0.3894917358884312,0.20423119113936378,-0.18308417403422478,0.16932951796707266,0.114028593339209,-0.06670172906219086,-4.754992108111012e-17
4,-0.43654556328365507,0.18452050067098863,-0.1847622540759249,0.15145764647028892,0.09769834778872126,-0.06726498912195776,2.1123683021016271e-16
5,-0.4263240322796165,0.18992607225100833,-0.16613237627428287,0.1602994578231254,0.10841358889393707,-0.04760059236459446,-1.8696534588553288e-16
6,-0.41857951174876373,0.1887089557037981,-0.1844136362663964,0.16021105408051606,0.11539279599571417,-0.07213634859251983,8.902823537652555e-17
7,-0.3957707927673553,0.2014257645837797,-0.18028587963026854,0.17196106980968034,0.11159511544734577,-0.06907771626655843,4.436311951121587e-17
8,-0.4348731643393677,0.16978785332099144,-0.17248824496847964,0.13754372770144405,0.13763323488320717,-0.0661698692259592,-6.108894140876367e-16
9,-0.4108351593813363,0.1888475102210323,-0.1515870567873524,0.18061380706126356,0.11678796292134727,-0.043866034462657494,-9.565548697639198e-19
10,-0.4009938920794396,0.16991576573521122,-0.17034518841615373,0.17794375919602612,0.13352245036225738,-0.053169666979282076,1.6303856776759655e-16
11,-0.4288293994027859,0.20542838321516776,-0.15647828421923218,0.18197959048493956,0.0837203149032062,-0.06184637246736452,8.866969644665075e-18
12,-0.4211895702443046,0.19567262383536854,-0.17397979574280317,0.1480105284697489,0.1282017324034564,-0.06741114324115921,-3.276263423458911e-16
13,-0.4220372008169235,0.17396801732364275,-0.19265769107577246,0.15006080908426242,0.11370941068178352,-0.05282800370682669,-4.412445604295103e-16
14,-0.4165932210888467,0.19224307427928722,-0.16112634742583706,0.15345509557138037,0.12772202262640361,-0.06275635016716662,5.511786306102688e-16
15,-0.4182586411438424,0.19326693061502326,-0.17291209632143786,0.14029721836375741,0.1311647782413352,-0.06246426753758379,-2.845194533305908e-16
16,-0.411293686814867,0.20293058759382737,-0.17282319914530053,0.15190099739612117,0.1273599138360198,-0.06990288474388415,-3.556080795354e-16
17,-0.42503020334636454,0.16579214376718282,-0.18386767092286121,0.1552648647191541,0.12206168836684951,-0.04108244568316473,-1.483108760523325e-16
18,-0.42051906918330156,0.18965550220383098,-0.15748329460863694,0.16824043279191844,0.11711485881774941,-0.05726959118484028,3.0559298139890337e-16
19,-0.4129508177518843,0.18578192936846882,-0.16624663181190585,0.19588674540922169,0.0918240891369328,-0.06689561208402339,5.474135918059353e-17
20,-0.44036512541119727,0.19680492976038955,-0.16418289654017168,0.1478312338523625,0.11525017314446587,-0.07344797940773876,2.007906565546022e-16
21,-0.39598592961597906,0.19245988614297077,-0.18779090592915693,0.1575796117112888,0.11926048655795327,-0.06155222549249725,1.9030329143321818e-16
22,-0.43501887061950306,0.17456132305527888,-0.2017030404358664,0.12947057497134723,0.11407668221983067,-0.062167003871224424,-6.28523607567492e-17
23,-0.41195454642121565,0.17907598308900308,-0.16085903459108145,0.1722031927565336,0.1255231077546052,-0.046222588257880254,-3.961039613841899e-16
24,-0.403139396614372,0.19449980395143462,-0.14025126663479084,0.20380435449837875,0.11599078425477628,-0.05459864632428177,7.758758297025061e-17
