,Distance_Center,Nationality_Spain,POI_Restaurants_Hotels,Nationality_Italy,Nationality_UK,POI_Clothing,Percentage_Age_0_14,Intercept
0,-0.38652391949742876,-0.23994428071488036,0.18408520949334084,0.17344644348213384,0.06274240216108054,-0.05607941877409309,-0.054491752813128416,-2.0136156900342713e-16
1,-0.3720527041236121,-0.21499093760765714,0.19858250667601673,0.19611964581750652,0.06632695790318313,-0.04681642400587405,-0.03760644271863893,-4.664390299254223e-16
2,-0.40516309097793685,-0.20135600507560272,0.2136487570443137,0.17953062891763705,0.06945744374100278,-0.06826550478781601,-0.020798643299277664,-1.9008301050058942e-17
3,-0.36301479954812776,-0.23846237619494265,0.1944828377208735,0.1775265701617867,0.07445913092678381,-0.05251072704411622,-0.044941632341028194,-1.1836350597111344e-16
4,-0.4084727172605233,-0.2211128047124472,0.18164927148695648,0.17194451226778776,0.06685737911659033,-0.049368568663526374,-0.03240119168330017,2.869639979636822e-16
5,-0.4206504735436462,-0.21177067504672797,0.1726002305286689,0.18169622741043717,0.05934399976945852,-0.05045560661853546,-0.04361312444279742,-5.401021631003138e-17
6,-0.3964776289233187,-0.23202749554023475,0.18391486768896756,0.1662383890746885,0.07598612996400525,-0.05304655854226423,-0.02745539366840391,-2.0923433527054948e-17
7,-0.36781839286553325,-0.23322456702054722,0.22145220827341813,0.18567921620764732,0.05675542385085006,-0.0663381304833911,-0.027697479704267336,-1.1797883528622335e-16
8,-0.37018953144041167,-0.23177297896022314,0.20059658556468887,0.17991538720982267,0.07202777407511432,-0.06190507975123541,-0.052715579424671845,-3.2561198472434475e-16
9,-0.38174335585454766,-0.20664002049824104,0.1967719296777914,0.18433945606429913,0.07307045604176322,-0.042311390995204035,-0.0389260951580802,-7.74139397875165e-17
10,-0.38720501174357974,-0.23386370018867345,0.20101860366454127,0.1615606952019673,0.09144458871495761,-0.076124958771111,-0.03951264689196363,1.1679012830679028e-16
11,-0.3872021876417598,-0.20089824963544772,0.21002176862619465,0.19719927463202447,0.05207915645749717,-0.05925885982944318,-0.035316462345707074,3.8738842793788955e-16
12,-0.3886467205985272,-0.2345455308038402,0.18237249371469094,0.1896645145463796,0.05142615031036563,-0.03361717996530375,-0.034119355718585445,6.5568987180691966e-18
13,-0.3961156284747951,-0.23213415586009187,0.1901375205118529,0.1707467564638337,0.05984258584259542,-0.057128912681397664,-0.032991928567272316,-1.6508443065787095e-16
14,-0.3791697403773194,-0.21475629821923936,0.19236004198346296,0.1798980950683164,0.0823324979486424,-0.048222189976442564,-0.04638618957399239,-1.7508968514255013e-16
15,-0.3717089250455934,-0.21791802497782678,0.20925487941261736,0.20201010075315404,0.058262085427438846,-0.06777501550615173,-0.045943429459701826,9.990656556409434e-17
16,-0.38454183409771836,-0.22250925681254918,0.20793722872036075,0.16994026125932338,0.07448100923860623,-0.053632002768395165,-0.04347103914731499,3.952371822439442e-18
17,-0.4028919427874957,-0.22900083096625326,0.18106275320725407,0.16854211352320808,0.06712541370223038,-0.044328007844320755,-0.032011904479806334,1.5725940477240966e-16
18,-0.39076912269131825,-0.21459717187422,0.19982634049576986,0.17372684095809887,0.07658798406420762,-0.05632312382395324,-0.028117113566082527,-1.3647308097879733e-16
19,-0.38632456606688415,-0.2325663893105958,0.17631748508012035,0.18373699366021162,0.06375081213996545,-0.05204628015570614,-0.039056390757146106,1.622837919798599e-16
20,-0.39515869370106244,-0.2247120071260524,0.172920975728415,0.16724306982238202,0.09144934092147085,-0.04529386943819427,-0.04216220914670837,1.202799127664094e-16
21,-0.3558889309162678,-0.22489784523061843,0.20413855759934907,0.19688726891543024,0.0752323834882763,-0.06798397341091009,-0.027722293128829054,3.858755568645754e-18
22,-0.42627716463788506,-0.2454543506195692,0.17866262676805328,0.1647344972142267,0.03933788494977851,-0.05499661959322899,-0.0310399365149365,3.6048249975573387e-17
23,-0.3701453127421506,-0.2083575666870257,0.19528696340718948,0.191541901786503,0.07463541725948925,-0.04834090899468732,-0.046886545526407634,-8.30466404242097e-17
24,-0.39055409422745374,-0.2107928520502309,0.221601814761963,0.17849600289308082,0.05807834624968855,-0.05677246325004323,-0.04348671970257722,-7.156436059869422e-18
