,Distance_Center,Nationality_Italy,Nationality_UK,Nationality_Spain,POI_Restaurants_Hotels,Percentage_Age_0_14,Percentage_Age_65_Plus,POI_Clothing,Education_University,POI_Daily_Others,Intercept
0,-0.42992853985134316,0.14970170284332687,0.1300484463685597,-0.14382271743985192,0.13149326751686624,-0.0872805791685347,-0.0666151805329867,-0.05975619542536488,-0.04104310937656716,0.04886859149084144,-3.6669140568968846e-16
1,-0.43237581148618315,0.18689510063710355,0.13794547081884365,-0.11803171750962518,0.151408663416012,-0.05790796218021277,-0.05623634859025673,-0.06138469633186928,-0.06683381786758767,0.038227187204938756,-2.423585497374945e-16
2,-0.4487231769473635,0.11198978149500491,0.16254184253518547,-0.1320356900644865,0.15136920586233213,-0.05731617864039557,-0.061849928507687654,-0.06310422925713266,-0.04494555842284441,0.05819467528095493,1.1796673829404578e-17
3,-0.4039594993556924,0.13020988110570647,0.14930931535698388,-0.1647194971874407,0.13238502525822757,-0.08030123059076541,-0.06787966620910021,-0.06774628154611129,-0.03499709042180643,0.07425497297484326,-8.074278141227022e-17
4,-0.44238930938951304,0.170689025439887,0.13298700558946888,-0.14489094861877164,0.14038605712418886,-0.04860327981078702,-0.03716007758575851,-0.03725588236231592,-0.07857925873643827,0.0425439278903989,4.588502612507981e-16
5,-0.45849581303506143,0.15113854985065148,0.14434974804380668,-0.12321561715076065,0.13995178693901889,-0.06315577018046988,-0.04767421102385038,-0.0545340443393622,-0.06988988304154892,0.05236360655337474,-2.406457640275412e-16
6,-0.429015475041795,0.16196134649082944,0.13802345724215645,-0.15713751977902973,0.1349731855472314,-0.04768720278171193,-0.04653530951042155,-0.05349806195460566,-0.04784293336030079,0.0396558546883258,-2.4881983138729606e-16
7,-0.41019702542103986,0.1430955033119122,0.13859303090727862,-0.15651394641976774,0.15117259067132682,-0.06320464522680834,-0.06631185319292102,-0.06649608329376944,-0.03635784302785247,0.0501495061789575,-5.466795849217962e-17
8,-0.4347265166526426,0.1394014886693193,0.14887892399106792,-0.13113628795884147,0.14201385880144857,-0.08943352089459236,-0.06929491883866905,-0.06931220002615099,-0.05873435732964838,0.056499573149498494,-1.134332902407143e-16
9,-0.428475352809777,0.15283842706473583,0.14228191630266382,-0.13258919057539958,0.1384645038238943,-0.07064980579970023,-0.061849381320725094,-0.04538365888826083,-0.05363441890098315,0.060991972618735874,-2.745633023919234e-16
10,-0.4082371833395374,0.1462739858024799,0.15051340985393719,-0.16666602325695856,0.13408873149415818,-0.07296382438522336,-0.06268217975030349,-0.07086153075842987,-0.03487474594466067,0.058122315465243796,1.28175070871601e-16
11,-0.43808790252825497,0.17996576562739644,0.12491091797375406,-0.1191206045012724,0.15437523073093573,-0.06668257175353141,-0.053476625918541375,-0.05570623451508956,-0.07368940452166765,0.040002356938850736,2.259162030312357e-16
12,-0.42918470437520345,0.12439096132893111,0.15385717582635006,-0.15141976716878616,0.13828641663201557,-0.07041064115011952,-0.06669796100479124,-0.05522886698309272,-0.03512440379621429,0.05026920402677748,-6.442011295317147e-16
13,-0.4539048257311195,0.14505511716472805,0.13698805123124067,-0.14049686196637481,0.14329151243013108,-0.04808000738904024,-0.05134070965356554,-0.061373657808109876,-0.07239240125378142,0.060265131463542176,-1.916579545653836e-16
14,-0.4315228002516976,0.15714243712798526,0.142925880733219,-0.12401127908011178,0.13862519349933158,-0.07452235995374917,-0.05678469058558644,-0.048628215988907667,-0.0506595614143235,0.05153069951455541,3.2499322624483493e-16
15,-0.4162650374368917,0.14950011489596512,0.14362587045976444,-0.14296398831073825,0.16913070849899903,-0.07282841693593213,-0.0633899248654881,-0.06990563311123493,-0.05447316931429033,0.039652108426810245,9.821980608299092e-17
16,-0.4202536474604741,0.16026048632380416,0.15209080163391772,-0.12356729940881568,0.15786460534251906,-0.07553034841763873,-0.06570588878072156,-0.05042221174733257,-0.06946434065118931,0.04448969362592284,2.413477344505983e-16
17,-0.462057667332233,0.15473017909976639,0.132315482929896,-0.14276782104351185,0.11719310960109869,-0.05967167740864423,-0.06466445899436357,-0.05639141753775171,-0.07398634342820669,0.061051178307470366,-3.059712230039501e-17
18,-0.43543063619739575,0.13769205420629066,0.1521229872014142,-0.13143259482363825,0.13444370648201076,-0.060600241430602546,-0.06097804221150627,-0.05570795840284881,-0.03512027879737081,0.051070639600286905,4.340234263471423e-16
19,-0.4293633986420374,0.1484032991955027,0.12856220672128102,-0.15994323374465708,0.12690862663520602,-0.06213853009614823,-0.040281218486372686,-0.057886750456081396,-0.032824281560542845,0.06471932489800283,-5.275116416397347e-16
20,-0.43724784313892606,0.13496143152294526,0.16876395905066688,-0.13675493790068816,0.13134234381593596,-0.07652116028886854,-0.06069378800172415,-0.06016241130271355,-0.05330510229910909,0.04741593529835397,-1.502328876445874e-16
21,-0.4006795143160563,0.1608381002356765,0.14806062149097682,-0.1301926496239436,0.14027813089924276,-0.0738334387959445,-0.08102478865663493,-0.06887995408337819,-0.04673829461978078,0.0594515115707937,3.104228839751348e-16
22,-0.46579658178678857,0.1350596940708469,0.12612621204045155,-0.17537718187704004,0.13519105831840417,-0.04959465589809915,-0.03273581363488319,-0.05003285647622581,-0.06594454746656218,0.03890628845962907,9.966655698079303e-17
23,-0.4174199046030862,0.1603823695582884,0.1365326884839388,-0.14562732198205658,0.13858525085488227,-0.0679757117920306,-0.04786893279567877,-0.05872013139819461,-0.03621854125858251,0.05555100554097728,-1.509151297088324e-17
24,-0.4403078838000317,0.16027599671468656,0.13308282183374318,-0.11109360397178136,0.1609018505092194,-0.06461316485500135,-0.06826132347939287,-0.05342682827562102,-0.06623474497773123,0.060563510997882763,3.0051018511785946e-16
