,Distance_Center,Nationality_Italy,Nationality_Spain,POI_Restaurants_Hotels,Nationality_UK,Percentage_Age_25_39,Intercept
0,-0.3589741176376018,0.20092692351510869,-0.16883711383365124,0.13446212372880184,0.0784096007896909,0.10268789881657633,-4.216110257334124e-17
1,-0.36104148538285946,0.1718213168284304,-0.1640290483537952,0.1541580646292161,0.10366920250219375,0.0905447589267668,-4.1363452343373753e-16
2,-0.37834096957376956,0.14223385397594748,-0.1561407332842994,0.15878971373955797,0.11847727506408548,0.09929588466012441,7.879581050609e-17
3,-0.3239803821959276,0.17457393430174778,-0.18718530106599962,0.14214092629629405,0.10968200883770624,0.11739107687475711,-1.6189058527934856e-16
4,-0.3614956053556699,0.18523285613221369,-0.18638945404360896,0.14222951106494786,0.08740087386495679,0.08638260547437425,5.558016155681345e-16
5,-0.3897315895523718,0.1874991216140215,-0.15107183825899992,0.12410358402419003,0.0817439268315804,0.10750625853738979,2.3531943834481683e-16
6,-0.3411245578090898,0.18136417629331894,-0.1965816934592034,0.1411612025774051,0.12838801976957498,0.0624547436254793,-1.690131749717946e-16
7,-0.33931563832065603,0.18098990312750102,-0.1752736045920002,0.16171736153590877,0.08612657679677506,0.10892991476559134,3.238430495787814e-16
8,-0.3435241921074789,0.16481445991119378,-0.16198368004364377,0.15518163885541603,0.09985687328086743,0.1317132706664783,-2.6703602801310567e-16
9,-0.37106756137107777,0.16308364898556219,-0.17778897986059428,0.15009551318422587,0.0977055365891632,0.08399587787597759,5.862066386911778e-17
10,-0.35138164352381235,0.1950318260402307,-0.18820174145939797,0.1336700596958289,0.10159334872779209,0.0802717742277827,4.7775644117675525e-17
11,-0.3525546847945937,0.18688742711356515,-0.15603265961038598,0.1456886026704194,0.08802507726642243,0.12025524314130007,1.649622991739544e-16
12,-0.3625283043334104,0.17100933473314128,-0.19145636277719796,0.15800412090661697,0.09474744310308894,0.07738904320420036,-7.193268574650167e-17
13,-0.3652597730011285,0.1531128790185997,-0.16205133779437114,0.1392600015340822,0.10338349256102122,0.1193409648400987,6.383356798064083e-17
14,-0.35303272287965703,0.17209588359249484,-0.1653907649964662,0.1534285967116964,0.10679383760203008,0.09851102302790972,2.2214702382648068e-17
15,-0.3566424010299256,0.1796855153851759,-0.1669323680757373,0.1517149540029038,0.0899472026080191,0.10672364869297642,1.7352152933938237e-16
16,-0.3623932828226115,0.17861756127803854,-0.16603596784702535,0.15456553337810847,0.08678530600488231,0.10411754290816463,-2.4029281882033005e-16
17,-0.3669694045219202,0.15603554237621775,-0.17980804792716515,0.14256240544932786,0.1129284951545463,0.09488897056320017,1.3935124384165741e-16
18,-0.3466160333687072,0.17665654857108432,-0.17218079992242472,0.1551973101732964,0.10628185939208754,0.0935553682546158,2.7340580800929773e-18
19,-0.35029062555197293,0.1859074434261212,-0.17969438421858933,0.1273060874854312,0.10048033997161424,0.09473577050136481,1.5530558092870732e-16
20,-0.3861078850119226,0.1640195469987099,-0.17222798293967678,0.13397068321101258,0.0911515272150032,0.09865578995287837,-4.625414720556129e-16
21,-0.31087822974747054,0.2134907442557232,-0.18424900383034037,0.13935232419617977,0.10286097719442303,0.09367382883805347,-8.192474659861832e-17
22,-0.39263006337213985,0.15907800351474433,-0.18433173569598987,0.13057103790624586,0.0748417764719694,0.10695010020663787,-9.645525956782458e-17
23,-0.34489682241994646,0.17159182201032508,-0.16327037159311303,0.15525699463010784,0.11564328439207772,0.09767302227600619,-3.5789764184680506e-17
24,-0.34872245487163195,0.17255663429166193,-0.157037493145152,0.17136058191373377,0.10825965266166669,0.09969712490265281,4.577606539434164e-16
