,Distance_Center,POI_Restaurants_Hotels,Nationality_Spain,Nationality_Italy,Nationality_UK,Percentage_Age_25_39,Intercept
0,-0.40226633546064194,0.15263985899211746,-0.17750338737753865,0.14331029551978544,0.09919602585543438,0.0707583706797591,-2.2629355945732003e-16
1,-0.3911963748885718,0.18032064483480958,-0.14792402481488404,0.14105388830274576,0.11884051322241118,0.07098356212515386,1.8058722933239323e-16
2,-0.4031123142839397,0.18111611051027232,-0.1531610267322399,0.12562618821929705,0.12191863454713076,0.06562925164900815,2.752460773734388e-16
3,-0.38522079680053795,0.15728422724084085,-0.1634764512850969,0.12597894710019952,0.12230716801620861,0.09188776063025003,5.2696352484447116e-17
4,-0.4037963611878826,0.15679840985022497,-0.15255089681152634,0.1492068974161676,0.10084176210029984,0.0825038362254907,1.0704107035190797e-16
5,-0.4101945361448223,0.1447582887605765,-0.1402604882189568,0.15679104774712027,0.09623135188196467,0.09523589564913974,1.0879872186682995e-17
6,-0.4012567175505227,0.15939309168439636,-0.19533331201559917,0.1446536745470042,0.1274578948023292,0.02243913736992048,6.745395338626148e-17
7,-0.3749539583305387,0.17793844525040442,-0.15477588180240442,0.15434460460035346,0.11018017921398907,0.0796923552291395,1.218424611862136e-16
8,-0.3943285749801595,0.17166477253495865,-0.1498693364217792,0.11140059151853038,0.1110079487337606,0.11162969317978527,-3.7960805374469493e-17
9,-0.40770191645875226,0.17528517758905904,-0.15426345136606495,0.11801877043940093,0.11621263886393007,0.07098026635778548,-3.021524525827054e-17
10,-0.4088207028184293,0.15792090710991635,-0.17239296187460817,0.14465119888586833,0.1026182201976331,0.05607424918572865,2.956832489673858e-16
11,-0.3941615260782469,0.1711490407330431,-0.14780062900507884,0.14546612956472,0.09047928182362808,0.09468952638130651,-4.620874039988701e-16
12,-0.39927819609427306,0.17097906893892695,-0.1782371263938004,0.14111338543741214,0.11730534837799109,0.0470691309401253,8.656364777058028e-17
13,-0.39392673740221523,0.16475786723338115,-0.16860492738103217,0.09127604245433381,0.13916615352438325,0.09554061454660179,6.898089839301717e-17
14,-0.3907701795266988,0.16201706473122796,-0.12815755343225083,0.16214391468196687,0.11286628175368267,0.08942069112593438,8.671434705385574e-17
15,-0.3886706035670365,0.17386723197578757,-0.1429017788596137,0.12150942499987383,0.11889809580947748,0.10236751199101644,-4.189574104622768e-17
16,-0.39083018180786744,0.18277694068941658,-0.1526207692628307,0.15670276449745435,0.1006936154800568,0.06876854826361165,-1.487285592761513e-16
17,-0.4111140492067585,0.15677801618952347,-0.18171262057463522,0.11537082654094359,0.11760835570050682,0.07460509150830241,3.9814286812829273e-16
18,-0.40471256594564425,0.16295697978069618,-0.15791205427829502,0.15233682905381796,0.10708996346153782,0.05759986026051947,4.2402505326216616e-17
19,-0.3904630173693608,0.15319891186665874,-0.1606338938457081,0.14213358146760846,0.11714824750867887,0.07471001435132651,-2.7837034149328713e-16
20,-0.42896887411085116,0.15381707879559797,-0.16125064624053914,0.13452438066232905,0.09862743993887542,0.06964659520908706,-5.636797884429835e-17
21,-0.3668988369466825,0.1627004161841853,-0.1720876847080135,0.16112901691426607,0.11159199129295984,0.06573363391947223,-7.386422196045438e-17
22,-0.42950618724373396,0.15474808158120645,-0.158278513826564,0.10540729366723768,0.09833123237636066,0.09985823197007118,1.1867972499492544e-16
23,-0.37017049640472316,0.16697979370922506,-0.1519188981618034,0.14791260198824788,0.12763589664791491,0.07986089188012865,-1.5914321163056247e-16
24,-0.3908862989312472,0.1902694810663339,-0.14846628582039684,0.13804042452175835,0.12374770306622923,0.0688060346828994,1.508864387285746e-16
