,Distance_Center,POI_Restaurants_Hotels,Nationality_UK,Nationality_Italy,Nationality_Spain,Education_University,Intercept
0,-0.4666625219196226,0.1713092117522413,0.16873413361127276,0.13810221163588776,-0.14316635139963385,-0.11354644053527234,1.5659014237403486e-16
1,-0.435537702216073,0.18382379120065664,0.1648210252296481,0.19358893826761825,-0.12357502249905555,-0.1261505828527385,-4.1210014507808575e-16
2,-0.47243532548856965,0.18816897404475383,0.16330539429063476,0.12877945522215684,-0.12948047122334447,-0.09907002710186302,1.7792421602842987e-16
3,-0.42235675070018247,0.1820723958918985,0.18062476688400558,0.149212478376073,-0.15591853824942545,-0.10967254603460613,2.2488126922649662e-16
4,-0.4552717290230955,0.17594126054729528,0.16410162029667127,0.14872565461727497,-0.15034629923250475,-0.12440079242257177,4.498377055702765e-16
5,-0.49047985080127166,0.16294854222624963,0.17123946191157485,0.1415456046038474,-0.12406931813787046,-0.11865874866746834,-2.419386424936868e-16
6,-0.4468327157665491,0.1740498930832249,0.16538666703567623,0.13712217352237452,-0.16251406076189437,-0.0982355264208167,1.1136382693088532e-16
7,-0.43345335617785297,0.19928715586779647,0.15426153043402202,0.16253455869166455,-0.13819601513989252,-0.11805966615281582,2.7161111694847523e-16
8,-0.43426695175621094,0.1775330107287552,0.17793757891695036,0.1561128235451565,-0.14785269065418524,-0.11774856454566343,-4.639942559016659e-16
9,-0.44999373794991665,0.18859543685706162,0.1713501310196628,0.16222763388767616,-0.12758757184336467,-0.12197627080313583,1.2397273692923946e-16
10,-0.4324052730799312,0.16426212730010997,0.1914687362075307,0.15159115842684698,-0.15820749419733598,-0.11518780902909631,2.482157051588252e-16
11,-0.45775923432556903,0.19135300847180234,0.14645356478777566,0.17115520129582976,-0.12396111202883481,-0.12275641530077427,6.282168151254367e-17
12,-0.4466213121585289,0.1839086587395554,0.19042165921556697,0.12557677724371125,-0.14851857039400157,-0.10647781110359086,-2.4433604865745613e-16
13,-0.4610547313780347,0.17754258496966666,0.14602777386681862,0.14831487314181227,-0.1522287214426568,-0.11215621129948974,2.4567693233023313e-16
14,-0.4578065529858663,0.18523744086996924,0.16452596508763315,0.16507754744879483,-0.11681731365814342,-0.11898140332484047,2.039992974869221e-16
15,-0.43994821766160297,0.18884922991920708,0.16533080739547504,0.15415144559030292,-0.148686469862091,-0.11793065752420887,-2.60080619408396e-16
16,-0.4551964182840623,0.1927262800576637,0.19195429252735074,0.14218611811308998,-0.13343174909160904,-0.13907497127395724,-1.5419416588120436e-16
17,-0.45854198487234765,0.16933911868673154,0.1776969692565275,0.14726167935206708,-0.14611464949978853,-0.12918333434970808,1.2873264835414204e-16
18,-0.44885442571878115,0.17265014935029144,0.16391080235685584,0.14728290906180616,-0.1412428436587138,-0.09281214771977411,3.4859638071542924e-16
19,-0.45314531468868074,0.1785618849344229,0.1408864409892623,0.16988363420682626,-0.12951582513904586,-0.09433314922295677,2.2267742213945e-16
20,-0.46735306489457507,0.17337858446525725,0.17636852123088861,0.13487558097111996,-0.1431398865338681,-0.10521768158192765,2.639515610574146e-16
21,-0.41575444751536045,0.164077111180217,0.18571728850199096,0.16349705214555119,-0.14182143977355083,-0.10357995621676652,-7.10292132362454e-17
22,-0.476654026051876,0.16983480310144575,0.1523394562752011,0.11664420325101368,-0.17655107307494813,-0.1128776485773121,1.91101427383717e-17
23,-0.4429965706203418,0.18630304820791746,0.16500273791833325,0.15933430761981798,-0.12882686212914035,-0.10577110047126026,-3.3434879341437663e-16
24,-0.4513778618745204,0.20502038945157486,0.16268864329073515,0.18735156331344271,-0.10937645985955176,-0.146335801622822,4.981949841474773e-17
