,Distance_Center,Nationality_UK,Nationality_Spain,POI_Restaurants_Hotels,Nationality_Italy,Percentage_Age_65_Plus,Percentage_Age_0_14,POI_Souvenirs_Thrift_Store,Intercept
0,-0.41206766498423403,0.16569676724343105,-0.1584591769933123,0.11996700525599652,0.08319893102105587,-0.08508180831133111,-0.07311105965224093,0.02656674206889329,1.0141466136450164e-16
1,-0.40401502358730773,0.1683870761003134,-0.13987703813828156,0.11695913968459248,0.10919096804332168,-0.07819832483043841,-0.04830680261318665,0.05319328410838838,-5.037106188895303e-16
2,-0.4563340195065952,0.16617206860222483,-0.145194632273297,0.14639755009298844,0.05407628419049283,-0.06934560000903006,-0.03831461784004338,0.030651262021314782,4.0021850480483946e-16
3,-0.3875107325771775,0.17840227297685163,-0.1519076679001411,0.13403927808320815,0.07752188784264595,-0.09518300474428226,-0.06284320548244536,0.05692048410783054,1.6169070291333776e-16
4,-0.3988061009850681,0.16530385338092585,-0.16900005797737777,0.12122620095839876,0.08852321160355245,-0.07576154663088591,-0.0653494670323085,0.04935356175483382,3.6204663387945903e-16
5,-0.4303169356620795,0.17886524567109868,-0.15095764465335595,0.1266343577664618,0.06551406168918542,-0.0663633461354867,-0.05611004832136106,0.042649473797848086,3.850454805732063e-16
6,-0.4293298531919856,0.1705671552783564,-0.1655063024702167,0.12531348624207495,0.0713911774921361,-0.06807816522513586,-0.036411727441859325,0.04554953537478401,-5.406299875222241e-17
7,-0.3925841328671141,0.15395600026905787,-0.1425847765124476,0.14414303241076803,0.09620490044295722,-0.0937825114031485,-0.06776753658140111,0.03736325437635105,2.0937756099597578e-17
8,-0.4004706668951946,0.17525859833332105,-0.15909247381784997,0.1163181273675285,0.08305986203857572,-0.09465173670372465,-0.07108448541810986,0.04023438025732196,-1.9773095150430764e-16
9,-0.40567206420340934,0.165142755004347,-0.144807903975118,0.12477272123054906,0.09712578984205783,-0.08289550766563396,-0.06111774534803669,0.051550577692790214,-1.4998550221543795e-16
10,-0.39553693427878445,0.192433081747804,-0.16792251755028154,0.12033350402287812,0.0776080865819367,-0.08448382020787236,-0.06806371773633689,0.025469434493909114,-2.847781424586004e-16
11,-0.40868044985761115,0.1548648261336262,-0.14140159154713802,0.132317582960833,0.09985004559099918,-0.07908602884260243,-0.05829307155403896,0.0464608294876339,-2.85243125937273e-16
12,-0.41434046107200234,0.16929340376880653,-0.1529195674753385,0.14757699620551606,0.07568159068679992,-0.07700171302430782,-0.050014274249120624,0.03452197883326079,1.4299022773165767e-16
13,-0.4252957140507511,0.1545219720938285,-0.1668578297856091,0.1194162392741075,0.0673332301920459,-0.08448857282443539,-0.05573669652339797,0.052450953604418815,-1.4500422174973103e-16
14,-0.41636795871902604,0.1717811118542012,-0.13594145827726845,0.11717945130827823,0.09286080009719969,-0.08018283169417574,-0.059636534092953365,0.057239741651843465,1.0391530733005299e-16
15,-0.38438647563583106,0.18232563363005494,-0.14955398700471317,0.13454769773691733,0.08420013983772676,-0.08534545146577548,-0.07631721122834985,0.04510505707946299,1.2257647166994984e-16
16,-0.4028832760174972,0.18300476675430072,-0.1654802563761684,0.14577817057611014,0.06474938726883739,-0.0784400612500133,-0.06887592886948565,0.022653427487666737,-3.0843229352688065e-16
17,-0.4181393442603032,0.15980929061734464,-0.17464781427828818,0.11063965870203829,0.0783038167899769,-0.08921769499564619,-0.060751494622213464,0.04793315011683495,-3.4109933754764255e-16
18,-0.4310343949307241,0.16553180069508583,-0.13524458733412154,0.12695345907442718,0.0808679134027095,-0.08457031280831134,-0.0415732875761779,0.04306684902236954,-1.9558086760641648e-16
19,-0.4260125640840427,0.15056772066518287,-0.13664552555793352,0.11946315598222162,0.10534389094742762,-0.06948976262199999,-0.04551929419740362,0.057802889706834094,-2.194000344993096e-17
20,-0.4327335284555161,0.1796722958074547,-0.15231622743492818,0.11761763620871313,0.06415191467415299,-0.08947103946920315,-0.0670874294778203,0.03937554665559089,3.6481642988000443e-16
21,-0.3835472894556371,0.17143202644686442,-0.14342350765141815,0.11113893424938825,0.10720815382277046,-0.09593939778804557,-0.05804151918728468,0.04666185913577549,1.0889785601991414e-16
22,-0.42859080709375585,0.15775681167278197,-0.19022020682263385,0.12073439627696608,0.06783144261357518,-0.05799846151962228,-0.04894007976008252,0.03794631449789384,-2.7785304517322524e-16
23,-0.4061728640668468,0.1745259410671191,-0.14035842338792479,0.1318645057304767,0.08297164434814779,-0.07335143735748789,-0.05972271706297841,0.053879958385494,-4.2467883561899967e-16
24,-0.4060476637403296,0.1609973789560768,-0.13918592330583562,0.1541273239709941,0.09287216908140379,-0.08673589016260051,-0.05774215489341883,0.03819756150201867,-1.8088469259523243e-16
