,Distance_Center,Nationality_Spain,Nationality_Italy,POI_Restaurants_Hotels,Nationality_UK,Education_University,POI_Clothing,Intercept
0,-0.44219352487434016,-0.2026586495348635,0.2110483611628658,0.15859256573075187,0.0803397558687882,-0.0745205687488511,-0.04226850732817683,-1.8343285936819655e-16
1,-0.4271260253842955,-0.19219714278591507,0.2086041901013544,0.1866674613483973,0.09026079948201196,-0.0698321233612994,-0.0519986676223774,-4.61808572214155e-16
2,-0.4401749712577332,-0.18620823511710255,0.17810316326503509,0.20727383700777408,0.09327593733427751,-0.04680369410347819,-0.06847541386197573,-1.281163096397982e-16
3,-0.41880108328662585,-0.214803538878475,0.19817079870066887,0.18388389713628012,0.08522699550826515,-0.07204478426698048,-0.04704428520869133,6.175304070853353e-17
4,-0.4474751876741081,-0.2044213422444692,0.18741184878769707,0.16489534277369475,0.1048612573530481,-0.09625013289633313,-0.033378249634022084,3.318071096126225e-16
5,-0.46334488053994694,-0.18247893485531794,0.20773424635031976,0.15802602239751765,0.0864384461169387,-0.07676414174628692,-0.04053872343790013,-3.0079609742832414e-17
6,-0.4190550747535611,-0.21213833029456663,0.1909483124097345,0.1766956096480597,0.09949503187726613,-0.057946709148903805,-0.050067558032483556,-9.532926869016396e-17
7,-0.4160414098808286,-0.21327950062882275,0.19755157947839094,0.19953813720029756,0.07419452160134006,-0.06118469356655217,-0.05464667476928539,2.8638130829372906e-16
8,-0.44321996466432506,-0.19744228276810338,0.19184914122191848,0.18247176025947684,0.10465399538930407,-0.09865396869134739,-0.054155836814702346,-9.908141933924958e-17
9,-0.4356974357483791,-0.19169682489438528,0.1962718665754704,0.1863482224418239,0.08930621712121445,-0.06870900017994484,-0.043366178236784514,-1.4615126631642582e-16
10,-0.43237230192420956,-0.22342459436385764,0.1849649474138773,0.17793851715458042,0.09809037122776879,-0.05547479764296129,-0.06807286428299722,-9.959117268684614e-17
11,-0.43770872473390626,-0.1710998088175087,0.22477202534698704,0.19148020767640778,0.08434365645519015,-0.09261641840457371,-0.05155420935494884,9.205309700833317e-17
12,-0.42427051091272916,-0.22091198865081765,0.18865228339677004,0.1794880181163109,0.07229153436563412,-0.04814083929293003,-0.030049936683770567,-2.902902847950481e-16
13,-0.45054655194125537,-0.20021567415327668,0.19273831631131733,0.17366012833906216,0.0858009954844985,-0.08441663515243841,-0.05335951455573823,-3.940762458409728e-16
14,-0.4320895497529094,-0.18277244879405008,0.1973542499325495,0.17899908857962382,0.1116294241092431,-0.08144571528438341,-0.03971441481417157,3.2768121615905347e-16
15,-0.44518986639359825,-0.18959838348650881,0.19745956021524785,0.19439985701439444,0.09134734282610299,-0.08264194573396672,-0.058274591361829886,4.665553010597318e-17
16,-0.438470051386774,-0.19427725909824334,0.19832837365330444,0.2002109120123725,0.08253587524219459,-0.06763130532528999,-0.05766746601537323,-1.7950228839819514e-16
17,-0.45574937502344764,-0.2111702042006389,0.18407786459143,0.16542304499165386,0.09022216466233084,-0.07930252648237679,-0.043318692627609234,-8.090359772913642e-17
18,-0.42235251815506114,-0.2007066546189673,0.19674225674262757,0.1760242280553475,0.09802338555662668,-0.06308772465185879,-0.043906060939549185,6.467222626268385e-17
19,-0.4131945893873641,-0.2008633873533025,0.2109999416874242,0.166815722189246,0.09309863205292401,-0.07006755034490068,-0.03950306155483971,-2.845071079087473e-16
20,-0.44893949423272217,-0.20126050325057032,0.18300101394752227,0.16972165327992436,0.10550042654837531,-0.08360503243483092,-0.0428856009990862,-8.22044921962905e-17
21,-0.39608502096149073,-0.21198448480466803,0.21146739587665492,0.18372108003784104,0.08908319805037038,-0.058868302991431046,-0.0546824374830768,2.601135858217269e-16
22,-0.4730755590957299,-0.21959562595254434,0.18652820199677533,0.16128848118923234,0.05834791634475921,-0.06862418236176282,-0.04940229627492462,4.2180027545157773e-19
23,-0.4223609027708315,-0.1923196233538865,0.19690193216593888,0.17923380479825604,0.10504811397142519,-0.06447405182039304,-0.04439968479820705,-1.428982922466662e-16
24,-0.4375061902084883,-0.17243104105811885,0.2091941879184852,0.20711267321932977,0.09426735853680879,-0.08730740334290986,-0.050433709562531986,1.175472245870155e-16
