,Distance_Center,Nationality_Spain,POI_Restaurants_Hotels,Nationality_Italy,Nationality_UK,Percentage_Age_65_Plus,Intercept
0,-0.4548025349243194,-0.1731720375972754,0.14125506907263358,0.13202794159876832,0.09720173010659414,-0.03423145391632963,-2.5997693216216455e-16
1,-0.44058540335543617,-0.1489905860821307,0.14773931074053775,0.16066538411426196,0.09281506292472501,-0.039607539228541905,-4.577729386411505e-16
2,-0.461779000489371,-0.15400998915245986,0.16394037241424547,0.0875781278129672,0.1323892189251031,-0.03911645289740747,2.3988019414505585e-16
3,-0.42432077348400604,-0.18917479112080526,0.14854920664864907,0.10954325692811592,0.12307950771192738,-0.04477788991911717,5.306567191932851e-17
4,-0.444964856402458,-0.18328535007997848,0.15577035343280066,0.13136656557761484,0.08993219491674524,-0.0289640097003194,1.6101877201726443e-16
5,-0.4671597875213595,-0.1575374747313914,0.14047357075782324,0.12244230848065257,0.10766010078487445,-0.030245414837611166,-1.290396653730968e-16
6,-0.4476767700664813,-0.18277117688626573,0.14790091773695752,0.11415018934650789,0.11048040771318278,-0.03295871962986422,7.74072901771439e-18
7,-0.4328502021581019,-0.16518988513720778,0.1635925641169867,0.1226448199102721,0.10144327463505443,-0.053060955209084326,8.720816624466242e-17
8,-0.4317449730237818,-0.18170570366822503,0.14779057424380604,0.12855449521437234,0.1154828246182732,-0.028550839946015556,1.452716242127207e-16
9,-0.44723511856946285,-0.16132582904227274,0.15598208859654583,0.13661327960032615,0.09781401511827573,-0.04194018967096756,1.824924106428255e-16
10,-0.4313160749081291,-0.18582466291899952,0.135075033003498,0.12880487100785287,0.12296508740117865,-0.037308996304325756,1.4449452870295757e-16
11,-0.44805045854526904,-0.15867161931698442,0.15789531968395049,0.13772207912394777,0.0899806303796011,-0.036079876665065555,-1.1984575481103324e-16
12,-0.44247513497002783,-0.164785466040398,0.16298496973958532,0.11652769062011555,0.11581287046134225,-0.039486819150940634,-4.499445403535001e-16
13,-0.4468668712961819,-0.18490238359622332,0.14937335467322466,0.11437847876708612,0.09649746886536148,-0.042145526926280215,-2.7758362596618304e-16
14,-0.4585025907944519,-0.1529097368780445,0.15188962605463824,0.1266002817114269,0.10791821732848986,-0.03252902046170088,3.77464622332151e-16
15,-0.4376550232271698,-0.1691827430007042,0.16289113687712542,0.12629035248864467,0.10284417315393132,-0.04022276768819336,1.398188931341171e-16
16,-0.4394035718159035,-0.16210240472488013,0.16764231496340593,0.13104782180191127,0.10642651714216961,-0.04363698015942413,1.7375671987866016e-17
17,-0.46437199010720565,-0.1794384659680706,0.1324189646843248,0.11036543132018711,0.10395332907562461,-0.04874290501368828,-5.198461774424915e-18
18,-0.4430361331694609,-0.15701118827567107,0.14801543022227132,0.12085144400690132,0.1259090743390694,-0.03620297518742469,1.8578163060185932e-16
19,-0.44426934927313444,-0.17788154088683722,0.14548247902377898,0.13505595423808395,0.09397022097018104,-0.020424783271340084,3.6771326725459505e-16
20,-0.46401760350413523,-0.15320914746601036,0.14028700047743237,0.1227856058636489,0.1172459575196708,-0.03963526005797188,2.979799996450375e-17
21,-0.42367237523723134,-0.17279336625694267,0.1399446424523353,0.12614061520860576,0.12086579646067094,-0.04438423390673771,2.651965623980674e-16
22,-0.4569792123678611,-0.20984643755995785,0.1463941503023251,0.10341227848755083,0.09416096424087932,-0.024082783861696704,3.6128556897204365e-16
23,-0.43545315544751445,-0.16627723665752508,0.1559370161940029,0.1345303222723323,0.10918680962832522,-0.02614390538666183,-1.2891933093778562e-16
24,-0.44529605607712175,-0.14548138014803405,0.1720850180943435,0.13766041180747174,0.09432324850468987,-0.05194211134914174,-1.3691027860040563e-16
