,Distance_Center,Nationality_Spain,Nationality_Italy,POI_Restaurants_Hotels,Nationality_UK,Percentage_Age_0_14,Intercept
0,-0.35863336757477654,-0.2431426162307459,0.19211853601473353,0.13368050178236357,0.07650337996233873,-0.06511121064604533,-4.3646759063179526e-16
1,-0.3532697633508797,-0.24009890952112056,0.18438016472837182,0.15583014278332713,0.08589168931859179,-0.04193909487729361,-2.1393150201986209e-16
2,-0.39402729314155127,-0.22169697473668568,0.15754754459480236,0.16400287676164155,0.09260291100730311,-0.03516442640501578,7.665480643454932e-17
3,-0.33575936989285937,-0.2637721518912854,0.18950980965452144,0.14123888646343613,0.08441120078753664,-0.05647742080985299,2.7925228612006486e-17
4,-0.38076202117314917,-0.25386604806371865,0.16074896582874737,0.13859695122650983,0.08860216345748705,-0.04423875822051378,-2.513994430344096e-17
5,-0.39771193953521294,-0.22212544425714897,0.19160756587006805,0.1282215491063034,0.07359122948152876,-0.04427813053754158,1.7411473987421994e-16
6,-0.36461859891411985,-0.25948359992123504,0.1617466607284976,0.1446645037129608,0.1016653233791974,-0.03178651994031062,1.3377737993181996e-16
7,-0.35097800475592916,-0.25125324629247087,0.18749893986524546,0.1577245481072721,0.0730175886836682,-0.04131224902726954,-9.230742100967e-17
8,-0.34922598283622336,-0.25067242315872207,0.17059571204215843,0.14586498357705113,0.09067089564538856,-0.0765193500044244,-6.452488184324743e-16
9,-0.36314478256475813,-0.23686545165049852,0.17282809926411352,0.15705202316459427,0.08718759022161175,-0.04879988990024002,-2.209607555535829e-16
10,-0.3511909162946389,-0.25154046458526935,0.18535548443519498,0.13516529303427638,0.0988060930076319,-0.049835550665218636,5.166437420244624e-16
11,-0.3620715868322717,-0.23391996297835455,0.19265259019890918,0.15387067678799993,0.0757909317082709,-0.04718629684357896,-5.5301348488887235e-17
12,-0.37460421868874905,-0.25556898676403916,0.16673289840317906,0.15435141304873667,0.07820122216213751,-0.03848347596298275,-4.546315890407904e-16
13,-0.38109555881000856,-0.24459699543764862,0.17418815331252313,0.1423047914406697,0.06763857239768492,-0.04115227029294932,-1.2791274950746056e-16
14,-0.3550855785320192,-0.23564666465137046,0.16902235828402845,0.1479999200243346,0.1053642955556404,-0.06533706012264837,-2.2690760610020262e-17
15,-0.35925363195030624,-0.2382796206257027,0.18919940685093725,0.1505769075391966,0.07912731777711075,-0.054965203509449556,2.09429320591358e-17
16,-0.3732086461048541,-0.24108526111235065,0.16585969244753834,0.1645278023294009,0.0753583068953084,-0.058628611489611626,-1.3524137416985653e-16
17,-0.37986506365318123,-0.2521034844145353,0.16133829558599885,0.1384091427097287,0.09518015492085448,-0.039868313346277384,-1.3525758808959784e-16
18,-0.3645171005416047,-0.23686593269046594,0.17944517923685022,0.14463678624440807,0.09833669740531603,-0.033814261030795906,2.6766424604501653e-16
19,-0.34623551895974647,-0.2533427816645409,0.19034692442770554,0.13503900118336554,0.08008817135692246,-0.05316544481303628,-3.5382862158566557e-16
20,-0.37547499200424994,-0.24392721969345432,0.15913932709062484,0.13761869245274444,0.09806474804842541,-0.06033817217556907,5.517051770463043e-16
21,-0.33624851869332933,-0.2563248783733648,0.19635792767281793,0.14833992062125928,0.07839808510011734,-0.037797904347026914,9.710380770988033e-17
22,-0.40314186222052634,-0.26654864906854603,0.17258749166436643,0.13019875668008118,0.04812214976932028,-0.036842399651427715,-6.730841259944524e-17
23,-0.35049392592392514,-0.22408731791926206,0.1775751433923779,0.1461072764172689,0.11327115866748753,-0.05957600327125809,-1.6588133576138232e-16
24,-0.3573923126286234,-0.22966936533086588,0.18341646082794455,0.17093987331069022,0.08693339769674756,-0.04934388140087599,5.627389217583349e-17
