Tag,Distance_Center,Nationality_Italy,Education_University,Nationality_UK,Nationality_Spain,POI_Restaurants_Hotels,Intercept
01_001,,,,,,0.31391545489839634,
01_002,,,,,,0.3052003061963178,
01_003,,,,,,0.2715811290202898,
01_004,,,,,,0.2525902216785272,
01_005,,,,,,0.29949979556839734,
01_006,,,,,,0.2997738582817616,
01_007,,,,,,0.27486065766577317,
01_008,,,,,,0.2534620636358404,
01_009,,,,,,0.24046999933196384,
01_010,,,,,,0.2534579019939515,
01_011,,,,,,0.2431214287171291,
01_012,,,,,,0.23944356778653197,
01_013,,,,,,0.2515628762555064,
01_014,,,,,,0.26176851137912927,
01_015,,,,,,0.24879290948843005,
01_016,,,,,,0.26384992819229147,
01_017,,,,,,0.26236273251153386,
01_018,,,,,,0.28213878632738476,
01_019,,,,,,0.2984261072909246,
01_020,,,,,,0.31294252180811216,
01_021,,,,,,0.31417949005348106,
01_022,,,,,,0.3649041674532446,
01_023,,,,,,0.3928588261994329,
01_025,,,,,,0.3879531916914191,
01_026,,,,,,0.39568042433260797,
01_027,,,,,,0.38009938668652304,
01_028,,,,,,0.3501259122629785,
01_029,,,,,,0.3501073508781172,
01_030,,,,,,0.3668839949623261,
01_031,,,,,,0.37868587845280427,
01_032,,,,,,0.38205292957329395,
01_033,,,,,,0.4086777902719687,0.49615442978730306
01_034,,,,,,0.4113739564263321,0.4729888427536652
01_035,,,,,,0.41157006580257666,0.4494267746741766
01_036,,,,,,0.3797453357768459,0.37100980255169586
01_037,,,,,,0.4135808861486308,0.4513814638017499
01_038,,,,,,0.4130150777409018,0.46638233936094325
01_039,,,,,,0.4124223207584751,0.47756858713614003
01_040,,,,,,0.41065465318152017,0.48626134824567796
01_041,,,,,,0.4165480220718253,
01_042,,,,,,0.4157192521520963,
01_043,,,,,,0.4050646394125079,
01_044,,,,,,0.41702690129999753,
01_045,,,,,,0.4147405943241083,
01_046,,,,,,0.40784973290287846,
01_047,,,,,,0.4093384456835951,
01_048,,,,,,0.41451086038266344,
01_049,,,,,,0.40943974215471607,
01_050,,,,,,0.4067421153737973,
01_051,,,,,,0.41150139840703215,
01_052,,,,,,0.40951800749855566,
01_053,,,,,,0.4130489179309151,
01_054,,,,,,0.41441681760406673,
01_055,,,,,,0.40667155841753866,0.4478028517188993
02_001,,,,,,0.3757034569146777,0.4126408626224289
02_002,,,,,,0.3893103575408601,0.4671020556701887
02_003,,,,,,0.3629319610280146,0.37430274588742807
02_004,,,,,,0.37436429631173446,0.41258206784380097
02_005,,,,,,0.39258152874315433,0.47712781148042444
02_006,,,,,,0.40771288780365844,0.5296053874527749
02_007,,,,,,0.4080634392866168,0.5241641611078741
02_008,,,,,,0.3850810834069319,0.43937609628884744
02_009,,,,,,0.3643862749095834,0.37114792527811147
02_010,,,,,-0.3387506518883343,0.3564899452673331,0.32988574214182714
02_011,,,,,-0.36071199928734293,0.3476958608740677,0.30577907399853627
02_012,,,,,-0.3721921033933814,0.3374206568274756,0.2816354724477207
02_013,,,,,-0.4030187246897705,0.32723659584360676,
