Tag,Distance_Center,Nationality_Italy,Education_University,Nationality_UK,Nationality_Spain,POI_Restaurants_Hotels,Intercept
01_001,,,,,,0.3212563353833135,
01_002,,,,,,0.30875976640526637,
01_003,,,,,,0.2711178784555357,
01_004,,,,,,0.25108707752951254,
01_005,,,,,,0.3023934763575601,
01_006,,,,,,0.3030281582694844,
01_007,,,,,,0.27678486210826597,
01_008,,,,,,0.25433745783014755,
01_009,,,,,,0.24255081738356413,
01_010,,,,,,0.25569309155406034,
01_011,,,,,,0.2462711497745253,
01_012,,,,,,0.24406727002800294,
01_013,,,,,,0.25534625860109467,
01_014,,,,,,0.26686688552536547,
01_015,,,,,,0.25500211886702934,
01_016,,,,,,0.27370644823118084,
01_017,,,,,,0.2695371783330901,
01_018,,,,,,0.28974800843060394,
01_019,,,,,,0.3028749293005082,
01_020,,,,,,0.3208053476801654,
01_021,,,,,,0.3278553372513671,
01_022,,,,,,0.3744190415495577,
01_023,,,,,,0.4006321939456134,
01_025,,,,,,0.4032414502683154,
01_026,,,,,,0.41543421980278894,
01_027,,,,,,0.39641915572116704,
01_028,,,,,,0.35927344206916995,
01_029,,,,,,0.36171363414802593,
01_030,,,,,,0.3880457343448268,
01_031,,,,,,0.4004789487635032,
01_032,,,,,,0.4110627865079695,
01_033,,,,,,0.4444884344658516,0.5232926440134907
01_034,,,,,,0.44881012614111737,0.5130327253063648
01_035,,,,,,0.4508798116721445,0.49544082373232595
01_036,,,,,,0.41541694000149015,0.4533594003137188
01_037,,,,,,0.4472778552126433,0.49279178799127105
01_038,,,,,,0.4499205889177607,0.5057426288804514
01_039,,,,,,0.4475219494986713,0.5108718668770701
01_040,,,,,,0.4445324898579972,0.5134125595230286
01_041,,,,,,0.4493078534252015,0.5003657352327081
01_042,,,,,,0.4484529382136438,0.4880659229899704
01_043,,,,,,0.43144629394396466,0.46037963453628505
01_044,,,,,,0.43584911956072353,
01_045,,,,,,0.4364851179407459,
01_046,,,,,,0.42863061986382306,
01_047,,,,,,0.4238215721259721,
01_048,,,,,,0.4279169688210164,
01_049,,,,,,0.41837708412880087,
01_050,,,,,,0.4134674053789191,
