Tag,Distance_Center,Nationality_Italy,POI_Restaurants_Hotels,Nationality_UK,Nationality_Spain,POI_Esthetics,Intercept
01_001,,,0.3330389552565723,,-0.21826544471949796,,
01_002,,,0.3210194742213735,,-0.21879153177316896,,
01_003,,,0.30422420626154856,,-0.2097885903884456,,
01_004,,,0.2930592533002634,,,,
01_005,,,0.3164660069603639,,-0.2168852920853295,,
01_006,,,0.3142305420488567,,-0.2144440849912155,,
01_007,,,0.30051438932014723,,-0.20613306126022385,,
01_008,,,0.2906627888879996,,,,
01_009,,,0.2826299935782662,,,,
01_010,,,0.28785681920022943,,,,
01_011,,,0.27996704335323713,,,,
01_012,,,0.27273142135532,,,,
01_013,,,0.2815633690231914,,,,
01_014,,,0.28549703788446873,,,,
01_015,,,0.2714998634163978,,,,
01_016,,,0.2717566118870452,,,,
01_017,,,0.27970382896066565,,,,
01_018,,,0.2916038988134997,,-0.19788835475902838,,
01_019,,,0.3096210732373069,,-0.20978798484797803,,
01_020,,,0.31119477319846156,,-0.20580733411389046,,
01_021,,,0.29832113354490686,,-0.19586492302450179,,
01_022,,,0.3462307802346105,,-0.22577986542511086,,
01_023,,,0.37307867947398926,,-0.23173440503898074,,
01_025,,,0.3727001255815739,,-0.22656293103316785,,
01_026,,,0.3912787903603273,,-0.21454882008140394,,
01_027,,,0.371885120004305,,-0.22137633814443938,,
01_028,,,0.3420486333680638,,-0.22592510822257525,,
01_029,,,0.3457401435992176,,-0.2245283556551029,,
01_030,,,0.36932559281807,,-0.21347275650911493,,
01_031,,,0.3773742210632691,,-0.2151903456627753,,
01_032,,,0.39684546099758794,,,,
01_033,,,0.4296232322618259,,,,0.439125263238725
01_034,,,0.4382011090834939,,,,0.419227935333325
01_035,,,0.44365943939816765,,,,0.39949316975981086
01_036,-0.25190848759455625,,0.4490094005019294,,,,0.322317734788239
01_037,,,0.4419577506381761,,,,0.39748690875214693
01_038,,,0.4411329657167357,,,,0.4134674284666887
01_039,,,0.4375612081411859,,,,0.42334779210884843
01_040,,,0.43186255208391033,,,,0.4317956397250946
01_041,,,0.43934161186635257,,,,0.41489960634062373
01_042,,,0.44116068320631774,,,,0.39565222393733246
01_043,,,0.4413240673923437,,,,0.3605221071453308
01_044,,,0.4326914890369768,,,,0.41475533982278573
01_045,,,0.42116457202632795,,,,
01_046,,,0.40730368518346705,,-0.20592977613589494,,
01_047,,,0.40365372203078587,,-0.21623982756723323,,
01_048,,,0.41775093314730205,,-0.20532048671526398,,
01_049,,,0.4038401945215044,,-0.2215957729532063,,
01_050,,,0.39859993201271143,,-0.22714294034128363,,
01_051,,,0.41203079672623333,,-0.21941743689473114,,
01_052,,,0.40464253357836344,,-0.22957961950600608,,
01_053,,,0.4187871962616575,,-0.20370761032346246,,0.43207364044840224
01_054,,,0.4243074526015199,,,,0.42469253443301525
01_055,,,0.41968808579154193,,,,0.40170007570711436
02_001,,,0.39390962823419884,,,,0.324806669180553
02_002,,,0.38688715235532606,,,,0.37125097509682525
02_003,,,0.38008677125776946,,,,0.2838386367757313
02_004,,,0.3725885991841634,,,,0.31371287370401607
02_005,,,0.3757734214385878,,,,0.3702181339759088
02_006,,,0.3885247636536843,,,,0.42152530952561795
02_007,,,0.366772158204196,,,,0.3977153550440386
02_008,,,0.36166456491768206,,,,0.3336065556915711
02_009,,,0.368301213392347,,,,0.2711758225117951
