Tag,Distance_Center,Nationality_Spain,Nationality_Italy,Nationality_UK,Percentage_Age_0_14,POI_Restaurants_Hotels,Percentage_Age_65_Plus,POI_Education,Intercept
01_001,,,,,,0.3290537580496719,,,
01_002,,,,,,0.3136784782135875,,,
01_003,,,,,,0.28926925405694925,,,
01_004,,,,,,0.2625984698956782,,,
01_005,,,,,,0.3056271974623319,,,
01_006,,,,,,0.30016216158148,,,
01_007,,,,,,0.2759640428885646,,,
01_008,,,,,,0.2549736003222148,,,
01_009,,,,,,0.23589249652376984,,,
01_010,,,,,,0.248197501968816,,,
01_011,,,,,,0.23374406853808416,,,
01_012,,,,,,0.22341322082162646,,,
01_013,,,,,,0.23896322635230022,,,
01_014,,,,,,0.24638364510064703,,,
01_015,,,,,,0.22649798373306082,,,
01_016,,,,,,0.23144334198288138,,,
01_017,,,,,,0.2401387091314485,,,
01_018,,,,,,0.2575358449066462,,,
01_019,,,,,,0.2892202580580721,,,
01_020,,,,,,0.287533958034387,,,
01_021,,,,,,0.2705965593058773,,,
01_022,,,,,,0.3357764148825065,,,
01_023,,,,,,0.362546295996662,,,
01_025,,,,,,0.3664453162061557,,,
01_026,,,,,,0.38110177916797633,,,
01_027,,,,,,0.36607939635205317,,,
01_028,,,,,,0.33462863705872803,,,
01_029,,,,,,0.34263185968976084,,,
01_030,,,,,,0.362633668890516,,,
01_031,,,,,,0.3707658717328817,,,
01_032,-0.31639516302355275,,,,,0.37661317045043313,,,
01_033,-0.3286539643571223,,,,,0.3914829959586667,,,
01_034,-0.32973908403860896,,,,,0.38934478976770215,,,
01_035,-0.32745448184067455,,,,,0.3869169658536479,,,
01_036,-0.3137489428438062,,,,,0.36825962149296626,,,
01_037,-0.33330180946218685,,,,,0.39200474007897934,,,
01_038,-0.33201195967444114,,,,,0.39126095948152206,,,
01_039,-0.33076964754871657,,,,,0.39268033480152903,,,
01_040,-0.3288616315992654,,,,,0.3940654851065569,,,
01_041,-0.33202702936437145,,,,,0.39551212429325416,,,
01_042,-0.33495132910942754,,,,,0.3959557256281976,,,
01_043,-0.3328509430668126,,,,,0.39118451028870627,,,
01_044,-0.3089591089497699,,,,,0.40226787549912735,,,
01_045,-0.30143540736233715,,,,,0.3989473767843988,,,
01_046,,,,,,0.3931260660983254,,,
01_047,,,,,,0.38928813767785087,,,
01_048,,,,,,0.39849332688165795,,,
01_049,,,,,,0.3886489499107789,,,
01_050,,,,,,0.383681099589743,,,
01_051,,,,,,0.3933417037234321,,,0.4401999967093057
01_052,,,,,,0.3876166180652525,,,
01_053,,,,,,0.39744094811419217,,,0.4348157862157113
01_054,,,,,,0.400139497657658,,,0.40724095863453463
01_055,,,,,,0.3942066768483725,,,0.4257380651052201
02_001,-0.28509919467844524,,,,,0.37560559332581667,,,0.37217750878806605
02_002,,,,,,0.3783346377442212,,,0.43202718772086696
02_003,-0.28386739632479047,,,,,0.37396916800955754,,,0.33380493323800586
02_004,,,,,,0.375461991293526,,,0.3558934269667362
02_005,,,,,,0.37718048437835283,,,0.43777737737764977
02_006,,,,,,0.38536442557695305,,,0.4995522266261553
02_007,,,,,,0.37824786509161623,,,0.4702667829785986
02_008,,,,,,0.3730076835110923,,,0.3755930546439385
02_009,-0.3095560572604884,,,,,0.3782851870910767,,,0.3028910716212756
02_010,-0.346733972040261,,,,,0.3812448406467932,,,0.24672860728692342
02_011,-0.32364008275012285,,,,,0.37851910329211363,,,0.25650776106634526
02_012,-0.3089896897653504,,,,,0.36754511503139564,,,0.2603819081612082
02_013,-0.3726494363672783,,,,,0.3757656599109161,,,
02_014,-0.4490576465282725,,,,,0.37595592640539904,,,
02_015,-0.4157587277329,,,,,0.3753826394201909,,,
02_016,-0.34969611480655916,,,,,0.37262636755566875,,,0.27960714285209065
02_017,-0.29826457460030786,,,,,0.36419911259714177,,,0.3696539227056854
02_018,-0.3394460067100417,,,,,0.3503522091134918,,,0.32209273692360463
02_019,-0.35823829552327885,,,,,0.35503892068848153,,,0.2995802945760824
02_020,-0.3965801541374697,,,,,0.3619344071107931,,,0.24119460235046591
02_021,-0.4787164363496744,,,,,0.36309810428349515,,,
02_022,-0.5490118713816682,,,,,0.36258525602412783,,,
02_023,-0.5488028286972029,,,,,0.35195238719346933,,,
02_024,-0.46294445450990007,,,,,0.3508699391192038,,,
02_025,-0.5465480398507687,,,,,0.3352452175844261,,,
02_026,-0.5321260005934874,,,,,0.32723030061577185,,,
02_027,-0.6010002182198658,,,,,0.30116396140847906,,,
02_028,-0.6084080917710075,,,,,0.31956235541374556,,,
02_029,-0.5920971202062364,,,,,0.3383102347777803,,,
02_030,-0.6421784813493028,,,,,0.33828842723109565,,,
02_031,-0.6836463508951313,,,,,0.3219284650422289,,,
02_032,-0.6918729656047534,,,,,0.30341847511639286,,,
02_033,-0.6933703672072611,,,,,0.28499771415817765,,,
02_034,-0.6444911208805749,,,,,0.28542887449915655,,,
02_035,-0.5950887670249341,,,,-0.17864698920262248,0.2847117066230171,,,
02_036,-0.6355958092271039,,,,,0.2673279823442376,,,
02_037,-0.7114783728442625,,,,,0.26771862120355544,,,
02_038,-0.7740962427080647,,,,,0.26826793573374896,,,
02_039,-0.6944056659467313,,,,,0.24879864399781665,,,
02_040,-0.7396070786566467,,,,,0.21953106106651332,,,
02_041,-0.6437748763145689,,,,,0.2224522329806925,,,
02_042,-0.5537433098872311,,,,-0.1991611537785786,0.2351606731046815,,,
02_043,-0.504990114682904,,,,-0.21682980274712904,0.237994500986275,,,
02_044,-0.5144965932294836,,,,-0.2131923775256312,0.2577960571405777,,,
02_045,-0.5516602854068255,,,,-0.20107353841356568,0.25684758237782107,,,
02_046,-0.6078872848043527,,,,-0.18309606487799557,0.2486817342457229,,,
02_047,-0.5688714441130077,,,,-0.1931756823191329,0.27254657638407653,,,
02_048,-0.514883643802748,,,,-0.20780948942788674,0.27543010571607335,,,
02_049,-0.522486511759756,,,,-0.19295689699410135,0.29727393093879656,,,
02_050,-0.4968642950223974,,,,,0.32700525799375374,,,
02_051,-0.45521491157577876,,,,,0.3271317923900798,,,
02_052,-0.4318931607393696,,,,-0.1818277000524329,0.3229768698670187,,,
02_053,-0.402138686041595,,,,-0.1870899169525748,0.32194002024415386,,,
02_054,-0.46541519044550733,,,,-0.2139867669784231,0.2922215495584164,,,
02_055,-0.42514824267319573,,,,-0.21333136254041307,0.27572017250186315,,,
02_056,-0.3736977243187474,,,,-0.19253684214888053,0.31099698735069337,,,
