Tag,Distance_Center,Nationality_Italy,Nationality_UK,Education_University,Nationality_Spain,POI_Restaurants_Hotels,Intercept
01_001,,,,,,0.30405512194098944,
01_002,,,,,,0.2928657549768022,
01_003,,,,,,0.26354560756926515,
01_004,,,,,,0.24684140238811073,
01_005,,,,,,0.28736053780172344,
01_006,,,,,,0.28757080605783686,
01_007,,,,,,0.2662521995176571,
01_008,,,,,,0.24757918995863942,
01_009,,,,,,0.2387420625948295,
01_010,,,,,,0.24868352167951396,
01_011,,,,,,0.24187773065542528,
01_012,,,,,,0.2417429818001443,
01_013,,,,,,0.24997980011388515,
01_014,,,,,,0.2587876705019443,
01_015,,,,,,0.25010375012940184,
01_016,,,,,,0.26652320650070843,
01_017,,,,,,0.26183543932440806,
01_018,,,,,,0.2776435373553553,
01_019,,,,,,0.28633774976180804,
01_020,,,,,,0.300851930107301,
01_021,,,,,,0.30858636616548674,
01_022,,,,,,0.34215014537119093,
01_023,,,,,,0.36614508499377335,
01_025,,,,,,0.36400045911853535,
01_026,,,,,,0.37607408128003583,
01_027,,,,,,0.36009131850033455,
01_028,,,,,,0.3301853888302882,
01_029,,,,,,0.33179989126501347,
01_030,,,,,,0.35347550757898794,
01_031,,,,,,0.3618627593388092,
01_032,,,,,,0.3735719049212423,
01_033,,,,,,0.3942991329509742,
01_034,,,,,,0.4005854246031903,
01_035,,,,,,0.39821931471317,
01_036,,,,,,0.370648048829671,
01_037,,,,,,0.4001539862557747,
01_038,,,,,,0.40106594628879316,
01_039,,,,,,0.39943549629972963,
01_040,,,,,,0.398166343311462,
01_041,,,,,,0.40116770961508247,
01_042,,,,,,0.40122179849735357,
01_043,,,,,,0.38842208713610094,
01_044,,,,,,0.39703268398286334,
01_045,,,,,,0.3947098060933979,
01_046,,,,,,0.3868548681717813,
01_047,,,,,,0.3841112432250153,
01_048,,,,,,0.39062176725466535,
01_049,,,,,,0.38245351970541125,
01_050,,,,,,0.3786885343275623,
01_051,,,,,,0.3846937314338207,
01_052,,,,,,0.3814215458421533,
01_053,,,,,,0.38799239496231197,
01_054,,,,,,0.39066582296195,
01_055,,,,,,0.38305975730359965,
02_001,,,,,,0.3511713148304114,0.3443864355490262
02_002,,,,,,0.364056325746669,0.41120885625274983
02_003,,,,,-0.3706898973455088,0.3398899744318768,0.31431423376461515
02_004,,,,,-0.36267992167891977,0.3503264336563229,0.35311270383833543
02_005,,,,,-0.35892467901507663,0.3679544318928733,0.4252048158153464
02_006,,,,,-0.3586060105941204,0.3818716438550746,0.4827975786046725
02_007,,,,,-0.3555870351572635,0.38350816044042285,0.47270712145378435
02_008,,,,,-0.3545212831003389,0.3620409466621541,0.3838910571544064
02_009,,,,,-0.37059044372756583,0.3426545963049227,0.3167832939627863
02_010,,,,,-0.37800999907699323,0.3336546653842766,0.27641465279772004
02_011,,,,0.33036182198868824,-0.39562018513272273,0.32696693979352176,
02_012,,,,,-0.3996000277104099,0.3179577701453235,
02_013,,,,0.34162246274910096,-0.42551250909141397,0.3076708477913331,
02_014,,,,0.4333090069495497,-0.3935117453779524,0.3077610154903812,
02_015,,,,0.41382380987785894,-0.3614603154316145,0.32934309415506907,0.2667183915655701
02_016,,,,,-0.34661424081643405,0.3519862359862816,0.33367048267287186
02_017,,,,,,0.3787241904185355,0.4181133093090263
02_018,,,,,,0.38157086247651734,0.3760572781421979
02_019,,,,,,0.3682898473600456,0.36106924813342806
02_020,,,,,,0.3505060589788204,0.320210620593826
02_021,,,,0.46122859744592803,-0.329979327641576,0.3161290681387421,0.2541924379493494
02_022,,,,0.5026416276314559,-0.3605884502560082,0.2789149429615306,
02_023,,,,0.5323447965824064,-0.3186495516238574,0.2908075255464566,
02_024,,,,,,0.33826609376680944,0.28584205366609744
02_025,,,,0.4653299591717549,,0.31194700029121175,
02_026,,,,,,0.33168998410146533,
02_027,,,,,,0.3288626779842005,
02_028,,,,,,0.3038633649988127,
02_029,,,,0.529121174583856,,0.29092285899135567,
02_030,,,,0.5499620943419998,,0.2641572593377076,
02_031,,,,0.532379173197179,,0.267278491221433,
02_032,,,,,,0.28260139423406555,
02_033,,,,,,0.29833306598147036,
02_034,,,,,,0.3225629758553305,
02_035,-0.49778609841088123,,,,,0.34451510268347657,
02_036,-0.5748026525985458,,,,,0.33158151428370997,
02_037,-0.5394031233099011,,,,,0.2972144417989471,
02_038,-0.5262418267343932,,,,,0.27303963171156326,
02_039,-0.5804558891234692,,,,,0.2927847542274646,
02_040,-0.5406499335878456,,,,,0.2503891022166606,
02_041,-0.6057038656920742,,,,,0.28042303357648674,
02_042,-0.7122448176218191,,,,,0.31245014751425215,
02_043,-0.7801108438542841,,,,,0.3083293530707786,
02_044,-0.7674358107261323,,,,,0.339326625320905,
02_045,-0.7270967572060324,,,,,0.3446960754290868,
02_046,-0.6487506239071392,,,,,0.3231591101727836,
02_047,-0.6392835938754277,,,,,0.35274265520116854,
