Tag,Distance_Center,Nationality_Italy,Nationality_Spain,Nationality_UK,POI_Restaurants_Hotels,Percentage_Age_65_Plus,Intercept
01_001,,,,,0.3483266010918292,,
01_002,,,,,0.3320071313432703,,
01_003,,,,,0.2977319556924469,,
01_004,,,,,0.27475399248126403,,
01_005,,,,,0.32526327960655393,,
01_006,,,,,0.32588914796905405,,
01_007,,,,,0.29999136980604696,,
01_008,,,,,0.27410957514924106,,
01_009,,,,,0.2525296343197884,,
01_010,,,,,0.27159443347516143,,
01_011,,,,,0.2549501413102177,,
01_012,,,,,0.24506383981442406,,
01_013,,,,,0.2668639672339817,,
01_014,,,,,0.28120254067489076,,
01_015,,,,,0.25715900138239284,,
01_016,,,,,0.27695682677026673,,
01_017,,,,,0.2799199289739008,,
01_018,,,,,0.30792260381993203,,
01_019,,,,,0.32620112395687867,,
01_020,,,,,0.343770039747412,,
01_021,,,,,0.3487111943542792,,
01_022,,,,,0.3940675184121438,,
01_023,,,,,0.4222295586270418,,
01_025,,,,,0.4197803890123736,,
01_026,,,,,0.4340289689471142,,
01_027,,,,,0.4154498135285953,,
01_028,,,,,0.37750671261604357,,
01_029,,,,,0.3792566981816042,,
01_030,-0.37874469369457275,,,,0.4082694661299373,,
01_031,-0.37951787668786885,,,,0.4211232644184153,,
01_032,-0.3719029880771259,,,,0.4389892298616527,,
01_033,-0.36969237391994625,,,,0.4695473446812091,,
01_034,-0.3696886809426316,,,,0.47505437394202993,,
01_035,-0.37278957396600665,,,,0.47583643095054723,,
01_036,-0.3570870973670912,,,,0.4445425640252627,,
01_037,-0.3752078640483162,,,,0.47410043208802366,,
01_038,-0.37199334913056836,,,,0.47443711732557914,,
01_039,-0.3726316611025961,,,,0.474621355546443,,
01_040,-0.37317769011106205,,,,0.47038340050377153,,
01_041,-0.37511113487448633,,,,0.47356704790635457,,
01_042,-0.3763448765878129,,,,0.47099340279278124,,
01_043,-0.37306179874823087,,,,0.44678365851580776,,
01_044,-0.349904289692334,,,,0.4535084309613607,,
01_045,-0.3609207880010269,,,,0.4550420755340619,,
01_046,-0.36869356737510384,,,,0.44757721622588525,,
01_047,,,,,0.44216460849899675,,
01_048,,,,,0.4467364624342765,,
01_049,,,,,0.4397987199141806,,
01_050,,,,,0.43807264992962824,,
01_051,,,,,0.4419420377404509,,
01_052,,,,,0.44206700251276276,,
01_053,,,,,0.44059010880826377,,
01_054,,,,,0.44332945532717544,,
01_055,,,,,0.42881190392428725,,
02_001,,,,,0.3927723421764958,,0.4682659443002873
02_002,,,,,0.4135332205623286,,0.5282735566065706
02_003,,,,,0.3870095584909033,,0.4106869041707064
02_004,,,,,0.4005652079351522,,0.4567763193525688
02_005,,,,,0.41731323916625673,,0.52354312240499
02_006,,,,,0.4339000750532232,,0.5714941895042095
02_007,,,,,0.43272205710125455,,0.5707464075926931
02_008,,,,,0.4096867785017521,,0.4791956787159634
02_009,,,,,0.39576260531809465,,0.3955154322991938
02_010,,,,,0.39262142698192876,,0.3248290421923609
02_011,,,,,0.38498553398811025,,0.30377298977781314
02_012,,,-0.3232447463700158,,0.3647207781825184,,
02_013,-0.33624811404458754,,-0.36881286165920224,,0.3770203937104527,,
02_014,-0.38100665767890407,,-0.33896114126031296,,0.3857070341000855,,
02_015,-0.33087041959090235,,,,0.38956962248348537,,0.27296604319939377
02_016,,,,,0.3969332845994997,,0.4127004040854828
02_017,,,,,0.4106170928757966,,0.509693846320966
02_018,,,,,0.39181996169891237,,0.4717535134341458
02_019,,,,,0.3947229539048259,,0.45674297072492587
02_020,,,,,0.3885653307132858,,0.39073283529069724
02_021,-0.390287468213033,,,,0.3829763495562194,,
02_022,-0.4752184227202291,,-0.28861523598299793,,0.37059444176856937,,
02_023,-0.48020705904273703,,,,0.3725456929061337,,
02_024,-0.3462923726195189,,,,0.38122684488894243,,0.33032795569176343
02_025,-0.4636154696243045,,,,0.37561368189843236,,0.24626292850931802
02_026,-0.42461057425042775,,,,0.37494344516736283,,0.28498754417228184
02_027,-0.5108930244960707,,,,0.37240798383013546,,
02_028,-0.5404379746206396,,,,0.3717426578840547,,
02_029,-0.5308507390893745,,,,0.3707058963587095,,
02_030,-0.5877393150073262,,,,0.3593567481191391,,
02_031,-0.6420797726600609,,,,0.3592080325910658,,
02_032,-0.6660861349471852,,,,0.3677293912652133,,
02_033,-0.6541184785310299,,,,0.3671240099098824,,
02_034,-0.5852465621578569,,,,0.3720866948201977,,
02_035,-0.5241707596328421,,,,0.3721851745390899,,
02_036,-0.5989282663913671,,,,0.371817669008518,,
02_037,-0.6824576973658941,,,,0.365090983341008,,
02_038,-0.7635086542494008,,,,0.3583228398559178,,
02_039,-0.6719147393347524,,,,0.3638241482511425,,
02_040,-0.7152562135519516,,,,0.33902056424070437,,
02_041,-0.625055773288278,,,,0.34987382025433944,,
02_042,-0.5648589881085506,,,,0.3459838942146486,,
02_043,-0.5360504472322254,,,,0.3236318270960387,,
02_044,-0.5199430657720493,,,,0.34147148719599274,,
02_045,-0.5459892734100975,,,,0.35739870537361434,,
02_046,-0.5919865251728179,,,,0.3655993103359539,,
02_047,-0.531962669777156,,,,0.3664704333568358,,
02_048,-0.4836354356149617,,,,0.3511360163212618,,
02_049,-0.4320405994955026,,,,0.36678967946955876,,
02_050,-0.37702048658862886,,,,0.37602180427402965,,0.3210285861649618
02_051,-0.33254322738123054,,,,0.37682957656250665,,0.3602290874728688
02_052,,,,,0.37048546760663187,,0.37045528006770806
02_053,,,,,0.3636804532398187,,0.38089783037654057
02_054,-0.3945282029610721,,,,0.34141182460013936,,
02_055,-0.38237934815630803,,,,0.3156438524330511,,
02_056,,,,,0.35027340098422083,,
02_057,,,,,0.32041977672400324,,
02_058,-0.42474462082029335,,,,0.2748942755998065,,
02_059,,,,,0.2633148436601262,,
02_060,,,,,0.3034062316510257,,
02_061,,,,,0.3852009331611009,,0.4644452657525158
02_062,,,,,0.36256452080031853,,
02_063,,,,,0.3212858356292948,,
02_064,,,,,0.3714797733250527,,
02_065,,,,,0.4023815712718609,,0.49998095961201094
02_066,,,,,0.4060231020416482,,0.5272132115984451
02_067,,,,,0.41737242276635217,,0.5508240516010117
02_068,,,,,0.42669462733826563,,0.5668670675377052
02_069,,,,,0.4277217406270932,,0.5946363385377664
02_070,,,,,0.4245808187956854,,0.5501122340490952
02_071,,,,,0.43394018523441724,,0.5835984257445892
02_072,,,,,0.43680100091420543,,0.5980837311249297
02_073,,,,,0.4425795329575894,,0.5983051455773152
02_074,,,,,0.4423038212519576,,0.5587828559656454
02_075,,,,,0.4428401358522216,,
02_076,,,,,0.43716286726677506,,
02_077,,,,,0.3988661945211582,,
02_078,,,,,0.41042929977300163,,
02_079,,,,,0.3605916926995482,,
02_080,,,,,0.35406732388852824,,
02_081,,,,,0.32078840184040136,,
02_082,,,,,0.26141177247953956,,
02_083,,,,,0.27916948440064243,,
02_084,,,,,0.32238495498419706,,
02_085,,,,,0.31188803429345235,,
02_086,,,,,0.3361728266353931,,
02_087,,,,,0.3213137624459694,,
02_088,,,,,0.3228608663356327,,
