Tag,Distance_Center,Education_University,Nationality_UK,Nationality_Spain,POI_Restaurants_Hotels,Nationality_Italy,Intercept
01_001,,,,,0.3182714362937975,,
01_002,,,,,0.29156914250461197,,
01_003,,,,,0.25548007658516436,,
01_004,,,,,0.24509110945648588,,
01_005,,,,,0.28186559799038474,,
01_006,,,,,0.28259040451790096,,
01_007,,,,,0.2626826767214465,,
01_008,,,,,0.2469443768386545,,
01_009,,,,,0.23444840603046072,,
01_010,,,,,0.2458946605329975,,
01_011,,,,,0.2374964445202938,,
01_012,,,,,0.23442749582205977,,
01_013,,,,,0.24562207670539726,,
01_014,,,,,0.2546878399750109,,
01_015,,,,,0.24264120287069005,,
01_016,,,,,0.2574633618456805,,
01_017,,,,,0.2560764849222345,,
01_018,,,,,0.2737085990956311,,
01_019,,,,,0.2833514995195898,,
01_020,,,,,0.29986747879158193,,
01_021,,,,,0.30665353292650166,,
01_022,,,,,0.3428642030303907,,
01_023,,,,,0.3638325535033588,,
01_025,,,,,0.37617534178901746,,
01_026,,,,,0.4038196818391145,,
01_027,,,,,0.38361706315348904,,
01_028,,,,,0.33108481908767207,,
01_029,,,,,0.3453696576690996,,
01_030,,,,,0.38885279506625176,,
01_031,,,,,0.39326806370605427,,
01_032,,,,,0.4319434979455695,,
01_033,,,,,0.47308203475942356,,
01_034,,,,,0.4873342962775631,,
01_035,,,,,0.4857545607917811,,
01_036,,,,,0.4456352915515449,,0.47707085182465137
01_037,,,,,0.4805806147457717,,
01_038,,,,,0.48606727548564793,,
01_039,,,,,0.4802504312060046,,
01_040,,,,,0.4720339589920532,,
01_041,,,,,0.47480254120426046,,
01_042,,,,,0.4704342069411133,,
01_043,,,,,0.44142424170348304,,
01_044,,,,,0.42283329276253095,,
01_045,,,,,0.42158803099668185,,
01_046,,,,,0.417036753168684,,
01_047,,,,,0.3920712459143041,,
01_048,,,,,0.39565693174920735,,
01_049,,,,,0.37947762979686617,,
01_050,,,,,0.37387845799409586,,
01_051,,,,,0.3761617357201448,,
01_052,,,,,0.3740896070030572,,
01_053,,,,,0.3828031441134209,,
01_054,,,,,0.39519162430657523,,
01_055,,,,,0.38156146024050275,,0.5502737108530055
02_001,,,,,0.33216906175951627,,0.579387321989454
02_002,,,,,0.3454196118565195,,0.6185337548537558
02_003,,,,,0.31878260012802473,,0.5400641123640455
02_004,,,,,0.33002934044210797,,0.5599038369682339
02_005,,,,,0.3530606814731577,,0.623297815314022
02_006,,,,,0.36772884277101664,,0.6419777378955077
02_007,,,,,0.3694854095704851,,0.6283369189108068
02_008,,,,,0.34293204387370174,,0.5910921201813893
02_009,,,,,0.320285301135394,,0.5213709159735469
02_010,,,,,0.31285608465722,,0.46837672841155453
02_011,,,,,0.30939636238903534,,0.43524979981834083
02_012,,,,,0.30046254532358463,,0.39955731431871766
02_013,,,,,0.30933448501203764,,0.285503995645
02_014,,,,,0.3179377762862306,,0.2916871176093313
02_015,,,,,0.31210980479264777,,0.41447330726688114
02_016,,,,,0.32371707500134833,,0.5113393337654679
02_017,,,,,0.3573697286400633,,0.594459532237368
02_018,,,,,0.36811158790866566,,0.5376516922582236
02_019,,,,,0.35201260402937273,,0.5512341594494554
02_020,,,,,0.32450109459669724,,0.4865456327749529
02_021,,,,,0.31717401761726643,,0.366236079389591
02_022,,,,,0.3274397376434756,,
02_023,,,,,0.3261712640442168,,0.2700249322670112
02_024,,,,,0.31960921973770184,,0.4318758639805507
02_025,,,,,0.326169299221396,,0.31530672031024526
02_026,,,,,0.328723385877801,,0.3517970460319004
02_027,,,,,0.3355969095901612,,0.27834021962309025
02_028,,,,,0.32850972355432034,,0.263653713380276
02_029,,,,,0.32863932229323384,,0.2616738384709259
02_030,-0.48416700841073235,,,,0.3320114005346455,,
02_031,-0.5750476456572066,,,,0.33336006943197016,,
02_032,-0.5923223606707828,,,,0.32896045163265314,,
02_033,-0.599149847616593,,,,0.32544722924398195,,
02_034,,,,,0.3326153437767252,,
02_035,,,,,0.34181000218543095,,
02_036,,,,,0.3329282092952393,,
02_037,-0.6152647048640484,,,,0.3205375896553245,,
02_038,-0.6952443996082481,,,,0.3155163106813107,,
02_039,,,,,0.3186273835734565,,
02_040,,,,,0.29228921488225623,,
02_041,,,,,0.30609298904334153,,
02_042,,,,,0.32394592761160773,,
02_043,,,,,0.30502859451402226,,
02_044,,,,,0.3249559750335566,,
02_045,,,,,0.3350692475474627,,
02_046,,,,,0.3324913116885366,,
02_047,,,,,0.34388293720329305,,
02_048,,,,,0.33728234642424504,,
02_049,,,,,0.35124798876585267,,0.33217442884293114
02_050,,,,,0.33642153389668,,0.39574758883188715
02_051,,,,,0.3484535197856808,,0.43189169134050415
02_052,,,,,0.3599247395509395,,0.42678782978138663
02_053,,,,,0.3588437256761577,,0.4161439526047479
02_054,,,,,0.3361044341454095,,
02_055,,,,,0.30489859448628054,,
02_056,,,,,0.3443456286628756,,0.3870798146044306
02_057,,,,,0.3034808676082814,,
02_058,,,,,,,
02_059,,,,,,,
02_060,,,,,,,
02_061,,,,,0.3721854622126108,,0.48782319048356865
02_062,,,,,0.3407444733969664,,
02_063,,,,,,,
02_064,,,,,0.31417683879318237,,
02_065,,,,,0.3614274341772403,,0.4824665260427169
02_066,,,,,0.37672220594928746,,0.5556337873749448
02_067,,,,,0.37583676125744103,,0.6022435201427747
02_068,,,,,0.37233807502812755,,0.6258670085514492
02_069,,,,,0.3799701355094521,,0.5790759068775105
02_070,,,,,0.36579765509638246,,0.5122008885723955
02_071,,,,,0.36958205303168723,,
02_072,,,,,0.3709166462084554,,
02_073,,,,,0.37656879984073444,,0.6222565914753111
02_074,,,,,0.3735324844564821,,0.6232256736426954
02_075,,,,,0.37423073623992925,,
02_076,,,,,0.370078875661942,,
02_077,,,,,0.3390834607073036,,
02_078,,,,,0.32438303675818747,,
02_079,,,,,0.2799763353743456,,
02_080,,,,,,,
02_081,,,,,,,
02_082,,,,,,,
02_083,,,,,,,
02_084,,,,,0.31714684144750177,,
02_085,,,,,0.32664884621695967,,
02_086,,,,,0.3743678688750583,,
02_087,,,,,0.34368583585613105,,
02_088,,,,,0.3084516255929705,,
02_089,,,,,0.2916016459454722,,
02_090,,,,,0.2745584802609871,,
02_091,,,,,,,
02_092,,,,,,,
02_093,,,,,,,
02_094,,,,,0.24688069335142274,,
02_095,,,,,0.24854827219789855,,
02_096,,,,,0.2577254151237939,,
02_097,,,,,0.271292415621672,,
02_098,,,,,0.2969309256008465,,
02_099,,,,,0.29711570170152174,,
02_100,,,,,0.29760795762933645,,
02_101,,,,,0.32688081683103415,,
02_102,,,,,0.3505904090833731,,
02_103,,,,,0.35517971541242094,,
02_104,-0.539335498971436,,,,0.3918403101303925,,
02_105,,,,,0.38199412726813126,,
02_106,,,,,0.3964393736442316,,
02_107,,,,,0.41470323308530943,,
02_108,-0.6091246308724508,,,,0.4219257083350109,,
02_109,-0.7324328276690941,,,,0.43168421009340274,,
02_110,-0.6681943906752502,,,,0.3993624980000354,,
02_111,-0.7774265715056029,,,,0.38991965552850394,,
02_112,-0.7567702912810986,-0.35915017567393875,,,0.3585683420696645,,
02_113,-0.7114090125037816,,,,0.36819683896782746,,
02_114,-0.6833154036987071,,,,0.3580308095608721,,
02_115,-0.6590813459617667,,,,0.347576321646873,,
02_116,-0.6297864635421367,,,,0.3505022575209039,,
02_117,-0.5797340133625813,,,,0.34919588005733293,,
02_118,-0.5443934857024292,,,,0.3065084096711001,,
02_119,-0.6055227156495269,,,,0.3206660635502495,,
02_120,-0.6354903465644466,,,,0.3231917720476839,,
02_121,-0.6121840946134892,,,,0.29589505214204986,,
02_122,-0.6513155786660925,,0.254333653071515,,0.321948900188063,,
02_123,-0.6704414130316847,,,,0.33993973461198085,,
02_124,-0.6689289799338091,,,,0.3301685731349027,,
02_125,-0.7030142158743097,-0.35840430952770036,,,0.3295907424836891,,
02_126,-0.6377690131224804,,,,0.30302108666438654,,
02_127,-0.6252672887497001,,0.26167511032642915,,0.30162720844477475,,
02_128,-0.6483109750072568,,0.2633768941504324,,0.31315990089470586,,
02_129,-0.6188039782266895,-0.3959404168672235,0.2697476164238311,,0.2942833664481891,,
02_130,-0.5525427433460716,-0.4057896454470382,0.2804908805663254,,0.26778404768203534,,
02_131,-0.526119796590375,-0.41598540661905264,0.2714392614685174,,0.25773608007935445,,
02_132,-0.5546829823667577,-0.4193049400622627,0.26627389790896555,,0.26541758764315104,,
02_133,-0.5937702845801799,-0.4206279482146053,0.2732814917759761,,0.2795895855022801,,
02_134,-0.6082453314837343,-0.413311896571382,0.2659671717845258,,0.28792085045235455,,
02_135,-0.5897491824796391,,0.25840505603794234,,0.2756446425772376,,
02_136,-0.6296192384487022,,0.26047384320999784,,0.2955319871516145,,
02_137,-0.6122513752343942,,,,0.2818990363385985,,
02_138,-0.5866546768260148,,,,0.27220367889593705,,
02_139,-0.48252969435304344,,,,0.27320137488191387,,
02_140,-0.5253868988384908,,,,0.2697951423070186,,
02_141,-0.5613619416498219,,,,0.26815081690020826,,
02_142,-0.4869333161819495,,,,0.2721098283761391,,
02_143,-0.4548057080138289,,,,0.25850248495002315,,
