Tag,Distance_Center,Nationality_Spain,Nationality_Italy,Education_University,Nationality_UK,POI_Restaurants_Hotels,Intercept
01_001,,,,,,0.3090936811432642,
01_002,,,,,,0.28901770584383374,
01_003,,,,,,0.25849354346295933,
01_004,,,,,,0.24030860432147252,
01_005,,,,,,0.28043728533204965,
01_006,,,,,,0.2780351330116447,
01_007,,,,,,0.2569056295113396,
01_008,,,,,,0.23992285993012086,
01_009,,,,,,0.23188399264589613,
01_010,,,,,,0.23970615199346648,
01_011,,,,,,0.23280388895570295,
01_012,,,,,,0.23154848089228003,
01_013,,,,,,0.2389813204026919,
01_014,,,,,,0.24606619730916537,
01_015,,,,,,0.2372834122324178,
01_016,,,,,,0.2478290500966552,
01_017,,,,,,0.2472618667186162,
01_018,,,,,,0.2621849928277895,
01_019,,,,,,0.2750945623128682,
01_020,,,,,,0.2868335144668958,
01_021,,,,,,0.2898499356616197,
01_022,,,,,,0.3284610410950801,
01_023,,,,,,0.35382174514850034,
01_025,,,,,,0.35968539788860193,
01_026,,,,,,0.3851675498973694,
01_027,,,,,,0.36416645327497965,
01_028,,,,,,0.32047287835157756,
01_029,,,,,,0.3298742489065812,
01_030,,,,,,0.3676034082094424,
01_031,,,,,,0.37271459920047295,
01_032,,,,,,0.41412308754492333,
01_033,,,,,,0.4490849790832019,0.4849599931918892
01_034,,,,,,0.4687063778705275,0.49581864629630207
01_035,,,,,,0.46791020078647017,0.49206645836716256
01_036,,,,,,0.4388613493909725,0.45845777480755956
01_037,,,,,,0.4619137506539621,0.48553337833028243
01_038,,,,,,0.4657427659999526,0.4909444470271901
01_039,,,,,,0.45685276088538523,0.48665666857670326
01_040,,,,,,0.4503301275170359,
01_041,,,,,,0.45479635983962563,0.4822509799862198
01_042,,,,,,0.4554227733907152,0.48222148279895827
01_043,,,,,,0.43166838369230975,0.47278535129819427
01_044,,,,,,0.41908458992679404,
01_045,,,,,,0.4122208868722341,
01_046,,,,,,0.4009373322918746,
01_047,,,,,,0.3850818885140281,
01_048,,,,,,0.3945888990479136,
01_049,,,,,,0.376958359310449,
01_050,,,,,,0.36999643629079815,
01_051,,,,,,0.3774573527606467,
01_052,,,,,,0.37177111682025366,
01_053,,-0.32084297908648013,,,,0.3866806389336513,
01_054,,,,,,0.39685730596691526,
01_055,,,,,,0.38933345805452524,0.5059197342183483
02_001,,,,,,0.3538212484369043,0.48693687571347255
02_002,,,,,,0.3604185669047925,0.5280696111431078
02_003,,,,,,0.34433559491769095,0.4466864763195241
02_004,,,,,,0.3527606365849693,0.4698406108771145
02_005,,,,,,0.3653701457727522,0.5282341789751706
02_006,,,,,,0.37552039568241646,0.5688211428207587
02_007,,,,,,0.37781935555266066,0.5488563581056438
02_008,,,,,,0.3619680334803543,0.488235979569689
02_009,,,,,,0.3496815485859215,0.43114368618700233
02_010,,,,,,0.3482616627754537,0.37995002741983935
02_011,,,,,,0.3417015614873787,0.36957243634876863
02_012,,,,,,0.3320614414597823,0.35929598558360254
02_013,,,,,,0.34117977702090785,0.2704717683582283
02_014,,,,,,0.3520589465422454,0.25948385088563053
02_015,,,,,,0.353305280365522,0.3486282612676504
02_016,,,,,,0.356451456781702,0.4417633070688504
02_017,,,,,,0.3701530472887755,0.5080266819126982
02_018,,,,,,0.36475085734299495,0.4724365481683187
