Tag,Distance_Center,Nationality_Italy,Nationality_Spain,Education_University,Nationality_UK,POI_Restaurants_Hotels,POI_Daily_Others,Intercept
01_001,,,,,,0.26703222804055154,,
01_002,,,,,,0.2575705784230767,,
01_003,,,,,,0.23536723140617757,,
01_004,,,,,,0.22853544954034238,,
01_005,,,,,,0.25372245443436736,,
01_006,,,,,,0.2554235594588641,,
01_007,,,,,,0.24058429807345708,,
01_008,,,,,,0.23009047264972712,,
01_009,,,,,,0.22639525744020933,,
01_010,,,,,,0.23029801349377393,,
01_011,,,,,,0.22518333873481042,,
01_012,,,,,,0.223098388696609,,
01_013,,,,,,0.22858585172637821,,
01_014,,,,,,0.23404107108528524,,
01_015,,,,,,0.22481445549721166,,
01_016,,,,,,0.230677390927764,,
01_017,,,,,,0.23346960083414625,,
01_018,,,,,,0.2470810942084543,,
01_019,,,,,,0.2567433137196275,,
01_020,,,,,,0.2698222510715451,,
01_021,,,,,,0.2694879245918495,,
01_022,,,,,,0.3142647259442827,,
01_023,,,,,,0.34820338835316833,,
01_025,,,,,,0.3349221914738316,,
01_026,,,,,,0.34911042661987957,,
01_027,,,,,,0.3283087632533533,,
01_028,,,,,,0.2954158411389669,,
01_029,,,,,,0.29530745050934,,
01_030,,,,,,0.32128809090197,,
01_031,,,,,,0.3309005075811932,,
01_032,,,,,,0.35249801237845346,,
01_033,,,,,,0.3861069951377331,,0.5391924377701622
01_034,,,,,,0.4009487949604675,,0.5348765592259084
01_035,,,,,,0.4004464902567913,,0.516300040028469
01_036,,,,,,0.3679669520652089,,0.44031457950464475
01_037,,,,,,0.39955551810294987,,0.5132466772222704
01_038,,,,,,0.40062246508138355,,0.5269104068958427
01_039,,,,,,0.39482357092992626,,0.5299487828131615
01_040,,,,,,0.3902790665652268,,0.5290297091175185
01_041,,,,,,0.3960448758651761,,0.5207106927710438
01_042,,,,,,0.39780617440245525,,0.5103099729449816
01_043,,,,,,0.3829645179601305,,0.47740259159768217
01_044,,,,,,0.38088597948469893,,
01_045,,,,,,0.3752514051064395,,
01_046,,,,,,0.3639998700998954,,
01_047,,,,,,0.3615452090154005,,
01_048,,,,,,0.3695832703883402,,
01_049,,,,,,0.3638697325865726,,
01_050,,,,,,0.36383700962355375,,
01_051,,,-0.33420067640671924,,,0.3700134025804851,,
01_052,,,,,,0.37339848672048576,,
01_053,,,-0.33085018149455636,,,0.3701340360492809,,
01_054,,,-0.318024769842228,,,0.37157474429481446,,
01_055,,,,,,0.3675957724142193,,0.5169416635224149
02_001,,,,,,0.3494261845226896,,0.4870158963425275
02_002,,,,,,0.36731140446627186,,0.53507001726808
02_003,,,,,,0.34636247816429033,,0.44882850519767603
02_004,,,,,,0.3587800189824654,,0.4756862086403786
02_005,,,,,,0.3751195681519475,,0.5355982728256019
02_006,,,,,,0.3853004325914416,,0.575488365915184
02_007,,,,,,0.3875702043137414,,0.5524582389982357
02_008,,,,,,0.36873055976905406,,0.4945552916253437
02_009,,,,,,0.3519520112057163,,0.43673940268862393
02_010,,,,,,0.34321055284285346,,0.38446490858889454
02_011,,,,,,0.3346135795725544,,0.3705855564837733
02_012,,,-0.3372171259425207,,,0.32020980622931416,,0.35067195899878556
02_013,,,,,,0.31423030815051156,,0.26833788870193903
02_014,,,,,,0.32262854866894375,,0.26928214702136927
02_015,,,,,,0.3428662716972925,,0.35738906799059417
02_016,,,,,,0.3581149943757016,,0.44804959659997146
02_017,,,,,,0.3732231891493073,,0.5072105032553211
02_018,,,,,,0.3552108371952172,,0.45772919540146156
02_019,,,,,,0.35606605509513334,,0.46023423559768795
02_020,,,,,,0.3527407108619797,,0.4289375910069902
02_021,,,,,,0.3355816482796744,,0.31972297086849494
02_022,,,,,,0.30732204611388286,,0.2194983529768064
02_023,,,,,,0.3174303125585294,,0.2569847233715837
02_024,,,,,,0.34660838734492955,,0.3780468751725315
02_025,,,,,,0.3317914381141257,,0.2974238900169175
02_026,,,,,,0.3355150300928796,,0.32473714392949155
02_027,,,,,,0.3199371151171125,,0.26606400945854825
02_028,,,,,,0.32269594548776437,,0.2556960570349229
02_029,,,,,,0.3186719949429768,,0.253155731686181
02_030,,,,,,0.30024400767226384,,0.21061086087665204
02_031,,,,,,0.3018202396598717,,0.20347161499957941
02_032,-0.4787426303508547,,,,,0.3058065213538418,,0.20142371968864048
02_033,-0.5145912017623205,,,,,0.3039531482255794,,
02_034,,,,,,0.3091892818012331,,
02_035,,,,,,0.31344401289175605,,0.24936276911438493
02_036,,,,,,0.303022162365927,,
02_037,-0.545955829078933,,,,,0.2941765421834712,,
02_038,-0.5878337918695322,,,,,0.28947332814559745,,
02_039,-0.5298211846253147,,,,,0.2828316209953918,,
02_040,-0.5199899117949882,,,,,0.25845708678756363,,
02_041,,,,,,0.26666254016169005,,
02_042,,,,,,0.2710456765749453,,
02_043,-0.5102704458097016,,,,,0.2593344205384746,,
02_044,,,,,,0.28064439154733234,,
02_045,,,,,,0.28951665983811803,,
02_046,,,,,,0.2881569437812591,,
02_047,,,,,,0.30287278047754085,,
02_048,,,,,,0.29935239056726615,,
02_049,,,,,,0.3174011764008745,,0.292965854411409
02_050,,,,,,0.33700272747804216,,0.3532800510645989
02_051,,,,,,0.3410882992126288,,0.38199803237459595
02_052,,,,,,0.33736227879174835,,0.3828130743762942
02_053,,,,,,0.3324965804806239,,0.3832138300026543
02_054,,,,,,0.30191047931759557,,
02_055,,,,,,0.27125598595788997,,
02_056,,,,,,0.31664907950833104,,0.3674879469649873
02_057,,,,,,0.26714910883558557,,
02_058,-0.44721476969350016,,,,,,,
02_059,-0.410445017157725,,,,,,,
02_060,,,,,,,,
02_061,,,,,,0.35267638378151417,,0.4557006591815709
02_062,,,,,,0.3172694694354401,,0.40895964191403583
02_063,,,,,,,,
02_064,,,,,,0.3049190140894049,,
02_065,,,,,,0.3439595868032051,,0.48332596745042516
02_066,,,,,,0.3672753439389858,,0.4992399913425261
02_067,,,,,,0.3817975427395874,,0.5346142336132398
02_068,,,,,,0.3856761307544827,,0.543508971514616
02_069,,,,,,0.3842678972190332,,0.5530165374903058
02_070,,,,,,0.35759318349198427,,0.5135610839201636
02_071,,,,,,0.3724247865003066,,0.5357261963306814
02_072,,,,,,0.3831354714990633,,0.5501819426296558
02_073,,,,,,0.3984077035558317,,0.5903076467795687
02_074,,,-0.35701041790840277,,,0.3846408159713355,,0.5834540898905547
02_075,,,,,,0.3819602588148774,,
02_076,,,,,,0.385948529962772,,0.5517339922906542
02_077,,,,,,0.32564549545727406,,
02_078,,,,,,0.31620724076331197,,
02_079,,,,,,0.25583877819382506,,
02_080,,,,,,,,
02_081,,,,,,,,
02_082,,,,,,,,
