Tag,Distance_Center,Nationality_Italy,Nationality_Spain,Nationality_UK,POI_Restaurants_Hotels,POI_Education,Intercept
01_001,,,,,0.28671369694933335,,
01_002,,,,,0.2792896194611302,,
01_003,,,,,0.2530312414310173,,
01_004,,,,,0.23417703188001138,,
01_005,,,,,0.27404233130933087,,
01_006,,,,,0.27270488589222674,,
01_007,,,,,0.2515425273637064,,
01_008,,,,,0.2323143293925881,,
01_009,,,,,0.2172674748409023,,
01_010,,,,,0.2295848443417813,,
01_011,,,,,0.21780094539988665,,
01_012,,,,,0.20985550450271315,,
01_013,,,,,0.22458689142339877,,
01_014,,,,,0.23274415920039673,,
01_015,,,,,0.21608250101727974,,
01_016,,,,,0.22657829778254368,,
01_017,,,,,0.23046517607892128,,
01_018,,,,,0.24756484328418926,,
01_019,,,,,0.2685564644943131,,
01_020,,,,,0.27538222234755444,,
01_021,,,,,0.2683469033991891,,
01_022,,,-0.20920948557433136,,0.3180832157996328,,
01_023,,,-0.21634400978767085,,0.3464692856437458,,
01_025,,,-0.21264299825645624,,0.34356355037564124,,
01_026,-0.3532117291584056,,,,0.35507758011328644,,
01_027,,,-0.20725490281788994,,0.3375658310642926,,
01_028,,,-0.21180609994345484,,0.31104499645786116,,
01_029,,,-0.21252549626648293,,0.31303044226835225,,
01_030,-0.3688688663068745,,,,0.32944846680500456,,
01_031,-0.36267559525798465,,-0.19996906494903746,,0.34032321705430896,,
01_032,-0.3795904259226353,,,,0.348629404825986,,
01_033,-0.36410193953902553,,,,0.3743034854379512,,
01_034,-0.36427382646726253,,,,0.3775703784345788,,
01_035,-0.3616290619230888,,,,0.3791279992496812,,
01_036,-0.33788342382502806,,,,0.3622300430470726,,
01_037,-0.3617557529780725,,,,0.38269979483693684,,
01_038,-0.3634875086156009,,,,0.37998954532424567,,
01_039,-0.3618539883580995,,,,0.3798817214549541,,
01_040,-0.3647599477943356,,,,0.3798752966763197,,
01_041,-0.3608743512052725,,,,0.3849086837555674,,
01_042,-0.3578205030203949,,,,0.3864451272389831,,
01_043,-0.3437716963318674,,,,0.3864107535962467,,
01_044,-0.32182474051926435,,,,0.3893188331607941,,
01_045,-0.3370101544408102,,,,0.3814889958342582,,
01_046,-0.3438161334700618,,,,0.36833214980242923,,
01_047,,,,,0.3689754848032681,,
01_048,,,,,0.381255155812978,,
01_049,,,-0.20626224964326612,,0.3710427301355852,,
01_050,,,-0.2124635622788216,,0.367925422961557,,
01_051,,,,,0.38180681087922286,,
01_052,,,-0.2224082963187406,,0.37804947750826656,,
01_053,,,,,0.3875277668284985,,
01_054,,,,,0.3881905558043495,,
01_055,,,,,0.3892334773139849,,
02_001,,,,,0.3777436794485561,,0.35861199845165415
02_002,,,,,0.3898818842258238,,0.41905899293016224
02_003,,,,,0.3812246346401596,,0.3269474337479193
02_004,,,,,0.3900980034611241,,0.3557649865012906
02_005,,,,,0.39489805156827273,,0.42193452220692207
02_006,,,,,0.3985220382036064,,0.47515562502223874
02_007,,,,,0.4012823799477503,,0.4608423754486662
02_008,,,,,0.39505428004073523,,0.37871304996334015
02_009,,,,,0.3925979816448214,,0.3060745455288794
02_010,-0.3174648100000558,,,,0.39800333297597307,,0.2513011169051454
02_011,,,,,0.38956140891081964,,0.25059834534283265
02_012,,,,,0.37048183217123376,,
02_013,-0.36966697826745215,,,,0.3934116097563701,,
02_014,-0.4464600891253414,,,,0.41029671981183696,,
02_015,-0.3829341549337358,,,,0.40750516263263326,,
02_016,,,,,0.3966751372795619,,0.3076797657472148
02_017,,,,,0.39248168417139967,,0.39119142665956486
02_018,,,,,0.38688531047950636,,0.387479555955776
02_019,,,,,0.38886305961466544,,0.3535488500034031
02_020,-0.3336414549420575,,,,0.3954639510604104,,0.2943860822447587
02_021,-0.45439682224694533,,,,0.4087761163590021,,
02_022,-0.5669716717565809,,,,0.41135606771570266,,
02_023,-0.5578032041848308,,,,0.4086921230477307,,
02_024,-0.40445079608897805,,,,0.3995672393830535,,0.24308186584598118
02_025,-0.5314175857596574,,,,0.4027690951508213,,
02_026,-0.48452574362196105,,,,0.39590450039659053,,
02_027,-0.5723744742611747,,,,0.3896755509089981,,
02_028,-0.614120041980387,,,,0.39872558318967827,,
02_029,-0.6011028592297919,,,,0.40419346536237494,,
02_030,-0.6653547128640597,,,,0.40247004421218924,,
02_031,-0.7209432421041503,,,,0.3975731056651284,,
02_032,-0.7336067884256156,,,,0.3918864820958076,,
02_033,-0.7297930665579252,,,,0.38373110778717556,,
02_034,-0.646585791668155,,,,0.3837280885639117,,
02_035,-0.5643381667714348,,,,0.37979792779127247,,
02_036,-0.6514562027001966,,,,0.37488973772798084,,
02_037,-0.7558194073907872,,,,0.37130727173630207,,
02_038,-0.8368168410900717,,,,0.36818603359464736,,
02_039,-0.7240763003055222,,,,0.35217368837736723,,
02_040,-0.7688653115698025,,,,0.3189049800350453,,
02_041,-0.6675376793372461,,,,0.3308601143320165,,
02_042,-0.55739395972784,,,,0.3329630933868103,,
02_043,-0.48391761409318834,,,,0.3229807522458238,,
02_044,-0.4904255003642623,,,,0.3470181837293833,,
02_045,-0.5429515590212727,,,,0.35543339290260506,,
02_046,-0.6218116696997111,,,,0.3561088107461079,,
02_047,-0.5453005374330229,,,,0.36859674035674167,,
02_048,-0.4717955343656789,,,,0.3622079518145483,,
02_049,-0.45071156084186215,,,,0.3779475223362789,,
02_050,-0.4264612294892111,,,,0.3915995505739285,,0.246159706774405
02_051,-0.37313244812247004,,,,0.3870576714952359,,0.28973638846438615
02_052,,,,,0.3815315681046599,,0.32078626005301414
02_053,,,,,0.3727432442357046,,0.34078104096773354
02_054,-0.3690022421686243,,,,0.35537756107539703,,
02_055,,,,,0.31976095038350455,,
02_056,,,,,0.353088724679701,,0.3554427338091085
02_057,,,,,0.3028393763153307,,
02_058,,,,,0.25452376291321005,,
02_059,,,,,0.22291686881116357,,
02_060,,,,,0.2653828372900138,,
02_061,,,,,0.37641816979497916,,0.4157342868289294
02_062,,,,,0.3363282691263208,,0.4013451809352617
02_063,,,,,0.2740460833795993,,
02_064,,,,,0.31821626197528685,,
02_065,,,,,0.3553375036828309,,0.45567829762798023
02_066,,,,,0.3874741311874142,,0.4380166411359412
02_067,,,,,0.3946772923087169,,0.4559147104936055
02_068,,,,,0.3980108191669093,,0.45207493426985806
02_069,,,,,0.3913949978699064,,0.4963448524909181
02_070,,,,,0.36524874178584543,,0.4789729001842702
02_071,,,,,0.37327001512392854,,0.4907099974925931
02_072,,,,,0.3774488009015877,,0.4908532250000925
02_073,,,,,0.3991851475741947,,0.5080384322113979
02_074,,,,,0.3946239711790231,,0.47283309117157163
02_075,,,-0.23162356758254873,,0.37871533977264654,,
02_076,,,-0.2369938104627666,,0.37540998987264496,,
02_077,,,,,0.31886353943583096,,
02_078,,,,,0.3226120558942545,,
02_079,,,,,0.27115001778282605,,
02_080,,,,,0.2725803347105148,,
