Tag,Distance_Center,Nationality_Spain,Nationality_Italy,Nationality_UK,Percentage_Age_65_Plus,POI_Restaurants_Hotels,Education_University,Percentage_Age_0_14,Rent_Number_Flats,POI_Clothing,POI_Education,Intercept
01_001,,,,,,0.3006694716447848,,,,,,
01_002,,,,,,0.29592848037590014,,,,,,
01_003,,,,,,0.28055375503051005,,,,,,
01_004,,,,,,0.26785888660769924,,,,,,
01_005,,,,,,0.29329247969079775,,,,,,
01_006,,,,,,0.2927832797380214,,,,,,
01_007,,,,,,0.27880568695756713,,,,,,
01_008,,,,,,0.2658715525018614,,,,,,
01_009,,,,,,0.2558268060327174,,,,,,
01_010,,,,,,0.26497421109009367,,,,,,
01_011,,,,,,0.25814181742290565,,,,,,
01_012,,,,,,0.25532041618619183,,,,,,
01_013,,,,,,0.2636416884953681,,,,,,
01_014,,,,,,0.26931676596720266,,,,,,
01_015,,,,,,0.2605032195849648,,,,,,
01_016,,,,,,0.26795369518920026,,,,,,
01_017,,,,,,0.26884322592067045,,,,,,
01_018,,,,,,0.2799026002607622,,,,,,
01_019,,,,,,0.29004065982545,,,,,,
01_020,,,,,,0.2966945081276645,,,,,,
01_021,,,,,,0.29434214248748275,,,,,,
01_022,,,,,,0.32734848951214957,,,,,,
01_023,,,,,,0.34596274061277504,,,,,,
01_025,,,,,,0.3381121842673471,,,,,,
01_026,,,,,,0.34072660224883045,,,,,,
01_027,,,,,,0.3305154051468721,,,,,,
01_028,,,,,,0.3172844783720426,,,,,,
01_029,,,,,,0.3156408406083989,,,,,,
01_030,,,,,,0.32273976744816607,,,,,,
01_031,,,,,,0.3304589284795164,,,,,,
01_032,,,,,,0.3241019433455681,,,,,,0.5105722191014819
01_033,,,,,,0.33579909520801754,,,,,,0.4730877702831481
01_034,,,,,,0.32986729243884855,,,,,,0.4473512904837563
01_035,,,,,,0.32813769451202723,,,,,,0.43484782085593354
01_036,,-0.3237263781945314,,,,0.3076596270167702,,,,,,0.37260996119859496
01_037,,,,,,0.3340024975608113,,,,,,0.4416731651436907
01_038,,,,,,0.33248156878374807,,,,,,0.44665976074348934
01_039,,,,,,0.3359757935615396,,,,,,0.4591158731192479
01_040,,,,,,0.3392863892315339,,,,,,0.47544256813150026
01_041,,,,,,0.33848988264634244,,,,,,0.45883163379625247
