,Distance_Center,POI_Restaurants_Hotels,Nationality_Italy,Nationality_Spain,Nationality_UK,Percentage_Age_65_Plus,Percentage_Age_0_14,POI_Clothing,POI_Daily_Others,Education_University,Intercept
0,-0.4388620086458041,0.14227053601055104,0.12371327011141336,-0.14352232612732935,0.1171078715900962,-0.07323434019334371,-0.07275165214845672,-0.05009962967220947,0.04853619365825515,-0.015479914395930827,-2.9319233649681856e-16
1,-0.44895062143648384,0.1647628872786615,0.17003668609712835,-0.10842246093892735,0.11346053608922418,-0.06863736314551251,-0.05246057976182596,-0.053632668563949965,0.041658120058315345,-0.060082457376204934,-2.919273342688155e-16
2,-0.4713256771701008,0.16796616501632033,0.09032990590946022,-0.11570166943355663,0.14702510036523134,-0.06837761973153966,-0.04428382696138681,-0.050055711970859874,0.05756970730333946,-0.04092066677560477,8.01492530562205e-17
3,-0.4049092131871774,0.1484041705069126,0.12003604277858118,-0.15368690828679965,0.14037486161798599,-0.07704974952804514,-0.06471327742286659,-0.05032305418276793,0.06572923099050088,-0.03175743708971518,-1.2768217303949474e-16
4,-0.45634807432924185,0.16158251768571233,0.1474965244030875,-0.12499547351645343,0.11755740482248811,-0.057279411857884856,-0.04489607373290025,-0.03157081638474195,0.04136111155735259,-0.06945682187791202,-6.705128279203405e-17
5,-0.4702107819069761,0.14304753123937713,0.13576390611880162,-0.11405110572717325,0.12282230655346817,-0.059419702615249696,-0.051746209024213306,-0.03366339928173213,0.04363183930136619,-0.05033713543233577,-4.613978768454761e-17
6,-0.4501428650368657,0.15936776572247274,0.12814106108226042,-0.14304028698103577,0.12894919790493614,-0.056542212985588085,-0.0374218938463498,-0.04432913093403343,0.04017504118989573,-0.04652786628164857,4.512360199552459e-16
7,-0.4301565887505993,0.1773353051583199,0.12459314695111275,-0.1312744132892562,0.12263561142856705,-0.08022302565283948,-0.05289026290436075,-0.06253597422204116,0.04958727731327006,-0.035770364117140185,-1.941615161305047e-16
8,-0.4293606352242251,0.15174640492592661,0.1292731944974158,-0.1364537373292531,0.13440289468476052,-0.07228807483378057,-0.07591208597222872,-0.057108844054387035,0.05971407154181946,-0.04173945704663019,-4.537425457553709e-16
9,-0.44324638932604016,0.15291546033458897,0.13445279170049443,-0.11935524125347514,0.12557667827191005,-0.07699374590123578,-0.06282922045595786,-0.037523919240983916,0.059175416857886104,-0.04407611307870524,-4.569206339152305e-17
10,-0.4286162921638237,0.14614340779620572,0.13432755515275682,-0.1452174177328781,0.14296163911513426,-0.06728344582383064,-0.058119044153126576,-0.06113855250835837,0.05677330647263232,-0.03294342556639843,-1.4220246015098844e-16
11,-0.4476182003991949,0.17072523410394252,0.1558603779062866,-0.11050044405210016,0.11334840242462259,-0.06633116266553615,-0.05204957757110597,-0.046236058357996455,0.03958831179571018,-0.06074869655335574,-3.556483008020809e-17
12,-0.4354707807350645,0.1698060918350705,0.11086399547791825,-0.13889236267847985,0.13293744232648955,-0.0707588325400572,-0.05837757033461061,-0.041839563682825855,0.043584516361844045,-0.02894707249813995,-4.264671300712138e-16
13,-0.46019793060925335,0.15275171431937473,0.12429361985501425,-0.14021841788992295,0.11545558671028443,-0.06707375880211697,-0.04077699082691724,-0.05296784698220296,0.0583975414108146,-0.0541292744103609,-6.742263515444838e-16
14,-0.45156345836054657,0.14718757726445036,0.130711481358351,-0.1092985153304179,0.1280759714966617,-0.07361669719418898,-0.06989825694109797,-0.03559488117915883,0.05569046044753162,-0.04323706316569349,-1.6943332925651032e-16
15,-0.43428552131692766,0.18358195115842968,0.13223808724501587,-0.12850781503475134,0.1221012665742266,-0.07448828059598855,-0.05911727393524653,-0.05098774183663602,0.03650561081893877,-0.04611986870351706,1.569525079117352e-16
16,-0.4455030571139531,0.177215589856189,0.12937019493953628,-0.11132635290524896,0.13704972897774928,-0.07856703762728105,-0.06578460942073629,-0.055202541839476114,0.05511569596290719,-0.05902664390358274,-2.509419280194405e-16
