,Distance_Center,Nationality_UK,POI_Restaurants_Hotels,Nationality_Spain,Nationality_Italy,Education_University,Intercept
0,-0.46102548165133855,0.16493904145478486,0.15460038603561024,-0.16403434760169644,0.13659518784415592,-0.08833285076493472,2.2074345612488704e-16
1,-0.44680896700765854,0.1719986391397787,0.16756702635414947,-0.12741955516148804,0.18174231008768144,-0.10784357445466561,-7.811017592336905e-16
2,-0.47973833629652596,0.1569245146092401,0.18023448262881228,-0.15006275307870715,0.11174013190992356,-0.07400859350283465,2.764675837766092e-16
3,-0.44077338908902164,0.17480860132328413,0.1818254686094283,-0.14428283565037076,0.14965855638891642,-0.10467869770944313,1.6013813369919636e-16
4,-0.4571800121534817,0.1526199276207911,0.16552133836687224,-0.15794941389917833,0.15886196657238888,-0.11138493098189217,8.498843198142965e-17
5,-0.4972888658208629,0.16975450230614111,0.15900331521730787,-0.13093115114762519,0.13448202236685958,-0.10587242964891042,1.8578928030475932e-16
6,-0.4610499242006778,0.1718378726109636,0.15672915462529077,-0.1630473151967658,0.12899330297887301,-0.08205719457299898,7.873901329434982e-17
7,-0.4326916297238221,0.15334291854715068,0.18952418339519206,-0.1513320817024091,0.1521874247472999,-0.08905366139965021,1.7342033791582865e-16
8,-0.43948434262999864,0.16763431176205001,0.16240702793679127,-0.16347544341004608,0.1555344941283211,-0.09766587452852532,-6.224454464657901e-16
9,-0.455895882937967,0.15883108194172216,0.18219606851308512,-0.1333974377340967,0.16935098712385913,-0.11339872188123407,-7.609308474721223e-17
10,-0.44016750197735155,0.1836078856725206,0.15909272490667684,-0.17351198757126202,0.1360462066208339,-0.0890150682299862,1.2041794885609224e-16
11,-0.45730799444183184,0.14123031500639016,0.18121110938572604,-0.13380180058233915,0.16977996925647168,-0.100178087692293,-3.285198202957331e-16
12,-0.46205302022512174,0.17621590480716878,0.175173310475401,-0.14934105690858365,0.1286835243958214,-0.09357093586942117,-1.9590049962597804e-17
13,-0.4662774618674326,0.14605886367107543,0.16742792168645063,-0.15751740613271495,0.15153318894134254,-0.10710453929211065,-1.5391676554542805e-16
14,-0.46166554326398085,0.1719421973069965,0.1671519038530992,-0.1279872431522599,0.15634399213518385,-0.09917388949380229,6.629039008437886e-17
15,-0.4481907122607403,0.17124155276908504,0.18057549781046278,-0.13312689593204086,0.16158878671799157,-0.11349525559830129,-8.244979835507836e-17
16,-0.47069378152706864,0.177429094483965,0.17787904346478334,-0.1566474069888522,0.1267467926093166,-0.11638027002511006,4.401653603069995e-17
17,-0.46185485151406813,0.1652783438658757,0.15380746059990746,-0.16315511127303017,0.14856834364811383,-0.10577877669975759,2.5078963609156197e-16
18,-0.44826757373838594,0.1620760170520827,0.16991594753971764,-0.1539315133626973,0.1361826956121926,-0.06768663339251274,3.4096863126713376e-16
19,-0.46163539382433455,0.14312879930863992,0.1679403224283418,-0.13543451135926832,0.165524771675937,-0.08381047838511736,-6.954877974437989e-17
20,-0.47810808510675085,0.17357856225569082,0.15877374101697458,-0.15005405554155976,0.13464751612702436,-0.0964013373063958,1.7039923655296236e-16
21,-0.42305092860870436,0.16809455311949,0.1584936903149634,-0.14360880263582623,0.17368027566987523,-0.0883917584166815,-1.1653778719428638e-17
22,-0.47940267797609876,0.14776900646356841,0.15284661503380845,-0.19020914660608773,0.11358061284120399,-0.08713664067649558,1.5438726485021876e-16
23,-0.4549944824352457,0.16995611922624804,0.1797771929197132,-0.136911879413577,0.1416330854287211,-0.09246350110261115,-3.215148465561702e-17
24,-0.4505900456269665,0.1620740046284391,0.19711011831774197,-0.12300590562566562,0.17779139940768926,-0.12228012422711684,1.4633534155008982e-16
