Tag,Distance_Center,Nationality_Italy,Nationality_Spain,Education_University,Nationality_UK,POI_Restaurants_Hotels,Rent_Number_Flats,Intercept
01_001,,,,,,0.3213105909410052,,
01_002,,,,,,0.3087187481648465,,
01_003,,,,,,0.27514503293993925,,
01_004,,,,,,0.25846526038508766,,
01_005,,,,,,0.3017762510079702,,
01_006,,,,,,0.30144637721143397,,
01_007,,,,,,0.2791359017880402,,
01_008,,,,,,0.26033897675049905,,
01_009,,,,,,0.2501963418826158,,
01_010,,,,,,0.2612025321220583,,
01_011,,,,,,0.253169957634961,,
01_012,,,,,,0.2510250094497196,,
01_013,,,,,,0.261619028468785,,
01_014,,,,,,0.27112642209898163,,
01_015,,,,,,0.2598735029959607,,
01_016,,,,,,0.27630479838130445,,
01_017,,,,,,0.273412525273863,,
01_018,,,,,,0.291322431697486,,
01_019,,,,,,0.3009836175484742,,
01_020,,,,,,0.3169467412841328,,
01_021,,,,,,0.32526908605789423,,
01_022,,,,,,0.3613570216323556,,
01_023,,,,,,0.38684132378197367,,
01_025,,,,,,0.38557017075419503,,
01_026,,,,,,0.4021523328265928,,
01_027,,,,,,0.3837192584078825,,
01_028,,,,,,0.34832785935913824,,
01_029,,,,,,0.3518760653593667,,
01_030,,,,,,0.37940308451633403,,
01_031,,,,,,0.38724769894940536,,
01_032,,,,,,0.4125151959767117,,
01_033,,,,,,0.4457800560051327,,
01_034,,,,,,0.4618928131701656,,0.4628002462508493
01_035,,,,,,0.4606901424547712,,0.4530836729757262
01_036,,,,,,0.4304944663845309,,0.4066320424316475
01_037,,,,,,0.4570436088634468,,0.44893607938797436
01_038,,,,,,0.46003536075134194,,
01_039,,,,,,0.4532214631400417,,
01_040,,,,,,0.4482196068281259,,
01_041,,,,,,0.45240188823601873,,
01_042,,,,,,0.45268364452622983,,
01_043,,,,,,0.43059151530456763,,0.43140198625129783
01_044,,,,,,0.42590526758666364,,
01_045,,,,,,0.4230863807811336,,
01_046,,,,,,0.41455803146940134,,
01_047,,,,,,0.4058645383177132,,
01_048,,,,,,0.4108743670959998,,
01_049,,,,,,0.40119074213076616,,
01_050,,,,,,0.3972831328320891,,
01_051,,,,,,0.398503391492009,,
01_052,,,,,,0.3967085635241834,,
01_053,,,,,,0.4017854941536387,,
01_054,,,,,,0.40875147890576574,,
01_055,,,,,,0.39765379237791076,,0.46924045403452885
02_001,,,,,,0.3611137424477679,,0.449151982295265
02_002,,,,,,0.37019128506842647,,0.4838093386524444
02_003,,,,,,0.3533193086171189,,0.4119239269720829
02_004,,,,,,0.36243519036318944,,0.428325735219112
02_005,,,,,,0.3752400423833922,,0.47651713729543976
02_006,,,,,,0.3888714674605623,,0.5138947691103752
02_007,,,,,,0.3883687063857606,,0.4793535154716514
02_008,,,,,,0.3707432026355663,,0.4348130668999179
02_009,,,,,,0.3591446302188337,,0.39409766287354175
02_010,,,,,,0.3580328818024449,,0.34930041707061515
02_011,,,,,,0.3512911916375646,,0.3410375800354773
02_012,,,,,,0.34089441844010354,,0.32908337388054554
02_013,,,,,,0.35101388110160076,,0.25026753880913705
02_014,,,,,,0.3609352628114925,,0.24911574233935066
02_015,,,,,,0.36196605016324124,,0.3254823938882017
02_016,,,,,,0.3639775026828687,,0.3956707151933233
02_017,,,,,,0.37291568662855235,,0.4295212153710217
02_018,,,,,,0.36294532737873025,,0.36992676365812527
02_019,,,,,,0.361210023465403,,0.38967279085633955
02_020,,,,,,0.3599143607175937,,0.377316242444646
02_021,,,,,,0.36028353101131305,,0.2978385394145899
02_022,,,,,,0.3566881233720874,,
02_023,,,,,,0.3562249866453369,,0.2461368056622856
02_024,,,,,,0.3596201906042211,,0.34063331851736756
02_025,,,,,,0.358249708563734,,0.2829681049716466
02_026,,,,,,0.3561312957395883,,0.2998975853974492
02_027,,,,,,0.3485462033313621,,0.2539469380808469
02_028,,,,,,0.355200761310593,,0.24940391095687273
02_029,,,,,,0.3555020261911887,,0.24637446874753377
02_030,,,,,,0.3488710546358158,,
02_031,,,,,,0.3479642438337852,,
02_032,,,,,,0.3466990758836199,,
02_033,,,,,,0.34029668124169393,,
02_034,,,,,,0.3419997637992346,,
02_035,,,,,,0.3432230420551679,,
02_036,,,,,,0.3365258411826563,,
02_037,,,,,,0.32860476337601263,,
02_038,,,,,,0.3245813085592828,,
02_039,,,,,,0.31385855871501595,,
02_040,,,,,,0.2829527207019985,,
02_041,,,,,,0.293519961416389,,
02_042,,,,,,0.296076248561212,,
02_043,,,,,,0.28260240920414426,,
02_044,,,,,,0.30513057222823003,,
02_045,,,,,,0.31685553606961203,,
02_046,,,,,,0.317270668892506,,
02_047,,,,,,0.33155642451285644,,
02_048,,,,,,0.3253036548935727,,
02_049,,,,,,0.3398679903961032,,
02_050,,,,,,0.35399955646006914,,0.3148768098436722
02_051,,,,,,0.3545827212102818,,0.3264530521189778
