Tag,Distance_Center,Nationality_Italy,Nationality_Spain,Nationality_UK,POI_Restaurants_Hotels,POI_Education,Intercept
01_001,-0.3415976364181936,,-0.20500302664352352,,0.2869086351623857,,
01_002,,,-0.20746583063513033,,0.2782118528375327,,
01_003,,,,,0.25481136223815914,,
01_004,,,,,0.23469959043173122,,
01_005,,,-0.2055219049644598,,0.2728448107981234,,
01_006,,,,,0.26993599693851295,,
01_007,,,,,0.24940691555437333,,
01_008,,,,,0.2309253146597948,,
01_009,,,,,0.2154111601784111,,
01_010,,,,,0.22670337330454263,,
01_011,,,,,0.21459207885905815,,
01_012,,,,,0.20566522789955033,,
01_013,,,,,0.22021843697688787,,
01_014,,,,,0.22771634750591058,,
01_015,,,,,0.21009536773879522,,
01_016,,,,,0.2176681266403798,,
01_017,,,,,0.223664599203501,,
01_018,,,,,0.2397226496293955,,
01_019,,,,,0.26311635076548234,,
01_020,,,-0.20226119480753116,,0.2649461120050742,,
01_021,,,,,0.2540154161278819,,
01_022,,,-0.22674149004556046,,0.30878389699296116,,
01_023,,,-0.23286788881543363,,0.33983755345911015,,
01_025,,,-0.22569121627594765,,0.3362560237648647,,
01_026,,,-0.2085316341688204,,0.34738946367776224,,
01_027,,,-0.2176823320386203,,0.3310388425872316,,
01_028,,,-0.22474111810926514,,0.3039453393437229,,
01_029,,,-0.2212344187300373,,0.30657254866988964,,
01_030,-0.3574521150326403,,-0.20596567238367375,,0.32454153405883146,,
01_031,-0.34468888605082143,,-0.20878655444126418,,0.3329880415117461,,
01_032,-0.363423537285617,,,,0.3381982134013519,,
01_033,-0.35663431632152304,,,,0.36001406745624215,,
01_034,-0.3556052747414589,,,,0.3600468991502303,,
01_035,-0.3526036700780331,,,,0.3598554156742595,,
01_036,-0.3390181734508315,,,,0.34239060446913006,,
01_037,-0.3557616389215981,,,,0.3660655065788233,,
01_038,-0.35701613680085853,,,,0.3635619398187537,,
01_039,-0.3546632572107716,,,,0.3640964345602302,,
01_040,-0.35045396977565463,,,,0.36164218920285945,,
01_041,-0.35039750511614787,,,,0.3669339745995039,,
01_042,-0.35025783013139017,,,,0.36911790246605064,,
01_043,-0.33854594005008637,,,,0.3669947133192564,,
01_044,-0.30860623063108966,,,,0.3794968129941731,,
