,Distance_Center,Nationality_Spain,Nationality_Italy,POI_Restaurants_Hotels,POI_Clothing,Nationality_UK,POI_Daily_Others,Intercept
0,-0.4379459444057806,-0.24451565047294685,0.17657348205100015,0.1474096314087896,-0.06531445773089435,0.04365215439933409,0.0458458320057023,-2.3176137294248613e-16
1,-0.4119030870840264,-0.2224935355040002,0.1929799279853735,0.16796283860102365,-0.048005921472077204,0.057555892257187116,0.022641446759164685,-3.08344581804388e-16
2,-0.4355361471918711,-0.20772521146618583,0.1786956340062741,0.17758823764063592,-0.07387818125823556,0.060422815010303124,0.040299508169980236,-2.1030333532640838e-16
3,-0.3974909079301399,-0.24610932101565075,0.18683924777102567,0.15291104784348877,-0.06822174236529181,0.060212067175605705,0.059973713439386345,-1.903130412996001e-16
4,-0.4353783346024992,-0.22786195900270761,0.17087587518469746,0.15042387411467206,-0.049511743770282376,0.0628908608575251,0.029829167868729745,7.138026115153363e-18
5,-0.4567327526380537,-0.2160459485006604,0.18465520090454374,0.14211805721064275,-0.05891593442116409,0.047207422413300434,0.03898955155254813,-4.2984694488968917e-16
6,-0.4227424033719949,-0.23611148098810414,0.17098463025068822,0.16070101299221667,-0.061589215979224746,0.06282301682527361,0.02988063632068999,-2.9642917178324287e-16
7,-0.39953082228831305,-0.23988818982904977,0.18222863175531692,0.18072821180712395,-0.06689443111010876,0.05680189755548712,0.03610388356438127,-8.297926015098587e-17
8,-0.41442294885826325,-0.24331826227377468,0.17876056681302271,0.1616162678546733,-0.06491248445069521,0.06020723761423549,0.0404039396097427,-7.23150525238379e-16
9,-0.42542163000511674,-0.21219440715984486,0.18818523276322485,0.15445186791954285,-0.052420327095182254,0.056871001257182766,0.0509696763814087,-4.219132680126068e-16
10,-0.4290257614853533,-0.23990766895629398,0.1637372085173052,0.1618003948638273,-0.07764640281520496,0.07351391380832888,0.038513291217151135,8.294109944170361e-17
11,-0.41995630351095686,-0.20632522663192082,0.19950551812004796,0.17481828680777162,-0.06653852077204046,0.04676106116998788,0.03840219620484381,3.39287911013628e-17
12,-0.4171737714833475,-0.24064685653776413,0.19674924348727219,0.15549950576583235,-0.036605159074275945,0.040375886493087015,0.024081307076722236,-9.279922430565862e-17
13,-0.4324123856068978,-0.24447130120468186,0.1583643999169208,0.15167270311846603,-0.06430005930147704,0.055806472460915524,0.0507902135823361,1.569175277471834e-18
14,-0.42127970027385747,-0.21651095625710784,0.1852882014006336,0.15556703297493235,-0.05973454093106975,0.06861591795001629,0.045162167095254335,5.95684060518878e-17
15,-0.417344490281747,-0.22759962055967298,0.19410817267931585,0.17727594386786946,-0.07471187713711423,0.051041755038560135,0.028600786506028986,1.1004593141346623e-16
16,-0.41795773721823865,-0.2275209192654708,0.17770426710774914,0.1863836438850452,-0.060280929801085875,0.05660695969513001,0.029754223475097097,-2.2312300811178265e-16
17,-0.4362906979240057,-0.23504778367666615,0.17212296098929544,0.13994131766240225,-0.05146507910675545,0.056668023712816956,0.04737987596165105,-5.08263839566876e-17
18,-0.4208000668919402,-0.2208172339551413,0.17585699116142156,0.16180384319778,-0.06001895845375606,0.06890182114967494,0.040551327694229145,1.4750780772137654e-16
19,-0.4270531133150062,-0.23738237197495127,0.18378400343048604,0.13061959898655887,-0.05807652929221484,0.054147533247178914,0.052074449262872025,2.251819044516591e-16
20,-0.4400844718519975,-0.23124341986372637,0.15972700759723746,0.14071243709171122,-0.05132753320648081,0.07874540194262347,0.03692682473433523,2.0348626746674913e-17
21,-0.38601075327460416,-0.230154703238337,0.19664552679455516,0.1691416150698212,-0.07628799058544324,0.06823421623756062,0.045174753978316495,4.443508325008405e-18
22,-0.45273341531559785,-0.2521014423598223,0.16909195850976472,0.145881013569237,-0.05022899967085949,0.035787913748660014,0.018522037922616474,2.7210181065593005e-16
23,-0.41377337210115445,-0.2186049886893196,0.19258614888198922,0.15942502042137596,-0.058788561690685914,0.0576090276366201,0.043347685654841706,-2.0568156467801162e-16
24,-0.4298771106434868,-0.213386019303091,0.1859446991911861,0.18073461239853242,-0.06872986680840622,0.044679626203583137,0.05444887051258396,-1.6245452569734592e-16
