Tag,Distance_Center,Education_University,Nationality_Italy,Nationality_UK,Nationality_Spain,POI_Restaurants_Hotels,Intercept
01_001,,,,,,0.3054905105312678,
01_002,,,,,,0.29446767640585914,
01_003,,,,,,0.26298587988872224,
01_004,,,,,,0.24524853101050348,
01_005,,,,,,0.28856800646976605,
01_006,,,,,,0.28846403896043904,
01_007,,,,,,0.26576377862479117,
01_008,,,,,,0.2463979913655365,
01_009,,,,,,0.23485955170009135,
01_010,,,,,,0.2469387571327367,
01_011,,,,,,0.23798292907389762,
01_012,,,,,,0.2350914205900219,
01_013,,,,,,0.24627517076959907,
01_014,,,,,,0.2560036244856468,
01_015,,,,,,0.24450986548496104,
01_016,,,,,,0.26044359416662366,
01_017,,,,,,0.25774991071945696,
01_018,,,,,,0.27561133234391527,
01_019,,,,,,0.28755596279679807,
01_020,,,,,,0.30220684773970213,
01_021,,,,,,0.30738190674823596,
01_022,,,,,,0.3472641495943089,
01_023,,,,,,0.3716939317545992,
01_025,,,,,,0.3708130838577411,
01_026,,,,,,0.38256998307966633,
01_027,,,,,,0.3667762428876838,
01_028,,,,,,0.3347120069556354,
01_029,,,,,,0.3368977483432073,
01_030,,,,,,0.3579666204734166,
01_031,,,,,,0.3678885742493452,
01_032,,,,,,0.3790361415510108,
01_033,,,,,,0.40556611428668,
01_034,,,,,,0.40975765473440073,
01_035,,,,,,0.41014584708032104,
01_036,,,,,,0.3802856524103904,
01_037,,,,,,0.41013423050876385,
01_038,,,,,,0.41046167245118187,
01_039,,,,,,0.40878904075411565,
01_040,,,,,,0.4064113699013236,
01_041,,,,,,0.41180380888529156,
01_042,,,,,,0.4105290170222229,
01_043,,,,,,0.39734893599576204,
01_044,,,,,,0.4050140265074114,
01_045,,,,,,0.4021560840439782,
01_046,,,,,,0.39503087666867465,
01_047,,,,,,0.3917515676395006,
01_048,,,,,,0.3976852932370872,
01_049,,,,,,0.38911427377145286,
01_050,,,,,,0.3850099665613508,
01_051,,,,,,0.3907802714273802,
01_052,,,,,,0.3870779953512171,
01_053,,,,,,0.3946930556181154,
01_054,,,,,,0.3982058277860084,
01_055,,,,,,0.3909484420282311,
02_001,,,,,,0.3615225001697861,0.3958249578690048
02_002,,,,,-0.35181242971668514,0.3722962928107821,0.4524495435192357
02_003,,,,,-0.3746237364133252,0.3492604941396334,0.36675849348366857
02_004,,,,,-0.3628525037325007,0.3589356718463466,0.40608923460942
02_005,,,,,-0.3546172467390068,0.3748950876522478,0.46436253216286744
02_006,,,,,,0.3878964563880383,0.5110338237934651
02_007,,,,,,0.3888283058020434,0.5095927759148412
02_008,,,,,-0.3496972210837877,0.36815723933211164,0.43202144876267434
02_009,,,,,-0.3699999629217888,0.3494644534520952,0.37033712717616873
02_010,,,,,-0.3798336810936707,0.3411625616524459,0.3352216694094452
02_011,,,,,-0.40046031608269705,0.33430240802526856,0.30811133607613705
02_012,,,,,-0.4089640731490731,0.32646435602181406,0.27597930422730477
02_013,,0.33165903387741325,,,-0.43981706534555043,0.31414304310316016,
02_014,,0.419332399800725,,,-0.4066269720000855,0.31305726645762655,
02_015,,,,,-0.36333000909006646,0.3327592047262999,0.3208407651336344
02_016,,,,,,0.35505751165669586,0.387660631387335
02_017,,,,,,0.38101156367776823,0.4660962487561069
02_018,,,,,,0.3816455925329118,0.4420574546249912
02_019,,,,,,0.36744046177302436,0.4198206694060978
02_020,,,,,,0.3494370263150862,0.3747046060330122
02_021,,0.43420197481576916,,,-0.3349591166147338,0.3187224653422315,0.3015074894074487
02_022,,0.4877096971137322,,,-0.3789956280084202,0.28277224358823505,
02_023,,0.5158082581726753,,,-0.3309534137761878,0.2960727288545374,0.25832848620419296
02_024,,,,,,0.33647543833865556,0.34028262205857135
02_025,,,,,,0.31267768283196856,0.28718831887148477
02_026,,,,,,0.32663201499708955,0.29557714060999296
02_027,,,,,,0.31923289969517415,
02_028,,,,,,0.30163501723243047,0.2419063618984282
02_029,,0.502005320315831,,,,0.29222048653381993,0.2504343494217703
02_030,,0.5445134568781832,,,,0.2703478447703369,0.21467785871782963
02_031,,0.5122866218831681,,,,0.2669881455307188,
02_032,,,,,,0.28121058205694105,
02_033,-0.4958057163747095,,,,,0.2897326057776517,
02_034,-0.48811500703945193,,,,,0.311120946790943,
02_035,-0.5030456550544388,,,,,0.33110732610245786,
02_036,-0.5807937681249193,,,,,0.3182889870360272,
02_037,-0.5716341125942855,,,,,0.2869462652247231,
02_038,-0.5919616160410901,,,,,0.26492276224362127,
02_039,-0.6047858426005386,,,,,0.28246238651150746,
02_040,-0.5882531479324988,,,,,0.23564707829142073,
02_041,-0.620500734594926,,,,,0.26996727623917327,
02_042,-0.7024843687721132,,,,,0.2985896377551493,
02_043,-0.7708407480197365,,,,,0.29785931786730846,
02_044,-0.7423010253752604,,,,,0.32444165505389955,
02_045,-0.7100450272654348,,,,,0.33040226530536143,
02_046,-0.6537086249688289,,,,,0.31462643643833554,
02_047,-0.6336421177707718,,,,,0.33924585515628547,
02_048,-0.686979906493972,,,,,0.34496147233603314,
02_049,-0.5026708403189118,,,,,0.35179263190686955,
02_050,,,,,,0.34203021823617735,0.3144358499322482
02_051,,,,,,0.3576012697451742,0.33561151078323875
02_052,,,,,,0.3675726683869373,0.33546574052143174
02_053,,,,,,0.3751735076365426,0.3478631203078274
02_054,-0.6188115289517095,,,,,0.3487262004224116,
02_055,-0.6448232666617439,,,,,0.3189362688069744,
02_056,-0.5169625935238984,,,,,0.365207799306379,
02_057,-0.5948643200949586,,,,,0.31465883781084714,
02_058,-0.6399272603427573,,,,,0.24621943134196536,
02_059,-0.5399671327929979,,,,,,
02_060,-0.5595077356584188,,,,,0.27902887771941964,
02_061,,,,,,0.39321048154567145,0.45046611157665994
02_062,-0.4525784869869935,,,,,0.3674128719608401,0.4142520433568838
02_063,-0.45109295499057445,,,,,0.29435462902802695,
02_064,,,,,,0.3511390239160387,
02_065,,,,,,0.38948154834331744,0.5143840701227965
02_066,,,,,,0.39678608211070926,0.4984835152791189
02_067,,,,,,0.3977780603030154,0.5224521052046902
02_068,,,,,,0.3934952146751331,0.5176800851149324
02_069,,,,,,0.4028124030051507,0.5654057255588872
02_070,,,,,,0.39669430059386196,0.5619621267739985
02_071,,,,,,0.39445169416313547,0.5773286105687379
02_072,,,,,,0.3911254739022056,0.5829844308670301
02_073,,,,,,0.39602655927324754,0.5641689062515891
02_074,,,,,,0.3924366786032824,0.5174558739903964
02_075,,,,,,0.3854731333577602,
02_076,,,,,,0.38215585685575604,0.5488813234337948
02_077,,,,,,0.34780682567229904,
02_078,,,,,,0.34330255271514604,
02_079,,,,,,0.2950433303639118,
02_080,,,,,,0.28725825532577354,
02_081,,,,,,,
02_082,-0.4243335406789507,,,,,,
02_083,,,,,,,
02_084,,,,,,0.2652267871803208,
02_085,,,,,,0.24930990289449878,
02_086,,,,,,0.28128141625274633,
02_087,,,,,,0.2861712475607257,
02_088,,,,,,0.2763174794054011,
02_089,,,,,,0.27852860100990084,
02_090,,,,,,0.2762209767414698,
02_091,,,,,,0.2857108492451366,
02_092,,,,,,0.2765579617919616,
02_093,,,,,,0.2707544492387372,
02_094,,,,,,0.2571559281147504,
02_095,,,,,,0.25457231266677904,
02_096,,,,,,0.2662788133191339,
02_097,,,,,,0.26915568886828517,
02_098,,,,,,0.2826112319271292,
02_099,,,,,,0.27963718120690145,
