Sexo;Sección;Edad (grupos quinquenales);Total
Ambos Sexos;0801902098;Total;1.533
Ambos Sexos;0801902099;Total;1.546
Ambos Sexos;0801902100;Total;1.421
Ambos Sexos;0801902101;Total;2.156
Ambos Sexos;0801902102;Total;1.420
Ambos Sexos;0801902103;Total;1.697
Ambos Sexos;0801902104;Total;1.157
Ambos Sexos;0801902105;Total;2.085
Ambos Sexos;0801902106;Total;1.442
Ambos Sexos;0801902107;Total;1.626
Ambos Sexos;0801902108;Total;1.638
Ambos Sexos;0801902109;Total;2.026
Ambos Sexos;0801902110;Total;1.922
Ambos Sexos;0801902111;Total;1.761
Ambos Sexos;0801902112;Total;1.377
Ambos Sexos;0801902113;Total;2.149
Ambos Sexos;0801902114;Total;1.672
Ambos Sexos;0801902115;Total;1.356
Ambos Sexos;0801902116;Total;1.067
Ambos Sexos;0801902117;Total;1.204
Ambos Sexos;0801902118;Total;1.493
Ambos Sexos;0801902119;Total;1.306
Ambos Sexos;0801902120;Total;1.204
Ambos Sexos;0801902121;Total;1.228
Ambos Sexos;0801902122;Total;1.092
Ambos Sexos;0801902123;Total;1.149
Ambos Sexos;0801902124;Total;1.087
Ambos Sexos;0801902125;Total;1.721
Ambos Sexos;0801902126;Total;1.479
Ambos Sexos;0801902127;Total;1.181
Ambos Sexos;0801902128;Total;1.305
Ambos Sexos;0801902129;Total;1.536
Ambos Sexos;0801902130;Total;1.147
Ambos Sexos;0801902131;Total;1.237
Ambos Sexos;0801902132;Total;1.169
Ambos Sexos;0801902133;Total;879
Ambos Sexos;0801902134;Total;1.417
Ambos Sexos;0801902135;Total;2.105
Ambos Sexos;0801902136;Total;887
Ambos Sexos;0801902137;Total;1.448
Ambos Sexos;0801902138;Total;1.940
Ambos Sexos;0801902139;Total;1.654
Ambos Sexos;0801902140;Total;1.933
Ambos Sexos;0801902141;Total;1.269
Ambos Sexos;0801902142;Total;2.035
Ambos Sexos;0801902143;Total;1.296
Ambos Sexos;0801902144;Total;1.509
Ambos Sexos;0801902145;Total;1.230
Ambos Sexos;0801902146;Total;1.152
Ambos Sexos;0801902147;Total;2.165
Ambos Sexos;0801902148;Total;1.597
Ambos Sexos;0801902149;Total;1.822
Ambos Sexos;0801902150;Total;1.493
Ambos Sexos;0801902151;Total;1.470
Ambos Sexos;0801902152;Total;1.235
Ambos Sexos;0801902153;Total;1.345
Ambos Sexos;0801902154;Total;1.078
Ambos Sexos;0801902155;Total;1.861
Ambos Sexos;0801902156;Total;1.287
Ambos Sexos;0801902157;Total;1.203
Ambos Sexos;0801902158;Total;1.613
Ambos Sexos;0801902159;Total;1.853
Ambos Sexos;0801902160;Total;2.022
Ambos Sexos;0801902161;Total;1.105
Ambos Sexos;0801902162;Total;1.369
Ambos Sexos;0801902163;Total;1.827
Ambos Sexos;0801902164;Total;1.458
Ambos Sexos;0801902165;Total;1.683
Ambos Sexos;0801902166;Total;2.109
Ambos Sexos;0801902167;Total;2.107
Ambos Sexos;0801902168;Total;2.227
Ambos Sexos;0801902169;Total;1.587
Ambos Sexos;0801902170;Total;1.582
Ambos Sexos;0801902171;Total;1.666
Ambos Sexos;0801902172;Total;1.632
Ambos Sexos;0801902173;Total;1.533
Ambos Sexos;0801903001;Total;1.657
Ambos Sexos;0801903002;Total;2.042
Ambos Sexos;0801903003;Total;1.703
Ambos Sexos;0801903004;Total;1.556
Ambos Sexos;0801903005;Total;1.273
Ambos Sexos;0801903006;Total;1.420
Ambos Sexos;0801903007;Total;1.698
Ambos Sexos;0801903008;Total;1.208
Ambos Sexos;0801903009;Total;1.208
Ambos Sexos;0801903010;Total;1.944
Ambos Sexos;0801903011;Total;1.776
Ambos Sexos;0801903012;Total;2.127
Ambos Sexos;0801903013;Total;1.897
Ambos Sexos;0801903014;Total;1.824
Ambos Sexos;0801903015;Total;2.978
Ambos Sexos;0801903016;Total;1.203
Ambos Sexos;0801903017;Total;1.661
Ambos Sexos;0801903018;Total;1.745
Ambos Sexos;0801903019;Total;1.490
Ambos Sexos;0801903020;Total;1.184
Ambos Sexos;0801903021;Total;1.147
Ambos Sexos;0801903022;Total;1.479
Ambos Sexos;0801903023;Total;1.962
Ambos Sexos;0801903024;Total;2.046
Ambos Sexos;0801903025;Total;1.149
Ambos Sexos;0801903026;Total;1.006
Ambos Sexos;0801903027;Total;1.817
Ambos Sexos;0801903028;Total;2.413
Ambos Sexos;0801903029;Total;1.282
Ambos Sexos;0801903030;Total;1.578
Ambos Sexos;0801903031;Total;2.453
Ambos Sexos;0801903032;Total;1.608
Ambos Sexos;0801903033;Total;1.428
Ambos Sexos;0801903034;Total;1.529
Ambos Sexos;0801903035;Total;2.307
Ambos Sexos;0801903036;Total;2.366
Ambos Sexos;0801903037;Total;1.081
Ambos Sexos;0801903038;Total;1.123
Ambos Sexos;0801903039;Total;2.335
Ambos Sexos;0801903040;Total;1.563
Ambos Sexos;0801903041;Total;1.401
Ambos Sexos;0801903042;Total;1.389
Ambos Sexos;0801903043;Total;1.644
Ambos Sexos;0801903044;Total;1.935
Ambos Sexos;0801903045;Total;1.077
Ambos Sexos;0801903046;Total;1.392
Ambos Sexos;0801903047;Total;1.796
Ambos Sexos;0801903048;Total;1.383
Ambos Sexos;0801903049;Total;1.649
Ambos Sexos;0801903050;Total;1.602
Ambos Sexos;0801903051;Total;1.806
Ambos Sexos;0801903052;Total;1.294
Ambos Sexos;0801903053;Total;2.170
Ambos Sexos;0801903054;Total;1.784
Ambos Sexos;0801903055;Total;1.570
Ambos Sexos;0801903056;Total;850
Ambos Sexos;0801903057;Total;1.540
Ambos Sexos;0801903058;Total;1.355
Ambos Sexos;0801903059;Total;1.209
Ambos Sexos;0801903060;Total;1.334
Ambos Sexos;0801903061;Total;1.069
Ambos Sexos;0801903062;Total;1.654
Ambos Sexos;0801903063;Total;1.261
Ambos Sexos;0801903064;Total;1.308
Ambos Sexos;0801903065;Total;1.390
Ambos Sexos;0801903066;Total;2.324
Ambos Sexos;0801903067;Total;1.747
Ambos Sexos;0801903068;Total;1.155
Ambos Sexos;0801903069;Total;1.184
Ambos Sexos;0801903070;Total;1.246
Ambos Sexos;0801903071;Total;1.261
Ambos Sexos;0801903072;Total;1.399
Ambos Sexos;0801903073;Total;1.632
Ambos Sexos;0801903074;Total;1.773
Ambos Sexos;0801903075;Total;1.643
Ambos Sexos;0801903076;Total;1.006
Ambos Sexos;0801903077;Total;1.299
Ambos Sexos;0801903078;Total;1.678
Ambos Sexos;0801903079;Total;1.803
Ambos Sexos;0801903080;Total;1.530
Ambos Sexos;0801903081;Total;1.847
Ambos Sexos;0801903082;Total;1.854
Ambos Sexos;0801903083;Total;1.352
Ambos Sexos;0801903084;Total;1.437
Ambos Sexos;0801903085;Total;1.227
Ambos Sexos;0801903086;Total;1.257
Ambos Sexos;0801903087;Total;1.503
Ambos Sexos;0801903088;Total;1.423
Ambos Sexos;0801903089;Total;1.226
Ambos Sexos;0801903090;Total;1.053
Ambos Sexos;0801903091;Total;1.417
Ambos Sexos;0801903092;Total;1.221
Ambos Sexos;0801903093;Total;1.534
Ambos Sexos;0801903094;Total;1.140
Ambos Sexos;0801903095;Total;1.629
Ambos Sexos;0801903096;Total;1.542
Ambos Sexos;0801903097;Total;1.637
Ambos Sexos;0801903098;Total;1.374
Ambos Sexos;0801903099;Total;984
Ambos Sexos;0801903100;Total;1.242
Ambos Sexos;0801903101;Total;1.999
Ambos Sexos;0801903102;Total;1.346
Ambos Sexos;0801903103;Total;1.202
Ambos Sexos;0801903104;Total;1.489
Ambos Sexos;0801903105;Total;1.148
Ambos Sexos;0801903106;Total;1.250
Ambos Sexos;0801903107;Total;1.570
Ambos Sexos;0801903108;Total;1.602
Ambos Sexos;0801903109;Total;1.501
Ambos Sexos;0801903110;Total;1.552
Ambos Sexos;0801903111;Total;1.311
Ambos Sexos;0801903112;Total;1.896
Ambos Sexos;0801903113;Total;1.629
Ambos Sexos;0801903114;Total;1.450
Ambos Sexos;0801903211;Total;1.484
Ambos Sexos;0801903212;Total;2.431
Ambos Sexos;0801903213;Total;2.343
Ambos Sexos;0801904001;Total;1.267
Ambos Sexos;0801904002;Total;1.941
Ambos Sexos;0801904003;Total;1.069
Ambos Sexos;0801904004;Total;979
Ambos Sexos;0801904005;Total;1.232
Ambos Sexos;0801904006;Total;1.135
Ambos Sexos;0801904007;Total;1.081
Ambos Sexos;0801904008;Total;988
Ambos Sexos;0801904009;Total;1.415
Ambos Sexos;0801904010;Total;905
Ambos Sexos;0801904011;Total;1.719
Ambos Sexos;0801904012;Total;1.374
Ambos Sexos;0801904013;Total;1.262
Ambos Sexos;0801904014;Total;849
Ambos Sexos;0801904015;Total;1.894
Ambos Sexos;0801904016;Total;1.093
Ambos Sexos;0801904017;Total;1.133
Ambos Sexos;0801904018;Total;1.544
Ambos Sexos;0801904019;Total;1.336
Ambos Sexos;0801904020;Total;1.448
Ambos Sexos;0801904021;Total;1.296
Ambos Sexos;0801904022;Total;1.577
Ambos Sexos;0801904023;Total;1.085
Ambos Sexos;0801904024;Total;1.065
Ambos Sexos;0801904025;Total;1.182
Ambos Sexos;0801904026;Total;1.300
Ambos Sexos;0801904027;Total;1.170
Ambos Sexos;0801904028;Total;1.344
Ambos Sexos;0801904029;Total;1.182
Ambos Sexos;0801904030;Total;1.777
Ambos Sexos;0801904031;Total;1.746
Ambos Sexos;0801904032;Total;1.555
Ambos Sexos;0801904033;Total;1.179
Ambos Sexos;0801904034;Total;1.472
Ambos Sexos;0801904035;Total;1.415
Ambos Sexos;0801904036;Total;1.718
Ambos Sexos;0801904037;Total;2.142
Ambos Sexos;0801904038;Total;1.287
Ambos Sexos;0801904039;Total;1.208
Ambos Sexos;0801904040;Total;1.581
Ambos Sexos;0801904041;Total;1.329
Ambos Sexos;0801904042;Total;1.733
Ambos Sexos;0801904043;Total;1.639
Ambos Sexos;0801904044;Total;1.624
