"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat any a any","Nombre"
2017,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","0 anys",27
2017,7,"Horta-Guinardó",42,"la Clota","Home","0 anys",1
2017,7,"Horta-Guinardó",43,"Horta","Home","0 anys",106
2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","0 anys",85
2017,8,"Nou Barris",45,"Porta","Home","0 anys",101
2017,8,"Nou Barris",46,"el Turó de la Peira","Home","0 anys",68
2017,8,"Nou Barris",47,"Can Peguera","Home","0 anys",6
2017,8,"Nou Barris",48,"la Guineueta","Home","0 anys",60
2017,8,"Nou Barris",49,"Canyelles","Home","0 anys",25
2017,8,"Nou Barris",50,"les Roquetes","Home","0 anys",80
2017,8,"Nou Barris",51,"Verdun","Home","0 anys",48
2017,8,"Nou Barris",52,"la Prosperitat","Home","0 anys",92
2017,8,"Nou Barris",53,"la Trinitat Nova","Home","0 anys",32
2017,8,"Nou Barris",54,"Torre Baró","Home","0 anys",12
2017,8,"Nou Barris",55,"Ciutat Meridiana","Home","0 anys",53
2017,8,"Nou Barris",56,"Vallbona","Home","0 anys",5
2017,9,"Sant Andreu",57,"la Trinitat Vella","Home","0 anys",61
2017,9,"Sant Andreu",58,"Baró de Viver","Home","0 anys",9
2017,9,"Sant Andreu",59,"el Bon Pastor","Home","0 anys",55
2017,9,"Sant Andreu",60,"Sant Andreu","Home","0 anys",261
2017,9,"Sant Andreu",61,"la Sagrera","Home","0 anys",146
2017,9,"Sant Andreu",62,"el Congrés i els Indians","Home","0 anys",62
2017,9,"Sant Andreu",63,"Navas","Home","0 anys",105
2017,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","0 anys",151
2017,10,"Sant Martí",65,"el Clot","Home","0 anys",92
2017,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","0 anys",70
2017,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","0 anys",48
2017,10,"Sant Martí",68,"el Poblenou","Home","0 anys",186
2017,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","0 anys",88
2017,10,"Sant Martí",70,"el Besòs i el Maresme","Home","0 anys",89
2017,10,"Sant Martí",71,"Provençals del Poblenou","Home","0 anys",97
2017,10,"Sant Martí",72,"Sant Martí de Provençals","Home","0 anys",96
2017,10,"Sant Martí",73,"la Verneda i la Pau","Home","0 anys",125
2017,1,"Ciutat Vella",1,"el Raval","Home","1 any",216
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Home","1 any",51
2017,1,"Ciutat Vella",3,"la Barceloneta","Home","1 any",50
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","1 any",88
2017,2,"Eixample",5,"el Fort Pienc","Home","1 any",149
2017,2,"Eixample",6,"la Sagrada Família","Home","1 any",196
2017,2,"Eixample",7,"la Dreta de l'Eixample","Home","1 any",213
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","1 any",182
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","1 any",229
2017,2,"Eixample",10,"Sant Antoni","Home","1 any",175
2017,3,"Sants-Montjuïc",11,"el Poble Sec","Home","1 any",181
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","1 any",6
2017,3,"Sants-Montjuïc",13,"la Marina de Port","Home","1 any",128
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","1 any",36
2017,3,"Sants-Montjuïc",15,"Hostafrancs","Home","1 any",47
2017,3,"Sants-Montjuïc",16,"la Bordeta","Home","1 any",77
2017,3,"Sants-Montjuïc",17,"Sants - Badal","Home","1 any",95
2017,3,"Sants-Montjuïc",18,"Sants","Home","1 any",173
2017,4,"Les Corts",19,"les Corts","Home","1 any",211
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","1 any",99
2017,4,"Les Corts",21,"Pedralbes","Home","1 any",35
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","1 any",37
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","1 any",116
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","1 any",80
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","1 any",109
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","1 any",210
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","1 any",149
2017,6,"Gràcia",28,"Vallcarca i els Penitents","Home","1 any",70
2017,6,"Gràcia",29,"el Coll","Home","1 any",37
2017,6,"Gràcia",30,"la Salut","Home","1 any",39
2017,6,"Gràcia",31,"la Vila de Gràcia","Home","1 any",240
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","1 any",146
2017,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","1 any",93
2017,7,"Horta-Guinardó",34,"Can Baró","Home","1 any",28
2017,7,"Horta-Guinardó",35,"el Guinardó","Home","1 any",184
2017,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","1 any",41
2017,7,"Horta-Guinardó",37,"el Carmel","Home","1 any",142
2017,7,"Horta-Guinardó",38,"la Teixonera","Home","1 any",46
2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","1 any",18
2017,7,"Horta-Guinardó",40,"Montbau","Home","1 any",19
