,Distance_Center,POI_Restaurants_Hotels,Nationality_Spain,Nationality_Italy,Percentage_Age_65_Plus,Percentage_Age_0_14,Nationality_UK,POI_Clothing,Intercept
0,-0.3983273401664493,0.18690399556406959,-0.2026324672663971,0.16289936480945652,-0.05562181677926452,-0.07100104439614524,0.05100997317067152,-0.05422074150775075,-1.7669611785752734e-16
1,-0.3885991909589519,0.19944530807177271,-0.18357268621043232,0.1759688946085909,-0.050467558125835796,-0.0553134776016139,0.06177844536673937,-0.04954698572237953,-3.93674436916436e-16
2,-0.4323061504333226,0.20441788704520236,-0.1519098946383982,0.14891030330104205,-0.09048387031091627,-0.06062908256792836,0.05667130287824855,-0.058126350326283105,-7.129372733227576e-17
3,-0.37350734188583445,0.19957628973859043,-0.19598642579897263,0.16027441293090963,-0.07369544343338102,-0.07315213906631376,0.06003596056295839,-0.05114635068039264,-4.502234415452079e-18
4,-0.4204235411975103,0.1853112153759081,-0.1714085052697289,0.15042609936074308,-0.07489907318447414,-0.06515483328018307,0.05913116014278432,-0.04633929215950722,3.5994286329855873e-16
5,-0.4300085096609148,0.17911709540735388,-0.16685400399013928,0.17188289392002992,-0.06282152402466955,-0.06427402299838195,0.05258723388880063,-0.054951880918602675,-3.362860143640461e-16
6,-0.4132076870156924,0.1882330379742228,-0.20409328201487872,0.1529580735999104,-0.04787212340380513,-0.044178506024739335,0.05924309552759013,-0.05121991873377704,2.6623738684265447e-16
7,-0.3903939755945554,0.21930029887901525,-0.18378698836736818,0.1629015569738156,-0.08536363507965386,-0.05938772428195835,0.038008878889211097,-0.059407254850813995,2.3215906389901516e-16
8,-0.38063738543119674,0.19810684774707865,-0.1848062967275103,0.15477600422156734,-0.0737017280312805,-0.0873492426784321,0.07099010165199852,-0.057368585236608954,-3.578734649588041e-16
9,-0.4011317695812527,0.19440358210397418,-0.1645290738752458,0.15481516874946294,-0.07641075553127133,-0.06982822960772306,0.06494267075682195,-0.0383023911049242,5.653381832785852e-17
10,-0.4079269121807905,0.19931367541545747,-0.1931587111591949,0.1389735297021618,-0.07113284756408,-0.06265157133177224,0.07985798495171627,-0.0750741484480103,3.4633370432301877e-16
11,-0.4009189155558417,0.2093974598147476,-0.14444505225188964,0.17787227792603427,-0.09185048957248354,-0.07070882927057842,0.041467204707057136,-0.057719623468434816,3.711472636985404e-17
12,-0.40519107829526985,0.18909415355847398,-0.19732582868443693,0.16368741769693346,-0.05878976145056704,-0.057715382201406026,0.04389255018794413,-0.03076183371947841,-1.768494242390424e-16
13,-0.4141388845903674,0.19081421567165716,-0.19114570030347894,0.1508914978161701,-0.06535838301914954,-0.05659897554553544,0.05006145277790133,-0.052692554159964766,-3.035945308881536e-16
14,-0.3870772417266416,0.189565544675614,-0.1793193316317957,0.16846853304716727,-0.0589384914124357,-0.07436892433376287,0.07089394574824344,-0.04396523335847041,3.5212175725730536e-17
15,-0.3855841157323367,0.20615348796114819,-0.17030917349216368,0.1731958287248218,-0.07682592041237271,-0.07865227873221593,0.05840438764678655,-0.06279349866314793,2.184398483837411e-17
16,-0.4050681447400226,0.21152055137205655,-0.17134832558496682,0.15220858155087602,-0.08410975092240856,-0.07570505722970822,0.05426263998940616,-0.0578880892958214,-1.1392088126671362e-16
17,-0.4208039209852204,0.17895925815349295,-0.19834224455003208,0.14820867838261143,-0.05992677584604646,-0.056708894053423546,0.05471509876475203,-0.03731463045795344,5.4649775442702776e-17
18,-0.39839266275049673,0.20607400484853494,-0.17546775007211055,0.15818745225564979,-0.06559537031147133,-0.05050424081366908,0.06544287204706631,-0.0565896176241763,1.7817880855400434e-16
19,-0.40439265699949545,0.17571587652145446,-0.1885973059904779,0.1679235631577257,-0.06009373279485421,-0.06183596106852506,0.05549407965756817,-0.04690831002437015,8.496473615551271e-17
20,-0.4050385554920763,0.17860595762206544,-0.18190430039103211,0.14762313049106865,-0.06979030701357924,-0.07194864820773236,0.08134771317229314,-0.045756491148632755,5.290504315753826e-16
21,-0.3768376432085342,0.20555494416357284,-0.17718633822012486,0.1731389185001127,-0.08126311737783397,-0.0637119965659188,0.05646443700067287,-0.06518943589198095,2.724674354284656e-16
22,-0.43651606654315644,0.18334276647074133,-0.20611407933936182,0.150165786269719,-0.06063774662408501,-0.05114514026303115,0.0331608495397248,-0.05372328146843139,1.6689993739768205e-16
23,-0.38495273472182034,0.19446275189098655,-0.17079351965837636,0.17475407390609463,-0.06517204464339096,-0.07377845843447928,0.060801317747522475,-0.042946318444723075,1.5236425743773417e-17
24,-0.4093470416457535,0.21490114335851593,-0.16815243218379816,0.15508691977711042,-0.06755694969615378,-0.06560903494750865,0.05645956871145176,-0.05307253266321457,3.169712769253567e-16
