,Distance_Center,Nationality_Spain,POI_Restaurants_Hotels,Nationality_Italy,Nationality_UK,POI_Clothing,POI_Daily_Others,Intercept
0,-0.4281041522060262,-0.2274315788709809,0.14641320875300923,0.17875710005131046,0.06690396063188743,-0.06813397984336601,0.055710628806130036,-3.2260785260725513e-16
1,-0.4179397547716991,-0.2093468207634538,0.17714568663327893,0.1697901859881949,0.08508812319272667,-0.0647443808842698,0.041438016849812964,-2.4542801745162467e-16
2,-0.4331202504249345,-0.1976857234709703,0.19328134116089613,0.15788291154220616,0.0848695279082575,-0.08396742333558717,0.04905389603804938,-3.675823090787612e-16
3,-0.39710527918261757,-0.24014978740812187,0.1536238292578928,0.17175045474893547,0.08109084032740538,-0.06202354675600688,0.06604906636973629,1.4949017289284653e-16
4,-0.43202408568427814,-0.24187124751549338,0.1585320976024936,0.15157634445569285,0.07240162019622484,-0.05005423433807224,0.030414441240355472,5.383027533168202e-16
5,-0.4478964131564036,-0.2131955287497468,0.14076244390815468,0.17533898285535723,0.07342951884925125,-0.05867855420186696,0.04671741028863374,5.828680452810231e-19
6,-0.4134312777549992,-0.22617623037353274,0.16699668538991042,0.1625386317186613,0.08592769710942513,-0.05734782482685534,0.03390040542776407,1.0124836912834308e-18
7,-0.40835983270675474,-0.2265142652292843,0.1926578100278064,0.16541494306478277,0.07061078584299327,-0.0772085533956507,0.04382758495022099,2.1873564021954845e-16
8,-0.42151209572009446,-0.2333159555581286,0.16136305808239598,0.16167303026413346,0.07852358539770435,-0.07295198209385209,0.05122580314278036,-8.220693586679851e-16
9,-0.4169666198122706,-0.21598080480689497,0.17070191669167856,0.1642382222167868,0.0816965574154149,-0.06253057337413295,0.06390522148821465,-1.1696083580266758e-16
10,-0.4257854245835268,-0.24041947392033325,0.1715990984635478,0.15099774851643805,0.09320118393293798,-0.09044242109409924,0.048913638472480925,-1.7332791144031884e-16
11,-0.41568905515070526,-0.20601226293008762,0.17441138941163462,0.183973379379657,0.06749475368554314,-0.06809383643786149,0.05366663748943873,2.318433676828059e-16
12,-0.42412190365726365,-0.22875404791362955,0.16520950272788645,0.17063314865677037,0.06305419007629702,-0.04219927090871631,0.03548355985671564,-3.954709138930276e-16
13,-0.4243572061480102,-0.23348198833881023,0.1630242778758806,0.16243955988975473,0.06585327716688377,-0.07033839779804336,0.05492048869826588,-5.277201301672566e-16
14,-0.4199078320795408,-0.20663054791736452,0.15681550496994864,0.16204893992148878,0.10052591920017338,-0.058780625721972415,0.04867105548571937,-2.715299099323439e-16
15,-0.421328704987948,-0.21835917341128575,0.17400229096127404,0.18397573131037226,0.06481945292565904,-0.06854729231305512,0.040841449556646814,1.6276320885743144e-17
16,-0.4298683236360943,-0.22316215629316596,0.1893872047605176,0.15425873574408908,0.07289080914650026,-0.07212383110673422,0.04551621969242703,6.716932883767852e-17
17,-0.43353882180587644,-0.23339656093757732,0.1525394076082395,0.15703613413566123,0.07544832821573301,-0.06171761100760363,0.0509385187310506,-2.82838571430433e-16
18,-0.41536078069232707,-0.21646030334796873,0.1676058189661084,0.1591086030849672,0.0948570835715053,-0.06289418227295161,0.04679971210180084,3.500723224683003e-16
19,-0.4072483883058315,-0.22419970804619893,0.1450415718246498,0.1756501500250837,0.08478217605116395,-0.06312635765209076,0.058658040014724466,4.53682463903527e-16
20,-0.4367701510277717,-0.2241235497555279,0.15233987275465774,0.15345047217933075,0.08551794676506463,-0.05861352871329942,0.043151035218147005,5.017474518106281e-17
21,-0.38982847567144513,-0.22410187061106834,0.17189283802683664,0.1806428595208972,0.08264147223658469,-0.07366491471682897,0.05253664773494965,-3.2458660493208296e-17
22,-0.45866625063708255,-0.24752828881163685,0.15781674786031502,0.15033311719510103,0.049021291961572316,-0.05721264055683778,0.026189061837334215,4.087793679468595e-17
23,-0.4095054256279446,-0.20712315973399664,0.16494403433478283,0.17735786604102582,0.08785527190386003,-0.06333322110526322,0.05949188026032942,-2.5973247887155674e-16
24,-0.416013583903888,-0.21011590234495126,0.18181992992987273,0.16890055621724148,0.08438328460601101,-0.07574322243607207,0.060635589749842234,-4.33202766012346e-16
